eta,criterion,median_LRV50,T_sci_LRV,pass_sci_LRV,median_NSV_vector,T_sci_NSV_vector,pass_sci_NSV,all_seed_num_NS,all_seed_num_LRV,all_seed_num_NSV
0.0,C1,1.1535105027602711e-16,0.18560606963725407,False,1.1223352073015843e-10,0.10168471301105081,False,False,False,False
0.0,C2,9.669143872149901e-17,0.10710704986591753,False,1.4698152062609056e-11,0.06943636962637245,False,False,False,False
0.0,C3,1.5485313844939964e-16,0.1630294005273959,False,1.465698633772034e-11,0.06490012984357067,False,False,False,False
0.0,C4,1.2223802550979761e-16,0.11579623197303515,False,1.399410768426136e-11,0.0694226473689036,False,False,False,False
0.0,C5,1.3235551256876783e-16,0.12796380284769598,False,7.731657477674791e-11,0.07368074400701694,False,False,False,False
0.0,C6,9.537584764147469e-17,0.19489930736500777,False,4.4536212416928e-11,0.12993524843563106,False,False,False,False
0.0,C7,1.1307118705850854e-16,0.1440800524986886,False,1.812090504514195e-11,0.07309196921116115,False,False,False,False
0.1,C1,0.038623717197163315,0.18560606963725407,False,0.02460695103012036,0.10168471301105081,False,True,True,True
0.1,C2,0.02928608447102388,0.10710704986591753,False,0.019918682904453037,0.06943636962637245,False,True,True,True
0.1,C3,0.035047401366462116,0.1630294005273959,False,0.02035518110514302,0.06490012984357067,False,True,True,True
0.1,C4,0.03441034754254906,0.11579623197303515,False,0.021614464819810733,0.0694226473689036,False,True,True,True
0.1,C5,0.03539186948961312,0.12796380284769598,False,0.019795541048083214,0.07368074400701694,False,True,True,True
0.1,C6,0.033724266590691915,0.19489930736500777,False,0.02519214723813181,0.12993524843563106,False,True,True,True
0.1,C7,0.03290053314103542,0.1440800524986886,False,0.019354218615544063,0.07309196921116115,False,True,True,True
0.2,C1,0.07309885499736203,0.18560606963725407,False,0.045893869378789524,0.10168471301105081,False,True,True,True
0.2,C2,0.05678209975065733,0.10710704986591753,False,0.03900442839337663,0.06943636962637245,False,True,True,True
0.2,C3,0.06073206984014864,0.1630294005273959,False,0.040906971529455036,0.06490012984357067,False,True,True,True
0.2,C4,0.06218912577112826,0.11579623197303515,False,0.042884412447501186,0.0694226473689036,False,True,True,True
0.2,C5,0.07001272836284131,0.12796380284769598,False,0.03814546776853029,0.07368074400701694,False,True,True,True
0.2,C6,0.06405903651642925,0.19489930736500777,False,0.047567809546085665,0.12993524843563106,False,True,True,True
0.2,C7,0.061867221787114256,0.1440800524986886,False,0.037476753769441914,0.07309196921116115,False,True,True,True
0.3,C1,0.10566917940235737,0.18560606963725407,False,0.06427137205525545,0.10168471301105081,False,True,True,True
0.3,C2,0.08312816839188016,0.10710704986591753,False,0.056945145507231246,0.06943636962637245,False,True,True,True
0.3,C3,0.08876235604592195,0.1630294005273959,False,0.061234073028921594,0.06490012984357067,False,True,True,True
0.3,C4,0.08883638225691298,0.11579623197303515,False,0.06346860124409354,0.0694226473689036,False,True,True,True
0.3,C5,0.1047658642565052,0.12796380284769598,False,0.05512300233499175,0.07368074400701694,False,True,True,True
0.3,C6,0.09237147604445368,0.19489930736500777,False,0.06721186639944504,0.12993524843563106,False,True,True,True
0.3,C7,0.08962140541919354,0.1440800524986886,False,0.052763541176178375,0.07309196921116115,False,True,True,True
0.4,C1,0.1418574436628586,0.18560606963725407,False,0.0817199572181808,0.10168471301105081,False,True,True,True
0.4,C2,0.10389902861216989,0.10710704986591753,False,0.07354345718781356,0.06943636962637245,True,True,True,True
0.4,C3,0.1173338264171983,0.1630294005273959,False,0.08094617640383887,0.06490012984357067,True,True,True,True
0.4,C4,0.11092211067285325,0.11579623197303515,False,0.08309231831743585,0.0694226473689036,True,True,True,True
0.4,C5,0.14002794904998317,0.12796380284769598,True,0.07126297825644357,0.07368074400701694,False,True,True,True
0.4,C6,0.12323478605987333,0.19489930736500777,False,0.08396566860821539,0.12993524843563106,False,True,True,True
0.4,C7,0.11248084557374786,0.1440800524986886,False,0.06621281397306181,0.07309196921116115,False,True,True,True
0.5,C1,0.16618672904625992,0.18560606963725407,False,0.09877045173084065,0.10168471301105081,False,True,True,True
0.5,C2,0.12939523150739887,0.10710704986591753,True,0.08877301367408637,0.06943636962637245,True,True,True,True
0.5,C3,0.13783368617417238,0.1630294005273959,False,0.09971644028318435,0.06490012984357067,True,True,True,True
0.5,C4,0.1324474895426221,0.11579623197303515,True,0.10155964378299316,0.0694226473689036,True,True,True,True
0.5,C5,0.1635362923562354,0.12796380284769598,True,0.08614021929475611,0.07368074400701694,True,True,True,True
0.5,C6,0.15156522403722622,0.19489930736500777,False,0.09803758822207431,0.12993524843563106,False,True,True,True
0.5,C7,0.13307538861341534,0.1440800524986886,False,0.07810612000934693,0.07309196921116115,True,True,True,True
0.6,C1,0.19772070051256752,0.18560606963725407,True,0.11425708129669225,0.10168471301105081,True,True,True,True
0.6,C2,0.15502715080394275,0.10710704986591753,True,0.10402066312040242,0.06943636962637245,True,True,True,True
0.6,C3,0.16210939048885298,0.1630294005273959,False,0.11730079439796083,0.06490012984357067,True,True,True,True
0.6,C4,0.1521730322531095,0.11579623197303515,True,0.1187531091693932,0.0694226473689036,True,True,True,True
0.6,C5,0.19320831925305068,0.12796380284769598,True,0.09967273843753113,0.07368074400701694,True,True,True,True
0.6,C6,0.17060280259276886,0.19489930736500777,False,0.11022897524969542,0.12993524843563106,False,True,True,True
0.6,C7,0.15766231309918396,0.1440800524986886,True,0.0886781725427607,0.07309196921116115,True,True,True,True
0.7,C1,0.21753478621465583,0.18560606963725407,True,0.12821955682688754,0.10168471301105081,True,True,True,True
0.7,C2,0.18093966966721053,0.10710704986591753,True,0.11828871401602051,0.06943636962637245,True,True,True,True
0.7,C3,0.1990693816281035,0.1630294005273959,True,0.13354273702762398,0.06490012984357067,True,True,True,True
0.7,C4,0.1706065274045171,0.11579623197303515,True,0.13219408912953853,0.0694226473689036,True,True,True,True
0.7,C5,0.23737116881823447,0.12796380284769598,True,0.11188910156543508,0.07368074400701694,True,True,True,True
0.7,C6,0.18678445652842082,0.19489930736500777,False,0.12059259484457467,0.12993524843563106,False,True,True,True
0.7,C7,0.17542089776448205,0.1440800524986886,True,0.09812375720054285,0.07309196921116115,True,True,True,True
0.8,C1,0.25630298772104126,0.18560606963725407,True,0.1407431538156012,0.10168471301105081,True,True,True,True
0.8,C2,0.20727809499803912,0.10710704986591753,True,0.13157915778553875,0.06943636962637245,True,True,True,True
0.8,C3,0.23852235936144778,0.1630294005273959,True,0.1480753575538625,0.06490012984357067,True,True,True,True
0.8,C4,0.19825920084501347,0.11579623197303515,True,0.1440887741192425,0.0694226473689036,True,True,True,True
0.8,C5,0.2809166963517542,0.12796380284769598,True,0.1228547343468842,0.07368074400701694,True,True,True,True
0.8,C6,0.205678332193299,0.19489930736500777,True,0.12956323620631988,0.12993524843563106,False,True,True,True
0.8,C7,0.20905591927239967,0.1440800524986886,True,0.10660441539338829,0.07309196921116115,True,True,True,True
0.9,C1,0.2819592771301073,0.18560606963725407,True,0.15193901166642834,0.10168471301105081,True,True,True,True
0.9,C2,0.23419430277932587,0.10710704986591753,True,0.14391506776265653,0.06943636962637245,True,True,True,True
0.9,C3,0.2741404926295876,0.1630294005273959,True,0.16041645670905383,0.06490012984357067,True,True,True,True
0.9,C4,0.22729926175543907,0.11579623197303515,True,0.1546850973351276,0.0694226473689036,True,True,True,True
0.9,C5,0.32285673115617997,0.12796380284769598,True,0.13327434764589358,0.07368074400701694,True,True,True,True
0.9,C6,0.231726151556284,0.19489930736500777,True,0.1384128353798479,0.12993524843563106,True,True,True,True
0.9,C7,0.23319650933252867,0.1440800524986886,True,0.11425435001667744,0.07309196921116115,True,True,True,True
1.0,C1,0.3112632778230251,0.18560606963725407,True,0.161929496664714,0.10168471301105081,True,True,True,True
1.0,C2,0.26113288284407266,0.10710704986591753,True,0.1553345915379191,0.06943636962637245,True,True,True,True
1.0,C3,0.2952334462620886,0.1630294005273959,True,0.17151159720232176,0.06490012984357067,True,True,True,True
1.0,C4,0.2580119787698682,0.11579623197303515,True,0.16413888001488056,0.0694226473689036,True,True,True,True
1.0,C5,0.3508790223628046,0.12796380284769598,True,0.14317565354165301,0.07368074400701694,True,True,True,True
1.0,C6,0.2589837685386637,0.19489930736500777,True,0.14571937294775553,0.12993524843563106,True,True,True,True
1.0,C7,0.25752142433817565,0.1440800524986886,True,0.12118541105375112,0.07309196921116115,True,True,True,True
