eta,pathway,factor,criterion,median_SRE,T_sci_SRE,pass_sci_SRE
0.0,h_D->C1,h_D,C1,0.5791198064373052,0.5562447848993066,True
0.0,h_D->C2,h_D,C2,0.3292532227358192,0.334436750485118,False
0.0,h_D->C3,h_D,C3,0.293005639848985,0.2848777950083017,True
0.0,h_D->C4,h_D,C4,0.31367838327096814,0.29284425142171366,True
0.0,h_D->C6,h_D,C6,0.4560293173615829,0.43161186520741024,True
0.0,h_D->C7,h_D,C7,0.2892494141645973,0.2525758990201667,True
0.0,h_E->C6,h_E,C6,0.30962454925786914,0.29686897119970923,True
0.0,h_I->C2,h_I,C2,0.21065091824668283,0.212043213358731,False
0.0,h_I->C4,h_I,C4,0.31364489140017837,0.29490518692082546,True
0.0,h_I->C5,h_I,C5,0.46786037378923134,0.4552711586651893,True
0.0,h_T->C3,h_T,C3,0.19417570887781851,0.18699477333676978,True
0.0,h_T->C7,h_T,C7,0.43016856830572675,0.37338001554965855,True
0.1,h_D->C1,h_D,C1,0.5796051423699963,0.5562447848993066,True
0.1,h_D->C2,h_D,C2,0.3398997050386619,0.334436750485118,True
0.1,h_D->C3,h_D,C3,0.335678258458423,0.2848777950083017,True
0.1,h_D->C4,h_D,C4,0.3161421648292209,0.29284425142171366,True
0.1,h_D->C6,h_D,C6,0.46037891146987725,0.43161186520741024,True
0.1,h_D->C7,h_D,C7,0.29283220520154113,0.2525758990201667,True
0.1,h_E->C6,h_E,C6,0.3177023345038194,0.29686897119970923,True
0.1,h_I->C2,h_I,C2,0.22278269904836961,0.212043213358731,True
0.1,h_I->C4,h_I,C4,0.3156754087253938,0.29490518692082546,True
0.1,h_I->C5,h_I,C5,0.4786077116277015,0.4552711586651893,True
0.1,h_T->C3,h_T,C3,0.22122679702353498,0.18699477333676978,True
0.1,h_T->C7,h_T,C7,0.43268700132148397,0.37338001554965855,True
0.2,h_D->C1,h_D,C1,0.5856555064423964,0.5562447848993066,True
0.2,h_D->C2,h_D,C2,0.34859674210082003,0.334436750485118,True
0.2,h_D->C3,h_D,C3,0.3665350599051686,0.2848777950083017,True
0.2,h_D->C4,h_D,C4,0.31599062345131473,0.29284425142171366,True
0.2,h_D->C6,h_D,C6,0.47181441954648506,0.43161186520741024,True
0.2,h_D->C7,h_D,C7,0.2923878534438715,0.2525758990201667,True
0.2,h_E->C6,h_E,C6,0.337371332449281,0.29686897119970923,True
0.2,h_I->C2,h_I,C2,0.23375281344246107,0.212043213358731,True
0.2,h_I->C4,h_I,C4,0.3114645902151654,0.29490518692082546,True
0.2,h_I->C5,h_I,C5,0.4762163977197437,0.4552711586651893,True
0.2,h_T->C3,h_T,C3,0.24577918837588716,0.18699477333676978,True
0.2,h_T->C7,h_T,C7,0.43203109339361745,0.37338001554965855,True
0.3,h_D->C1,h_D,C1,0.5889466783277494,0.5562447848993066,True
0.3,h_D->C2,h_D,C2,0.36390010821397534,0.334436750485118,True
0.3,h_D->C3,h_D,C3,0.40229606309084104,0.2848777950083017,True
0.3,h_D->C4,h_D,C4,0.3146094330113491,0.29284425142171366,True
0.3,h_D->C6,h_D,C6,0.47969416148248195,0.43161186520741024,True
0.3,h_D->C7,h_D,C7,0.2924776991378421,0.2525758990201667,True
0.3,h_E->C6,h_E,C6,0.33938348394893614,0.29686897119970923,True
0.3,h_I->C2,h_I,C2,0.24466934916937283,0.212043213358731,True
0.3,h_I->C4,h_I,C4,0.3091317551284906,0.29490518692082546,True
0.3,h_I->C5,h_I,C5,0.48921569396389736,0.4552711586651893,True
0.3,h_T->C3,h_T,C3,0.2652705419625076,0.18699477333676978,True
0.3,h_T->C7,h_T,C7,0.4310206349835009,0.37338001554965855,True
0.4,h_D->C1,h_D,C1,0.591235357226552,0.5562447848993066,True
0.4,h_D->C2,h_D,C2,0.3798630733832561,0.334436750485118,True
0.4,h_D->C3,h_D,C3,0.42673445263166637,0.2848777950083017,True
0.4,h_D->C4,h_D,C4,0.30860657727714697,0.29284425142171366,True
0.4,h_D->C6,h_D,C6,0.47159408879760484,0.43161186520741024,True
0.4,h_D->C7,h_D,C7,0.28835239824892483,0.2525758990201667,True
0.4,h_E->C6,h_E,C6,0.33076042314462956,0.29686897119970923,True
0.4,h_I->C2,h_I,C2,0.2535702736182761,0.212043213358731,True
0.4,h_I->C4,h_I,C4,0.30437654066030084,0.29490518692082546,True
0.4,h_I->C5,h_I,C5,0.5117292092423358,0.4552711586651893,True
0.4,h_T->C3,h_T,C3,0.2766603637678175,0.18699477333676978,True
0.4,h_T->C7,h_T,C7,0.4234593734508534,0.37338001554965855,True
0.5,h_D->C1,h_D,C1,0.5889286905985742,0.5562447848993066,True
0.5,h_D->C2,h_D,C2,0.38287781864864806,0.334436750485118,True
0.5,h_D->C3,h_D,C3,0.4391472175762759,0.2848777950083017,True
0.5,h_D->C4,h_D,C4,0.29956305946643946,0.29284425142171366,True
0.5,h_D->C6,h_D,C6,0.4573573294467254,0.43161186520741024,True
0.5,h_D->C7,h_D,C7,0.28231514606571706,0.2525758990201667,True
0.5,h_E->C6,h_E,C6,0.31668522727446197,0.29686897119970923,True
0.5,h_I->C2,h_I,C2,0.2596897181394215,0.212043213358731,True
0.5,h_I->C4,h_I,C4,0.29984495984859266,0.29490518692082546,True
0.5,h_I->C5,h_I,C5,0.5277581647754084,0.4552711586651893,True
0.5,h_T->C3,h_T,C3,0.28296288360452543,0.18699477333676978,True
