seed,eta,criterion,mean_abs_departure,median_abs_departure,max_abs_departure
21001,0.0,C1,0.0,0.0,0.0
21001,0.0,C2,0.0,0.0,0.0
21001,0.0,C3,0.0,0.0,0.0
21001,0.0,C4,0.0,0.0,0.0
21001,0.0,C5,0.0,0.0,0.0
21001,0.0,C6,0.0,0.0,0.0
21001,0.0,C7,0.0,0.0,0.0
21001,0.1,C1,0.005346296497583695,0.004969151014401332,0.015490021808195892
21001,0.1,C2,0.00656317482372498,0.005434536388888776,0.020900591039967914
21001,0.1,C3,0.005081300230053323,0.0049057426136291,0.01393927376279977
21001,0.1,C4,0.003950800010655055,0.0032921960878507794,0.014535824380306678
21001,0.1,C5,0.004677407383170256,0.003373943970723242,0.015309317560719522
21001,0.1,C6,0.003859097308617287,0.0033003699285953907,0.010261760563683192
21001,0.1,C7,0.0045055249110210185,0.0042072879446012346,0.016208501651704538
21001,0.2,C1,0.01069259299516739,0.009938302028802665,0.030980043616391756
21001,0.2,C2,0.01312634964744996,0.010869072777777551,0.04180118207993583
21001,0.2,C3,0.010162600460106646,0.009811485227258198,0.027878547525599554
21001,0.2,C4,0.00790160002131011,0.006584392175701559,0.029071648760613328
21001,0.2,C5,0.00935481476634051,0.006747887941446484,0.030618635121439045
21001,0.2,C6,0.007718194617234574,0.00660073985719078,0.02052352112736637
21001,0.2,C7,0.009011049822042037,0.008414575889202473,0.0324170033034091
21001,0.3,C1,0.016038889492751084,0.014907453043203997,0.04647006542458762
21001,0.3,C2,0.01968952447117494,0.01630360916666632,0.06270177311990374
21001,0.3,C3,0.015243900690159967,0.014717227840887326,0.04181782128839932
21001,0.3,C4,0.011852400031965162,0.009876588263552338,0.04360747314091998
21001,0.3,C5,0.014032222149510767,0.010121831912169726,0.04592795268215856
21001,0.3,C6,0.01157729192585186,0.009901109785786169,0.03078528169104955
21001,0.3,C7,0.013516574733063055,0.012621863833803714,0.04862550495511367
21001,0.4,C1,0.021385185990334784,0.01987660405760533,0.06196008723278354
21001,0.4,C2,0.02625269929489992,0.021738145555555095,0.08360236415987166
21001,0.4,C3,0.020325200920213293,0.019622970454516428,0.05575709505119911
21001,0.4,C4,0.01580320004262022,0.01316878435140311,0.05814329752122663
21001,0.4,C5,0.018709629532681023,0.013495775882892972,0.06123727024287809
21001,0.4,C6,0.015436389234469147,0.013201479714381558,0.04104704225473274
21001,0.4,C7,0.018022099644084074,0.016829151778404945,0.06483400660681818
21001,0.5,C1,0.026731482487918474,0.024845755072006648,0.0774501090409794
21001,0.5,C2,0.032815874118624896,0.02717268194444387,0.1045029551998396
21001,0.5,C3,0.025406501150266613,0.024528713068145525,0.06969636881399888
21001,0.5,C4,0.019754000053275274,0.01646098043925389,0.07267912190153328
21001,0.5,C5,0.02338703691585128,0.016869719853616214,0.0765465878035976
21001,0.5,C6,0.019295486543086434,0.01650184964297695,0.05130880281841593
21001,0.5,C7,0.022527624555105093,0.021036439723006173,0.08104250825852274
21001,0.6,C1,0.03207777898550217,0.02981490608640798,0.09294013084917527
21001,0.6,C2,0.03937904894234988,0.032607218333332647,0.12540354623980748
21001,0.6,C3,0.030487801380319934,0.02943445568177462,0.08363564257679865
21001,0.6,C4,0.023704800063930324,0.01975317652710467,0.08721494628183993
21001,0.6,C5,0.028064444299021534,0.020243663824339456,0.09185590536431713
21001,0.6,C6,0.02315458385170372,0.019802219571572337,0.0615705633820991
21001,0.6,C7,0.02703314946612611,0.025243727667607414,0.09725100991022731
21001,0.7,C1,0.037424075483085864,0.03478405710080931,0.10843015265737119
21001,0.7,C2,0.04594222376607485,0.03804175472222142,0.14630413727977543
21001,0.7,C3,0.03556910161037326,0.034340198295403745,0.09757491633959842
21001,0.7,C4,0.02765560007458538,0.02304537261495545,0.10175077066214658
21001,0.7,C5,0.032741851682191785,0.0236176077950627,0.10716522292503665
21001,0.7,C6,0.027013681160321,0.023102589500167726,0.07183232394578226
21001,0.7,C7,0.03153867437714713,0.029451015612208642,0.11345951156193182
21001,0.8,C1,0.04277037198066956,0.039753208115210645,0.12392017446556705
21001,0.8,C2,0.05250539858979984,0.0434762911111102,0.1672047283197433
21001,0.8,C3,0.040650401840426585,0.03924594090903285,0.11151419010239821
21001,0.8,C4,0.03160640008524044,0.02633756870280623,0.11628659504245323
21001,0.8,C5,0.03741925906536204,0.026991551765785944,0.12247454048575616
21001,0.8,C6,0.030872778468938294,0.026402959428763126,0.08209408450946548
21001,0.8,C7,0.03604419928816815,0.03365830355680989,0.12966801321363638
21001,0.9,C1,0.048116668478253265,0.04472235912961198,0.13941019627376292
21001,0.9,C2,0.059068573413524825,0.04891082749999897,0.18810531935971125
21001,0.9,C3,0.0457317020704799,0.044151683522661946,0.12545346386519798
21001,0.9,C4,0.0355572000958955,0.029629764790657008,0.13082241942275988
21001,0.9,C5,0.0420966664485323,0.030365495736509186,0.1377838580464757
21001,0.9,C6,0.034731875777555585,0.02970332935735851,0.09235584507314865
21001,0.9,C7,0.040549724199189174,0.03786559150141111,0.14587651486534095
21001,1.0,C1,0.05346296497583695,0.04969151014401332,0.15490021808195883
