family,parameter,status,D2.9_reselected_value,best_descriptive_value,best_joint_min_ratio,best_layerA_ratio,best_layerA_bottleneck,best_SRE_ratio,best_SRE_bottleneck
v2.2-D4-F1,kappa,NO_FEASIBLE_CANDIDATE,,0.4,0.6005537160727699,0.7938845743730989,C6,0.6005537160727699,h_T->C3
v2.3-F1,eta,NO_FEASIBLE_CANDIDATE,,1.0,0.2005293941177289,0.2005293941177289,C6,1.0157443849424226,h_I->C5
v2.4-F1,eta,NO_FEASIBLE_CANDIDATE,,0.6,0.8418632713458185,0.8418632713458185,C6,0.8422503714650451,h_I->C5
v2.5-F1,eta,NO_FEASIBLE_CANDIDATE,,0.7,0.9474186190778445,1.750639432943832,C6,0.9474186190778445,h_D->C1
v3.0-F1,p,NO_FEASIBLE_CANDIDATE,,2.0,0.9560886411212227,0.9560886411212227,C7,1.0200950810672413,h_T->C3
