W,criterion,mean_q_mad,sample_sd_world_q_mad,mcse,relative_95pct_half_width
50,C1,0.08613376743929387,0.007914094310303916,0.0011192219507531543,0.025468234917238375
50,C2,0.09411286714965612,0.007953367177965654,0.0011247759729612057,0.02342464929343717
50,C3,0.08969673423890724,0.009601256601539182,0.0013578227301720921,0.029670339435315125
50,C4,0.09150572418872745,0.01342017699414951,0.0018978996314573632,0.04065191888917951
50,C5,0.11049452149586578,0.008947479934925787,0.0012653647473033186,0.02244559161048409
50,C6,0.05101198907052866,0.005268573915636281,0.0007450888685857951,0.028628058011626083
50,C7,0.07989740777121616,0.01030527862942772,0.00145738648017703,0.0357518169962493
50,C8,0.12351997601346683,0.009787985801160509,0.0013842302268316474,0.021964797372307356
50,C9,0.028324366438165383,0.004525151529703614,0.0006399530665100209,0.04428370933039662
50,C10,0.12252235720297647,0.02900477897584444,0.004101895180127321,0.06561834702269849
100,C1,0.08725390600425581,0.00837065217184637,0.0008370652171846369,0.01880314476217331
100,C2,0.09532936709124235,0.009202206266147156,0.0009202206266147155,0.018920008421115568
100,C3,0.08952537630386931,0.009811236319858113,0.0009811236319858113,0.021479969122314622
100,C4,0.0888412254676714,0.01256782174496306,0.001256782174496306,0.027726914492882643
100,C5,0.10948640989438893,0.009123832122986697,0.0009123832122986698,0.016333270017840875
100,C6,0.05052487356035531,0.005725609345449156,0.0005725609345449156,0.0222112269186633
100,C7,0.07895977390936544,0.01002537124336653,0.001002537124336653,0.02488574455558171
100,C8,0.12310181834113601,0.009674574875743044,0.0009674574875743044,0.015403644732326334
100,C9,0.028134219335894183,0.004521953334311366,0.0004521953334311366,0.03150266381703944
100,C10,0.12211889454413574,0.027274711771063522,0.002727471177106352,0.04377572796609782
150,C1,0.08749381443835923,0.008778014160731531,0.0007167218549572458,0.01605570456286178
150,C2,0.09497375155211953,0.009325521177150208,0.0007614256156512247,0.015713754403412116
150,C3,0.0901023484231652,0.009507698860325188,0.0007763003611945953,0.016886892900710805
150,C4,0.0892194903177199,0.012241512574404674,0.0009995153162385183,0.02195764639350838
150,C5,0.11008283828905571,0.009288582305338149,0.0007584095693974374,0.013503310589633099
150,C6,0.050065791064344424,0.005825234672745567,0.0004756284193398397,0.01862013327002791
150,C7,0.07880010168078014,0.009737207024877886,0.000795039624359823,0.019775071738334468
150,C8,0.12290943596171236,0.009608480526546852,0.0007845291497836142,0.012510651615408734
150,C9,0.028229484616203056,0.004479857392591385,0.00036577882440946635,0.025396372111081998
150,C10,0.12123280412664592,0.027140509538229274,0.002216013324260054,0.035826822177408006
200,C1,0.08713507447750417,0.00864802494734901,0.0006115077084140921,0.013755139542427299
200,C2,0.09482028253525701,0.009703731667980013,0.0006861574465243315,0.014183343048713696
200,C3,0.09048274133477797,0.009534155370681174,0.00067416659154948,0.01460351996336451
200,C4,0.08845297149298423,0.012524999939388508,0.0008856512391502711,0.019624851482265802
200,C5,0.1101142659912216,0.009561290235442107,0.0006760853162373835,0.012034110275219723
200,C6,0.049591335953884756,0.006274340117032881,0.00044366284442247465,0.017534901174252326
200,C7,0.07870670369708757,0.009328156657407305,0.0006596002828423143,0.016425748934043454
200,C8,0.12287349260839424,0.009980523039685114,0.0007057295521149918,0.011257350082353155
200,C9,0.028266886608557997,0.004611632627669878,0.00032609167033665075,0.02261089743232354
200,C10,0.11940328894636565,0.02736920630895916,0.001935295137675866,0.03176778883801747
