seed,rotation,criterion,alternative,class,theta,semantic_ceiling,contrast,min_derivative,max_abs_departure,lower_bound_ok,semantic_ceiling_ok,monotonicity_ok,structural_zero_ok
25001,1,C2,A3,D,0.3674026234421102,0.4,0.2,0.3574026234421102,0.0025000000000000005,True,True,True,True
25001,1,C2,A4,I,0.06282790239101588,0.2,0.6,0.03282790239101588,0.0075,True,True,True,True
25001,1,C2,A5,I,0.09581809570485975,0.2,1.0,0.04581809570485974,0.0125,True,True,True,True
25001,1,C2,A6,D,0.27112355861088433,0.4,-1.0,0.22112355861088434,0.0125,True,True,True,True
25001,1,C3,A1,D,0.29822082031422614,0.4,-0.6,0.2682208203142261,0.0075,True,True,True,True
25001,1,C3,A2,D,0.21693377483800724,0.4,-0.2,0.20693377483800723,0.0025000000000000005,True,True,True,True
25001,1,C3,A3,I,0.19873126397842333,0.2,0.2,0.18873126397842332,0.0025000000000000005,True,True,True,True
25001,1,C3,A4,I,0.1518606724878218,0.2,0.6,0.12186067248782181,0.0075,True,True,True,True
25001,1,C3,A5,0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
25001,1,C3,A6,I,0.11574177137069985,0.2,-1.0,0.06574177137069985,0.0125,True,True,True,True
25001,1,C4,A1,I,0.08417996977177727,0.2,-0.6,0.054179969771777275,0.0075,True,True,True,True
25001,1,C4,A2,I,0.10067885503107984,0.2,-0.2,0.09067885503107984,0.0025000000000000005,True,True,True,True
25001,1,C4,A3,D,0.38045636439253383,0.4,0.2,0.3704563643925338,0.0025000000000000005,True,True,True,True
25001,1,C4,A4,I,0.14508184017099057,0.2,0.6,0.11508184017099057,0.0075,True,True,True,True
25001,1,C4,A5,D,0.2876981400372786,0.4,1.0,0.23769814003727863,0.0125,True,True,True,True
25001,1,C4,A6,D,0.2850787973631115,0.4,-1.0,0.2350787973631115,0.0125,True,True,True,True
25001,1,C5,A1,I,0.19176017693427883,0.2,-0.6,0.16176017693427883,0.0075,True,True,True,True
25001,1,C5,A2,0,0.0,0.0,0.0,0.0,0.0,True,True,True,True
25001,1,C5,A3,D,0.23847147741805602,0.4,0.2,0.228471477418056,0.0025000000000000005,True,True,True,True
25001,1,C5,A4,D,0.325796096555681,0.4,0.6,0.29579609655568095,0.0075,True,True,True,True
25001,1,C5,A5,I,0.09005637170258635,0.2,1.0,0.040056371702586344,0.0125,True,True,True,True
