seed,modal_alternative,modal_count,modal_share,nonoptimal_contexts,regret_mean,regret_median,regret_p95,conditional_regret_mean,conditional_regret_median,conditional_regret_p95
25001,A3,385,0.385,615,0.04979765024369611,0.019285667334227354,0.18664081153190076,0.08097178901414002,0.05910048768165085,0.20859309518838023
25002,A4,1000,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0
25003,A6,837,0.837,163,0.014119335462909813,0.0,0.11433831652178768,0.08662168995650192,0.08323906221041799,0.1894765884381831
25004,A2,392,0.392,608,0.08380379489148343,0.04356069193047518,0.26813919908356043,0.13783518896625566,0.12889153030587505,0.2794811832544921
25005,A4,929,0.929,71,0.0024162852649455752,0.0,0.012348600434274421,0.03403218683021936,0.02803000793032824,0.09442747875483429
