seed,tau,criterion,active_alternatives,NS,LRV50,LRV_max,NSV_vector,pass_num_NS,pass_num_LRV,pass_num_NSV
27001,0.0,C1,6,0.0022044083951021642,0.055904378644572254,0.1449310824975052,0.06533697140872895,True,True,True
27001,0.0,C2,6,0.0006839535135279018,0.045076483480907044,0.08881894909304021,0.03384436711079853,True,True,True
27001,0.0,C3,5,0.0012257227836792728,0.07413646573961945,0.14467498873323648,0.047386892999525934,True,True,True
27001,0.0,C4,6,0.0016187433267859097,0.07678211373752195,0.32967583926525434,0.052124105769574026,True,True,True
27001,0.0,C5,5,0.001982795462112441,0.08416390308767518,0.22438486238269173,0.06658891272688681,True,True,True
27001,0.0,C6,6,0.0018082054553262283,0.07829121917020976,0.17261689536847616,0.05418662266503018,True,True,True
27001,0.0,C7,6,0.0007065676515739527,0.041608348377638354,0.12293331649439095,0.03480437113412356,True,True,True
27001,0.1,C1,6,0.002461530763479436,0.05809897850153949,0.15396223530576147,0.06955253734021603,True,True,True
27001,0.1,C2,6,0.0007503045905822292,0.048073313959397436,0.09224674373171922,0.03521217678303282,True,True,True
27001,0.1,C3,5,0.0013441546668887527,0.07536055217226507,0.15070531807293883,0.04910188105207947,True,True,True
27001,0.1,C4,6,0.0017564010967120458,0.08346068136333719,0.3395118098041359,0.053503167099793435,True,True,True
27001,0.1,C5,5,0.0022223760039580265,0.08557411693125933,0.23686762321215957,0.07116767950386822,True,True,True
27001,0.1,C6,6,0.001985742620050357,0.08481023210346113,0.1796483490069676,0.05636996402401063,True,True,True
27001,0.1,C7,6,0.0007932488532452764,0.0433719445928822,0.1305569377064852,0.03726012429642294,True,True,True
27001,0.2,C1,6,0.0027319321607363056,0.06028306672391526,0.16278136550085406,0.07366361889019352,True,True,True
27001,0.2,C2,6,0.0008197117076683691,0.051044852617363634,0.09564559369368336,0.036574762728165094,True,True,True
27001,0.2,C3,5,0.0014692015852099116,0.07832293459034045,0.15664215931263045,0.05085926213821355,True,True,True
27001,0.2,C4,6,0.001901183122793637,0.09001270378811309,0.349371397629721,0.0549441103785356,True,True,True
27001,0.2,C5,5,0.002477010070823238,0.087005409573239,0.2489373699903324,0.07574300029947378,True,True,True
27001,0.2,C6,6,0.002171600949651409,0.08870396734665761,0.18656271683687306,0.05855012959604798,True,True,True
27001,0.2,C7,6,0.0008850859587168358,0.04409245499305383,0.1380115796948872,0.03970614881158294,True,True,True
27001,0.3,C1,6,0.003015314181412987,0.062456746358990844,0.1713961545980065,0.07766981975585517,True,True,True
27001,0.3,C2,6,0.0008921504223992072,0.053990927433992884,0.09901628118313044,0.037930822130165555,True,True,True
27001,0.3,C3,5,0.0016009037505752,0.08127413587326533,0.16248968902974784,0.05265276174494639,True,True,True
27001,0.3,C4,6,0.0020530695076600436,0.09643605035750576,0.3592730332377123,0.05643977638461302,True,True,True
27001,0.3,C5,5,0.002746661099278791,0.08845819104322739,0.2606191813538007,0.08030035918982616,True,True,True
27001,0.3,C6,6,0.0023656489021129934,0.09156038417573101,0.19336627589025004,0.060722082813666006,True,True,True
27001,0.3,C7,6,0.000982035926323066,0.044824609204384996,0.14530299784244644,0.04213845699404835,True,True,True
27001,0.4,C1,6,0.0033113770974645407,0.06462012918028932,0.1798144202183972,0.08157176811136956,True,True,True
27001,0.4,C2,6,0.0009675958849988398,0.05691151666403305,0.1023595757215826,0.0392792831705257,True,True,True
27001,0.4,C3,5,0.0017393001866293778,0.08421373164376283,0.16825187945511408,0.0544768561264058,True,True,True
27001,0.4,C4,6,0.0022120379054891837,0.102730839630552,0.369235854643965,0.05798359746910389,True,True,True
27001,0.4,C5,5,0.0030312882902596705,0.08993285484363178,0.27193643676750906,0.08482864679232355,True,True,True
27001,0.4,C6,6,0.002567752364520226,0.0944017038341212,0.20006497041400856,0.06288173201628426,True,True,True
27001,0.4,C7,6,0.0010840551522708353,0.045568047605928946,0.15243705283584327,0.04455405123690782,True,True,True
27001,0.5,C1,6,0.003619820015584474,0.06677333370549776,0.18804391529883213,0.08537079254689474,True,True,True
27001,0.5,C2,6,0.0010460228435639207,0.05980670549587375,0.10567623345308275,0.040619263442316124,True,True,True
