tau,criterion,median_LRV50,T_sci_LRV,pass_sci_LRV,median_NSV_vector,T_sci_NSV_vector,pass_sci_NSV,all_seed_num_NS,all_seed_num_LRV,all_seed_num_NSV
0.0,C1,0.0926548460998451,0.0823367060180439,True,0.06950387165998453,0.04150944500477258,True,True,True,True
0.0,C2,0.056239313715412326,0.05135703082499147,True,0.0371070677462727,0.030180789560001246,True,True,True,True
0.0,C3,0.07413646573961945,0.06320131683925327,True,0.047386892999525934,0.032871176397166704,True,True,True,True
0.0,C4,0.06593394476889752,0.0584394716346404,True,0.055599760936490245,0.033274732045588784,True,True,True,True
0.0,C5,0.08416390308767518,0.06114512257795974,True,0.050580218484335034,0.03893229936662514,True,True,True,True
0.0,C6,0.0752759802235628,0.10669498984969662,False,0.06301245828787916,0.06203584559273667,True,True,True,True
0.0,C7,0.04247178218898637,0.06752862595487336,False,0.04304594384457576,0.0421069255807601,True,True,True,True
0.1,C1,0.09459630778477979,0.0823367060180439,True,0.07189827615563088,0.04150944500477258,True,True,True,True
0.1,C2,0.060940388710588586,0.05135703082499147,True,0.03804251594777427,0.030180789560001246,True,True,True,True
0.1,C3,0.07840513160632522,0.06320131683925327,True,0.04910188105207947,0.032871176397166704,True,True,True,True
0.1,C4,0.06925777306398648,0.0584394716346404,True,0.056724146377302546,0.033274732045588784,True,True,True,True
0.1,C5,0.08557411693125933,0.06114512257795974,True,0.053836134529510866,0.03893229936662514,True,True,True,True
0.1,C6,0.08149598112342893,0.10669498984969662,False,0.06596995285966384,0.06203584559273667,True,True,True,True
0.1,C7,0.0433719445928822,0.06752862595487336,False,0.045317585410387544,0.0421069255807601,True,True,True,True
0.2,C1,0.0965576030403747,0.0823367060180439,True,0.074335877017131,0.04150944500477258,True,True,True,True
0.2,C2,0.06366452110876787,0.05135703082499147,True,0.03901201190266202,0.030180789560001246,True,True,True,True
0.2,C3,0.08370573818575953,0.06320131683925327,True,0.05085926213821355,0.032871176397166704,True,True,True,True
0.2,C4,0.07254949835569531,0.0584394716346404,True,0.057871864961558,0.033274732045588784,True,True,True,True
0.2,C5,0.087005409573239,0.06114512257795974,True,0.05707868355226702,0.03893229936662514,True,True,True,True
0.2,C6,0.08717647081089198,0.10669498984969662,False,0.06892832980504188,0.06203584559273667,True,True,True,True
0.2,C7,0.04409245499305383,0.06752862595487336,False,0.04756806918043931,0.0421069255807601,True,True,True,True
0.3,C1,0.0985382502693601,0.0823367060180439,True,0.07766981975585517,0.04150944500477258,True,True,True,True
