seed,tau,criterion,min_active_g,max_active_g,min_headroom,max_headroom,min_shape,max_shape,min_shape_derivative,min_total_derivative_margin_vs_theta,max_class_ceiling_excess,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,headroom_nonnegative_ok,shape_bounds_ok,monotonicity_ok,derivative_floor_ok,structural_zero_ok,profile_min,profile_max,profile_mean
27001,0.0,C1,1.636045261801795e-05,0.3999403932831779,0.009215530710115383,0.1757477326905216,8.782848997272966e-09,0.9999999293786789,0.00018743371091959916,8.952990366961622e-06,-4.89099331131837e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.0,C2,0.001017931588270393,0.39906204300855164,0.02481476659829218,0.13893364927609983,3.370762604784536e-05,0.9999922875542426,0.0055542580989127455,0.00026776161974401136,-0.0004784727788677279,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27001,0.0,C3,0.0006696245563634685,0.39935041314981956,0.05619909929983308,0.16049805052868193,2.1446262490531584e-05,0.9999973627307754,0.003247934250902418,0.00019064975797825068,-0.0002296233505708345,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.0,C4,0.00040551248166388517,0.39893499167416185,0.008845066952482217,0.1522687383896801,3.537272705748513e-05,0.999991698392648,0.005762502009380999,0.00046099214813294376,-0.0003464182439166241,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.0,C5,8.471400673293221e-05,0.3993566057511057,0.03353825484496559,0.17337342001749972,1.4783528407127602e-07,0.9999974127740031,0.0007689870846022735,2.5790484815879644e-05,-9.033537686514714e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.0,C6,0.0011428785587820126,0.1988581907969573,0.017556349605209243,0.14132920413903466,7.365872439428293e-05,0.9999211785572151,0.017164932204268436,0.0006899584283983351,-0.0011418092030427152,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
27001,0.0,C7,0.0007500908872143579,0.399541049384464,0.018229279478251537,0.161171277303511,1.8722446684132995e-05,0.9999984233931175,0.0025112601478332053,0.00021131366957560793,-0.00014560184589479386,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.1,C1,1.636043028605533e-05,0.39994039452400176,0.009215530710115383,0.1757477326905216,7.90464640764467e-09,0.9999999364389343,0.0001686929746823384,8.057817187157035e-06,-4.8909820452192054e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.1,C2,0.001017848429209673,0.3990620910236211,0.02481476659829218,0.13893364927609983,3.0356433507281188e-05,0.9999930566569727,0.005001146022748671,0.0002410969990555012,-0.0004784514080179436,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27001,0.1,C3,0.0006695057349794657,0.39935041314981956,0.05619909929983308,0.16049805052868193,1.9311568029138007e-05,0.999997626029414,0.00292393200657954,0.00017163122352134574,-0.00022960789526360603,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.1,C4,0.00040504620557168484,0.39893501688282507,0.008845066952482217,0.1522687383896801,3.185649227247294e-05,0.9999925261614817,0.0051887422906485075,0.00041509216843313435,-0.00034635202356089745,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.1,C5,8.549523606703108e-05,0.3993566057511057,0.03353825484496559,0.17337342001749972,1.330574398353534e-07,0.9999976710804512,0.0006921327267272675,2.321292377549522e-05,-9.02981626607069e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.1,C6,0.0011423862559430873,0.19885875351114826,0.017556349605209243,0.14132920413903466,6.635606930537868e-05,0.9999289907226808,0.015470536601159879,0.0006218508172820547,-0.0011412464888517493,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
27001,0.1,C7,0.000750040998427043,0.3995410548215198,0.018229279478251537,0.161171277303511,1.68583031140529e-05,0.9999985808558423,0.002260607115114642,0.0001902221023878381,-0.00014558859596278118,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.2,C1,1.636040795409271e-05,0.3999403957648256,0.009215530710115383,0.1757477326905216,7.026443818016374e-09,0.9999999434991896,0.0001499522384450777,7.162644007407959e-06,-4.890970779120041e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.2,C2,0.001017765270148953,0.3990621390386906,0.02481476659829218,0.13893364927609983,2.700524096671701e-05,0.9999938257597027,0.004448033946584598,0.00021443237836699103,-0.00047843003716815935,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27001,0.2,C3,0.0006693869135954628,0.39935041314981956,0.05619909929983308,0.16049805052868193,1.717687356774443e-05,0.9999978893280528,0.0025999297622566623,0.0001526126890644408,-0.00022959243995634981,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.2,C4,0.0004045799294794845,0.3989350420914882,0.008845066952482217,0.1522687383896801,2.834025748746075e-05,0.9999933539303156,0.004614982571916017,0.0003691921887333388,-0.00034628580320517077,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.2,C5,8.627646540112996e-05,0.3993566057511057,0.03353825484496559,0.17337342001749972,1.1827959559943075e-07,0.9999979293868994,0.0006152783688522616,2.0635362735166307e-05,-9.026094845621113e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.2,C6,0.0011418939531041617,0.19885931622533923,0.017556349605209243,0.14132920413903466,5.905341421647442e-05,0.9999368028881466,0.01377614099805132,0.0005537432061657466,-0.0011406837746607834,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
27001,0.2,C7,0.0007499911096397279,0.39954106025857555,0.018229279478251537,0.161171277303511,1.4994159543972803e-05,0.999998738318567,0.0020099540823960782,0.0001691305352000544,-0.00014557534603079625,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.3,C1,1.636038562213009e-05,0.39994039700564943,0.009215530710115383,0.1757477326905216,6.148241228388076e-09,0.9999999505594449,0.00013121150220781695,6.267470827603372e-06,-4.8909595130236516e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.3,C2,0.001017682111088233,0.3990621870537601,0.02481476659829218,0.13893364927609983,2.365404842615284e-05,0.9999945948624326,0.003894921870420523,0.00018776775767842535,-0.0004784086663183751,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27001,0.3,C3,0.00066926809221146,0.39935041314981956,0.05619909929983308,0.16049805052868193,1.504217910635085e-05,0.9999981526266912,0.002275927517933784,0.00013359415460753588,-0.0002295769846491491,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.3,C4,0.00040411365338728416,0.39893506730015144,0.008845066952482217,0.1522687383896801,2.4824022702448555e-05,0.9999941816991491,0.004041222853183526,0.0003232922090335433,-0.0003462195828494996,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.3,C5,8.705769473522884e-05,0.3993566057511057,0.03353825484496559,0.17337342001749972,1.0350175136350811e-07,0.9999981876933474,0.0005384240109772556,1.8057801694781883e-05,-9.022373425177088e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.3,C6,0.0011414016502652364,0.1988598789395302,0.017556349605209243,0.14132920413903466,5.175075912757016e-05,0.9999446150536122,0.012081745394942759,0.0004856355950494662,-0.0011401210604698175,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
27001,0.3,C7,0.0007499412208524129,0.3995410656956313,0.018229279478251537,0.161171277303511,1.3130015973892703e-05,0.9999988957812918,0.001759301049677515,0.00014803896801227068,-0.00014556209609878357,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.4,C1,1.636036329016747e-05,0.3999403982464733,0.009215530710115383,0.1757477326905216,5.27003863875978e-09,0.9999999576197003,0.00011247076597055623,5.372297647854296e-06,-4.8909482469272625e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.4,C2,0.0010175989520275128,0.3990622350688296,0.02481476659829218,0.13893364927609983,2.0302855885588662e-05,0.9999953639651626,0.003341809794256448,0.00016110313698991519,-0.00047838729546856307,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27001,0.4,C3,0.0006691492708274572,0.39935041314981956,0.05619909929983308,0.16049805052868193,1.2907484644957274e-05,0.9999984159253299,0.0019519252736109063,0.00011457562015060319,-0.0002295615293418929,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.4,C4,0.00040364737729508377,0.39893509250881465,0.008845066952482217,0.1522687383896801,2.130778791743636e-05,0.999995009467983,0.003467463134451035,0.00027739222933373386,-0.00034615336249377293,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.4,C5,8.783892406932771e-05,0.3993566057511057,0.03353825484496559,0.17337342001749972,8.872390712758546e-08,0.9999984459997955,0.0004615696531022496,1.548024065445297e-05,-9.018652004733063e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.4,C6,0.001140909347426311,0.19886044165372116,0.017556349605209243,0.14132920413903466,4.4448104038665905e-05,0.999952427219078,0.010387349791834201,0.00041752798393315804,-0.0011395583462788517,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
27001,0.4,C7,0.0007498913320650979,0.3995410711326871,0.018229279478251537,0.161171277303511,1.1265872403812609e-05,0.9999990532440165,0.0015086480169589518,0.00012694740082450084,-0.00014554884616679864,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.5,C1,1.6360340958204852e-05,0.3999403994872972,0.009215530710115383,0.1757477326905216,4.391836049131484e-09,0.9999999646799558,9.373002973329548e-05,4.477124468049709e-06,-4.890936980828098e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.5,C2,0.0010175157929667928,0.39906228308389907,0.02481476659829218,0.13893364927609983,1.695166334502449e-05,0.9999961330678928,0.0027886977180923743,0.00013443851630140502,-0.0004783659246187788,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27001,0.5,C3,0.0006690304494434544,0.39935041314981956,0.05619909929983308,0.16049805052868193,1.0772790183563697e-05,0.9999986792239685,0.0016279230292880283,9.555708569369825e-05,-0.00022954607403466443,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.5,C4,0.00040318110120288344,0.3989351177174778,0.008845066952482217,0.1522687383896801,1.7791553132424168e-05,0.9999958372368167,0.0028937034157185443,0.00023149224963393833,-0.000346087142138074,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.5,C5,8.862015340342659e-05,0.3993566057511057,0.03353825484496559,0.17337342001749972,7.394606289166284e-08,0.9999987043062437,0.00038471529522724363,1.2902679614068546e-05,-9.014930584289038e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.5,C6,0.0011404170445873856,0.19886100436791213,0.017556349605209243,0.14132920413903466,3.7145448949761655e-05,0.9999602393845437,0.008692954188725642,0.00034942037281687766,-0.0011389956320878858,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
27001,0.5,C7,0.0007498414432777829,0.39954107656974286,0.018229279478251537,0.161171277303511,9.40172883373251e-06,0.9999992107067412,0.0012579949842403883,0.00010585583363671713,-0.0001455355962348137,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.6,C1,1.6360318626242235e-05,0.3999404007281211,0.009215530710115383,0.1757477326905216,3.5136334595031884e-09,0.999999971740211,7.498929349603475e-05,3.581951288245122e-06,-4.890925714731709e-05,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
27001,0.6,C2,0.0010174326339060728,0.39906233109896855,0.02481476659829218,0.13893364927609983,1.3600470804460317e-05,0.9999969021706228,0.0022355856419283004,0.00010777389561289485,-0.00047834455376899454,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
27001,0.6,C3,0.0006689116280594516,0.39935041314981956,0.05619909929983308,0.16049805052868193,8.63809572217012e-06,0.999998942522607,0.0013039207849651505,7.653855123679332e-05,-0.00022953061872743596,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
27001,0.6,C4,0.0004027148251106831,0.3989351429261411,0.008845066952482217,0.1522687383896801,1.4275318347411976e-05,0.9999966650056504,0.0023199436969860536,0.0001855922699341428,-0.0003460209217823751,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
