seed,tau,criterion,mean_abs_departure,median_abs_departure,max_abs_departure
27001,0.0,C1,0.042247190150798405,0.02313351519494452,0.17574772027898455
27001,0.0,C2,0.04659100733276901,0.04212679701799964,0.13862476563377174
27001,0.0,C3,0.04550121320117811,0.041027061659136,0.16023740697092437
27001,0.0,C4,0.03983611304643339,0.03162030472880447,0.15191750601024992
27001,0.0,C5,0.04463018075705332,0.02821300747638919,0.1729553413155455
27001,0.0,C6,0.035731745587966525,0.02759047559524801,0.14032318335197835
27001,0.0,C7,0.032840185228399627,0.01966205930548107,0.16092848232085938
27001,0.1,C1,0.042391458593263716,0.022895479407962587,0.17574772151980844
27001,0.1,C2,0.04661097646322444,0.042292578466956186,0.13862478700462152
27001,0.1,C3,0.045381120697603104,0.04113011309529897,0.16023740697092437
27001,0.1,C4,0.03970620819531422,0.03117456409759544,0.15191753121891313
27001,0.1,C5,0.044704619907298855,0.028244514043491334,0.17294144270242376
27001,0.1,C6,0.0357566160485183,0.027714396061637746,0.14032340416940395
27001,0.1,C7,0.03292501059962181,0.01969531880980946,0.16092444504857129
27001,0.2,C1,0.04253572703572903,0.022765190548728463,0.17574772276063227
27001,0.2,C2,0.04663094559367986,0.04250516738170735,0.1386248083754713
27001,0.2,C3,0.045261028194028094,0.04123404447309487,0.16023740697092437
27001,0.2,C4,0.039576303344195055,0.030875953258955514,0.1519175564275763
27001,0.2,C5,0.04477905905754438,0.028222464485106735,0.17292754408930214
27001,0.2,C6,0.03578148650907007,0.02775906775807011,0.14032362498682951
27001,0.2,C7,0.03300983597084398,0.01983850961848492,0.16092040777628325
27001,0.3,C1,0.042679995478194344,0.022640455180607075,0.1757477240014561
27001,0.3,C2,0.04665091472413529,0.04265436006716716,0.1386248297463211
27001,0.3,C3,0.04514093569045308,0.041327197465313985,0.16023740697092437
27001,0.3,C4,0.03944639849307587,0.03059297558687645,0.1519175816362395
27001,0.3,C5,0.044853498207789916,0.028254358086491065,0.1729136454761804
27001,0.3,C6,0.035806356969621846,0.02790622500526306,0.14032384580425508
27001,0.3,C7,0.03309466134206617,0.019916417679607647,0.1609163705039951
27001,0.4,C1,0.042824263920659654,0.022438425904515235,0.17574772524228
27001,0.4,C2,0.04667088385459071,0.04282531280343929,0.1386248511171709
27001,0.4,C3,0.045020843186878066,0.04130621189445555,0.16023740697092437
27001,0.4,C4,0.039316493641956704,0.029984646318835666,0.15191760684490271
27001,0.4,C5,0.04492793735803545,0.028331867015180548,0.17289974686305878
27001,0.4,C6,0.03583122743017362,0.027902408956248598,0.14032406662168065
27001,0.4,C7,0.033179486713288346,0.02013259647733376,0.16091233323170706
27001,0.5,C1,0.04296853236312497,0.02224293308449546,0.17574772648310388
27001,0.5,C2,0.04669085298504614,0.04295179963065522,0.1386248724880207
27001,0.5,C3,0.044900750683303056,0.041459949417261915,0.16023740697092437
27001,0.5,C4,0.039186588790837536,0.029536183285154727,0.15191763205356587
27001,0.5,C5,0.04500237650828098,0.028322491303046246,0.1728858482499371
27001,0.5,C6,0.03585609789072539,0.028041916353244052,0.14032428743910624
27001,0.5,C7,0.03326431208451053,0.020179199421060404,0.16090829595941902
27001,0.6,C1,0.04311280080559029,0.021992076356869762,0.17574772772392777
27001,0.6,C2,0.04671082211550155,0.04324686181697948,0.13862489385887047
27001,0.6,C3,0.04478065817972805,0.04143712954507211,0.16023740697092437
27001,0.6,C4,0.03905668393971836,0.029067428194312413,0.15191765726222914
27001,0.6,C5,0.04507681565852652,0.028472567034249524,0.17287194963681543
27001,0.6,C6,0.035880968351277166,0.028095205763699983,0.1403245082565318
27001,0.6,C7,0.03334913745573271,0.0203035599243295,0.16090425868713087
27001,0.7,C1,0.043257069248055585,0.021801544002514855,0.17574772896475166
27001,0.7,C2,0.046730791245956985,0.04341993598972974,0.13862491522972029
27001,0.7,C3,0.044660565676153036,0.041556244806862194,0.16023740697092437
27001,0.7,C4,0.038926779088599185,0.02857251456126301,0.1519176824708923
27001,0.7,C5,0.045151254808772044,0.028594548401603893,0.1728580510236938
27001,0.7,C6,0.03590583881182894,0.02812424648597646,0.14032472907395738
27001,0.7,C7,0.033433962826954884,0.020473079666613055,0.16090022141484284
27001,0.8,C1,0.0434013376905209,0.021473824557096635,0.17574773020557555
27001,0.8,C2,0.046750760376412404,0.04368310899803718,0.13862493660057007
27001,0.8,C3,0.044540473172578025,0.0417271747211631,0.16023740697092437
27001,0.8,C4,0.03879687423748001,0.028179822061476324,0.15191770767955545
27001,0.8,C5,0.04522569395901758,0.02867199012389437,0.17284415241057208
27001,0.8,C6,0.03593070927238071,0.028133522003890327,0.14032494989138297
27001,0.8,C7,0.033518788198177066,0.020550996048010743,0.16089618414255474
27001,0.9,C1,0.043545606132986206,0.02131166771820485,0.17574773144639938
27001,0.9,C2,0.046770729506867836,0.04380983508001679,0.13862495797141985
27001,0.9,C3,0.04442038066900302,0.04169526903590244,0.16023740697092437
27001,0.9,C4,0.038666969386360835,0.027620084404218377,0.15191773288821872
27001,0.9,C5,0.04530013310926311,0.028733391833799853,0.17283025379745046
27001,0.9,C6,0.03595557973293249,0.028184948108888008,0.14032517070880854
27001,0.9,C7,0.03360361356939925,0.020614915955704714,0.16089214687026665
27001,1.0,C1,0.04368987457545152,0.021084083302686248,0.17574773268722327
27001,1.0,C2,0.04679069863732326,0.0440468670570949,0.13862497934226964
27001,1.0,C3,0.044300288165428005,0.041794932581016506,0.16023740697092437
27001,1.0,C4,0.038537064535241666,0.027195800130813,0.15191775809688188
27001,1.0,C5,0.045374572259508646,0.02880716802769058,0.17281635518432878
27001,1.0,C6,0.03598045019348426,0.02817276744568201,0.1403253915262341
27001,1.0,C7,0.03368843894062143,0.020735769871074512,0.1608881095979786
27002,0.0,C1,0.03526349227303048,0.021838275580341286,0.1772370109978229
27002,0.0,C2,0.02909141114362663,0.021210623062454765,0.1153499345853054
27002,0.0,C3,0.02945105199136957,0.0100467991985725,0.14582003414670586
27002,0.0,C4,0.04788961740742777,0.03950365719458998,0.19421380757786047
27002,0.0,C5,0.03695142484354744,0.026792231811171963,0.12616388438531995
27002,0.0,C6,0.03582838112321125,0.027936020373317834,0.1305587968269264
27002,0.0,C7,0.03547269330049809,0.03360215396085145,0.11025080752534475
27002,0.1,C1,0.03516601000012149,0.021764986046484747,0.17723702191961727
27002,0.1,C2,0.028929932023674738,0.02101045698869937,0.11531421093331828
27002,0.1,C3,0.02935278920882022,0.009873770970976192,0.14568621893261596
27002,0.1,C4,0.04758099809906427,0.039456682950612415,0.19412164315916067
27002,0.1,C5,0.037142374789794624,0.02688115293472429,0.12616392233801155
27002,0.1,C6,0.03582329377685493,0.028051134189734338,0.13049676340831645
27002,0.1,C7,0.0353627567882491,0.03349177014087362,0.11015805445318291
27002,0.2,C1,0.0350685277272125,0.021652579033611057,0.17723703284141162
27002,0.2,C2,0.028768452903722846,0.020613646051753323,0.11527848728133117
27002,0.2,C3,0.029254526426270855,0.009773186852540902,0.145552403718526
27002,0.2,C4,0.04727237879070075,0.03923341494909461,0.19402947874046092
27002,0.2,C5,0.03733332473604181,0.026993979198691558,0.1261639602907032
27002,0.2,C6,0.03581820643049861,0.02809158643759096,0.1304347299897065
27002,0.2,C7,0.035252820276000095,0.03362583017290631,0.11006530138102108
27002,0.3,C1,0.03497104545430351,0.02146213030577009,0.17723704376320593
27002,0.3,C2,0.02860697378377095,0.020344265750119876,0.11524276362934399
27002,0.3,C3,0.02915626364372149,0.009557607139735524,0.14541858850443612
27002,0.3,C4,0.04696375948233723,0.03925731829201806,0.19393731432176112
27002,0.3,C5,0.037524274682289,0.027035728751894986,0.12616399824339486
27002,0.3,C6,0.035813119084142274,0.02801580371843708,0.1303726965710965
27002,0.3,C7,0.0351428837637511,0.03363201374397751,0.10997254830885925
27002,0.4,C1,0.03487356318139452,0.021385365950835303,0.17723705468500034
27002,0.4,C2,0.028445494663819054,0.019872538851657982,0.11520703997735687
27002,0.4,C3,0.029058000861172138,0.009451571712015647,0.14528477329034623
27002,0.4,C4,0.046655140173973736,0.03915761211527542,0.19384514990306137
27002,0.4,C5,0.037715224628536194,0.02713258556436466,0.12616403619608652
27002,0.4,C6,0.03580803173778594,0.02786391745397405,0.13031066315248657
27002,0.4,C7,0.035032947251502106,0.03361223522555986,0.10987979523669741
27002,0.5,C1,0.03477608090848553,0.021183305050851073,0.1772370656067947
27002,0.5,C2,0.028284015543867166,0.019354180845339942,0.11517131632536975
27002,0.5,C3,0.028959738078622774,0.009284190023491484,0.1451509580762563
27002,0.5,C4,0.046346520865610225,0.038748476754529304,0.1937529854843615
27002,0.5,C5,0.03790617457478337,0.027202393205812588,0.12616407414877817
27002,0.5,C6,0.035802944391429614,0.027864171470352125,0.13024862973387663
27002,0.5,C7,0.0349230107392531,0.03357559412812329,0.10978704216453558
27002,0.6,C1,0.03467859863557654,0.021144537167098437,0.177237076528589
27002,0.6,C2,0.028122536423915268,0.01890289702428969,0.11513559267338258
27002,0.6,C3,0.02886147529607341,0.009080422127977716,0.14501714286216638
27002,0.6,C4,0.04603790155724672,0.0385466016874132,0.19366082106566176
27002,0.6,C5,0.03809712452103056,0.027311250819618917,0.12616411210146977
27002,0.6,C6,0.03579785704507329,0.027672531276427017,0.1301865963152667
27002,0.6,C7,0.0348130742270041,0.033633885201313336,0.10969428909237378
27002,0.7,C1,0.03458111636266755,0.021134951100996016,0.17723708745038336
27002,0.7,C2,0.027961057303963376,0.018420445455366356,0.11509986902139546
