seed,eta,criterion,min_active_g,max_active_g,min_headroom,max_headroom,max_class_ceiling_excess,min_derivative,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,headroom_nonnegative_ok,monotonicity_ok,structural_zero_ok,profile_min,profile_max,profile_mean
21001,0.0,C1,3.24931284904e-06,0.32217036679414207,0.04944659144077268,0.14562191480631598,-0.049779917821644676,0.08716072627684453,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.0,C2,0.00033901916617479314,0.3587731085615006,0.038127406017091525,0.1902061740597763,-0.04122689143849945,0.09198829508252077,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.0,C3,0.00026011419482551643,0.3793098122542385,0.017158818129178854,0.13393740499275267,-0.020690187745761535,0.06606259500724734,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.0,C4,0.0004900677349729925,0.38299533144584225,0.01423876287526682,0.1492759856911246,-0.017004668554157776,0.1281278910596696,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.0,C5,7.878352062848051e-05,0.3541913804214366,0.028493588693327132,0.14996403040444886,-0.028496103302804582,0.05003596959555115,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.0,C6,0.0017957421847370257,0.18713395141060687,0.012009440260302318,0.08652070715103088,-0.012866048589393136,0.11347929284896913,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.0,C7,0.00038935154888589373,0.25229997054118375,0.03502228444134867,0.16471406359903273,-0.03680096565382604,0.0896689400266969,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.1,C1,3.994891780667892e-06,0.3298505040609654,0.04944659144077268,0.14562191480631598,-0.04483955442229212,0.08976717592241087,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.1,C2,0.0004126034185834311,0.3626146513069871,0.038127406017091525,0.1902061740597763,-0.03738534869301291,0.09374821438738676,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.1,C3,0.00033875957586913704,0.3811848063761192,0.017158818129178854,0.13393740499275267,-0.018815193623880844,0.07297194974971496,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.1,C4,0.0005273214796776597,0.3842442341000747,0.01423876287526682,0.1492759856911246,-0.015755765899925334,0.1327892911798951,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.1,C5,0.00011026186992377208,0.35877113659159754,0.028493588693327132,0.14996403040444886,-0.02564666048185002,0.06002892240089559,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.1,C6,0.0018973095351645503,0.18838058545129774,0.012009440260302318,0.08652070715103088,-0.011619414548702273,0.1199336073944823,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.1,C7,0.00041399874717953857,0.2668019277373789,0.03502228444134867,0.16471406359903273,-0.033371686025962216,0.0953686318082917,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.2,C1,4.512356473882976e-06,0.3375306413277887,0.04944659144077268,0.14562191480631598,-0.03989919102293954,0.09237362556797721,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
21001,0.2,C2,0.00047701429742808856,0.36645619405247365,0.038127406017091525,0.1902061740597763,-0.03354380594752637,0.09550813369225276,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.2,C3,0.00041740495691275765,0.3830598004979999,0.017158818129178854,0.13393740499275267,-0.016940199502000097,0.07988130449218259,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.2,C4,0.0005162631002655264,0.38549313675430713,0.01423876287526682,0.1492759856911246,-0.014506863245692891,0.13509758804991595,0.0,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
21001,0.2,C5,0.00014174021921906367,0.3633508927617585,0.028493588693327132,0.14996403040444886,-0.022797217660895486,0.07002187520624004,0.0,True,True,True,True,True,-1.0,1.0,0.0
21001,0.2,C6,0.0018795401358052213,0.18962721949198863,0.012009440260302318,0.08652070715103088,-0.010372780508011381,0.11918812245994792,0.0,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
