eta,pathway,factor,criterion,median_SRE,T_sci_SRE,pass_sci_SRE
1.0,h_D->C2,h_D,C2,0.387914849706357,0.334436750485118,True
1.0,h_D->C3,h_D,C3,0.42882820222899126,0.2848777950083017,True
1.0,h_D->C4,h_D,C4,0.31074694850021306,0.29284425142171366,True
1.0,h_D->C6,h_D,C6,0.4407043697723028,0.43161186520741024,True
1.0,h_D->C7,h_D,C7,0.3104317200267304,0.2525758990201667,True
1.0,h_E->C6,h_E,C6,0.3140965462125203,0.29686897119970923,True
1.0,h_I->C2,h_I,C2,0.2638493133046185,0.212043213358731,True
1.0,h_I->C4,h_I,C4,0.3090518328382504,0.29490518692082546,True
1.0,h_I->C5,h_I,C5,0.4722601590787269,0.4552711586651893,True
1.0,h_T->C3,h_T,C3,0.30385287864968563,0.18699477333676978,True
1.0,h_T->C7,h_T,C7,0.4715573129565594,0.37338001554965855,True
