seed,eta,criterion,active_alternatives,NS,LRV50,LRV_max,NSV_vector,pass_num_NS,pass_num_LRV,pass_num_NSV
21001,0.0,C1,6,0.0,1.3219348676614905e-16,3.085940738286285e-16,1.8035576242002578e-09,False,False,False
21001,0.0,C2,6,0.0,1.035361099832293e-16,4.476828941703194e-16,1.7393470323397037e-11,False,False,False
21001,0.0,C3,5,0.0,1.5485313844939964e-16,6.671692182429852e-16,1.759403091494218e-11,False,False,False
21001,0.0,C4,6,0.0,1.2223802550979761e-16,4.3124698074984075e-16,1.4948587571336547e-11,False,False,False
21001,0.0,C5,5,0.0,1.43684412702999e-16,6.326128341884431e-16,3.85381395343247e-11,False,False,False
21001,0.0,C6,6,0.0,1.003264240958173e-16,1.747234979459573e-16,1.2106523789353133e-11,False,False,False
21001,0.0,C7,6,0.0,1.0866582569983546e-16,2.5445672320916056e-16,2.331080685833005e-11,False,False,False
21001,0.1,C1,6,6.72355596961216e-05,0.02272994390654846,0.05420768766399609,0.012332188376871413,True,True,True
21001,0.1,C2,6,0.00010112815279206266,0.01865206776763288,0.045478722373533315,0.013206855956472452,True,True,True
21001,0.1,C3,5,7.37384898790161e-05,0.021426659908209703,0.04448394840676557,0.011128016759694055,True,True,True
21001,0.1,C4,6,0.00015133436228853547,0.019302554297688276,0.046239514899903945,0.015865590627152464,True,True,True
21001,0.1,C5,5,9.446182673422676e-05,0.024594978585023197,0.05089626522271805,0.014624581223926207,True,True,True
21001,0.1,C6,6,0.00016465079113936465,0.019404873199668236,0.04726426103701319,0.01664894118256158,True,True,True
21001,0.1,C7,6,8.321543564704381e-05,0.017990646455817827,0.04570493285002859,0.011747932090481146,True,True,True
21001,0.2,C1,6,0.000255227546953507,0.044149932069887356,0.10209024291147407,0.024292821758580774,True,True,True
21001,0.2,C2,6,0.000380457044719118,0.03585954545966864,0.08652033392928356,0.025814997036199744,True,True,True
21001,0.2,C3,5,0.00028330701729495367,0.03902335809426619,0.08472429297761351,0.021704181296073908,True,True,True
21001,0.2,C4,6,0.000573320644110531,0.03892726178330538,0.08991698788600329,0.03073669817525554,True,True,True
21001,0.2,C5,5,0.0003812624185022262,0.04429584667055871,0.09557898073767992,0.02994035136442556,True,True,True
21001,0.2,C6,6,0.0006169665919195655,0.038737080295037474,0.09192393289547136,0.0320423307455106,True,True,True
21001,0.2,C7,6,0.00029337347415714365,0.03392224064457987,0.08743839859517906,0.02187118931396702,True,True,True
21001,0.3,C1,6,0.0005445325737799545,0.06439062130356879,0.14604039039994604,0.03581858834049261,True,True,True
21001,0.3,C2,6,0.0008047567246872722,0.051804994080487735,0.12498958803665758,0.03778811449614965,True,True,True
21001,0.3,C3,5,0.000611630589442913,0.05802370112613004,0.12393663232399366,0.03171948577753468,True,True,True
21001,0.3,C4,6,0.0012178409493539544,0.05905711095342884,0.1321984918170779,0.04451954498538,True,True,True
21001,0.3,C5,5,0.0008631542467152364,0.06765619600645245,0.13898971664385895,0.04584230196137984,True,True,True
21001,0.3,C6,6,0.00130119739612522,0.05816024356934012,0.13446194290891644,0.04624328050857706,True,True,True
21001,0.3,C7,6,0.0005857009965480886,0.04820719684224696,0.1259130734915316,0.030664436461439067,True,True,True
21001,0.4,C1,6,0.0009174789148879148,0.08356467062623929,0.18749764300627433,0.04686429452583268,True,True,True
21001,0.4,C2,6,0.0013447869858593808,0.06663908726370814,0.16206798971759692,0.049107650248726015,True,True,True
21001,0.4,C3,5,0.0010424044787493703,0.07968116083459184,0.16406851651518978,0.04117525597922099,True,True,True
21001,0.4,C4,6,0.002038610061480206,0.07987416505541652,0.173994832508787,0.05717651469693508,True,True,True
21001,0.4,C5,5,0.0015397690869665137,0.09189530611059206,0.18498520067783294,0.06220158768574827,True,True,True
21001,0.4,C6,6,0.002169890155894416,0.07781728667475662,0.17526836193416256,0.05932757978108259,True,True,True
21001,0.4,C7,6,0.0009295746919186776,0.0611500290391474,0.1616704048680091,0.038360298078983404,True,True,True
21001,0.5,C1,6,0.0013583305356640318,0.10176985199625903,0.22741124814175642,0.05740104060052159,True,True,True
21001,0.5,C2,6,0.001975285132647997,0.08048761447158419,0.19858598922433357,0.059770228121618675,True,True,True
21001,0.5,C3,5,0.0015603242120345584,0.10311320304627553,0.2066547375388109,0.05008111352424321,True,True,True
21001,0.5,C4,6,0.0029929359417034673,0.10107880070558245,0.21609127833831496,0.06871435000664039,True,True,True
21001,0.5,C5,5,0.0024077718970343387,0.11581994345369995,0.23848840646843855,0.07887024291134992,True,True,True
21001,0.5,C6,6,0.0031830053837411665,0.09783950716592982,0.21466748652312462,0.07137704235314515,True,True,True
21001,0.5,C7,6,0.001303954274889385,0.07298098936890925,0.19513227629118174,0.04514330699666455,True,True,True
21001,0.6,C1,6,0.0018533016428734506,0.11749591116140091,0.26646226037492005,0.06741391644476294,True,True,True
21001,0.6,C2,6,0.0026747530712816214,0.09345665894546054,0.23519217103808185,0.06978476176468851,True,True,True
21001,0.6,C3,5,0.0021512365153398827,0.12327044097911982,0.25722596778691625,0.05845305180445,True,True,True
21001,0.6,C4,6,0.004042763669923066,0.11504453221381815,0.25923950286168246,0.07917199536353053,True,True,True
21001,0.6,C5,5,0.003461118636691851,0.14221408568165622,0.29710364948152074,0.09568780848353522,True,True,True
21001,0.6,C6,6,0.004307010841312242,0.118353540901074,0.25293670197929335,0.08247473695645845,True,True,True
21001,0.6,C7,6,0.0016943512030387353,0.08387774952279886,0.2266344699479123,0.05116081654702764,True,True,True
21001,0.7,C1,6,0.002390474163501355,0.12877961309157784,0.3051819225570332,0.07689953776612996,True,True,True
21001,0.7,C2,6,0.0034251293589543375,0.105636494130009,0.2724519616652548,0.0791695860808965,True,True,True
21001,0.7,C3,5,0.0028022235107714177,0.1384211324242565,0.31476697180547847,0.0663117133241972,True,True,True
21001,0.7,C4,6,0.005155148924794295,0.12780789896181075,0.3042396799413271,0.08860969169204129,True,True,True
21001,0.7,C5,5,0.004691390670275797,0.16748308518052235,0.3628128313171049,0.11248925404828335,True,True,True
21001,0.7,C6,6,0.00551400864783147,0.13948722283130122,0.2903202620530729,0.0927017722950453,True,True,True
21001,0.7,C7,6,0.0020907956052020893,0.09397983996561439,0.25644916702750836,0.05653137474232659,True,True,True
21001,0.8,C1,6,0.002959658007521848,0.13901799018915967,0.34402167650087223,0.0858636496706583,True,True,True
21001,0.8,C2,6,0.00421140817837895,0.11710456188831891,0.31091631303519507,0.08794983643871371,True,True,True
21001,0.8,C3,5,0.0035016327355712473,0.1527402871775316,0.3811939208357773,0.07368091188181197,True,True,True
21001,0.8,C4,6,0.00630230930315856,0.13956901703010624,0.3520361245482415,0.09710007860851688,True,True,True
21001,0.8,C5,5,0.006088178077130801,0.1870316128993329,0.4387976036611608,0.1291133056251742,True,True,True
21001,0.8,C6,6,0.006780927899142086,0.1571992840787867,0.3270399168991299,0.10213528034806126,True,True,True
21001,0.8,C7,6,0.0024864584341931506,0.1033985385378609,0.2848005624488782,0.06135110328333648,True,True,True
21001,0.9,C1,6,0.0035522226772923826,0.15504158084881678,0.3834000445092601,0.09431894005645074,True,True,True
21001,0.9,C2,6,0.0050212470845049095,0.12792778086141907,0.351182348588189,0.09615519455676291,True,True,True
21001,0.9,C3,5,0.004239064943345694,0.1663314450209242,0.4612334142045067,0.08058641004934125,True,True,True
21001,0.9,C4,6,0.007461386735559183,0.15048413631930277,0.4038590142553958,0.10472145078716852,True,True,True
21001,0.9,C5,5,0.0076394861023803,0.2061942173304205,0.5308014099487242,0.14541019483759512,True,True,True
21001,0.9,C6,6,0.008088798367825945,0.17005777324704177,0.3633036701724602,0.11084727586411662,True,True,True
21001,0.9,C7,6,0.002876708224155644,0.11548365751534308,0.31187599911169217,0.06569855240844215,True,True,True
21001,1.0,C1,6,0.004160919615947334,0.18034366511369948,0.4237396336470083,0.102283137461487,True,True,True
21001,1.0,C2,6,0.005844589740150119,0.13816435821016396,0.39396347135906284,0.10381804132250058,True,True,True
21001,1.0,C3,5,0.005005330478004555,0.17927550545804175,0.565169467365598,0.08705494044523598,True,True,True
21001,1.0,C4,6,0.008614031032472713,0.16067719369266328,0.4614789577376061,0.11155296644139392,True,True,True
21001,1.0,C5,5,0.009332142420252487,0.22504824763403547,0.6513672323980563,0.16124796926121854,True,True,True
21001,1.0,C6,6,0.009422110091724334,0.18199277920099022,0.39931360742119876,0.11890412823702506,True,True,True
21001,1.0,C7,6,0.0032584592029055726,0.12962970069717783,0.33783409840308687,0.06963840622089483,True,True,True
21002,0.0,C1,6,0.0,9.913103068534419e-17,3.1490043025789916e-16,8.518583876979998e-11,False,False,False
21002,0.0,C2,6,0.0,9.106197872083432e-17,2.602993587919464e-16,1.992198801154663e-11,False,False,False
21002,0.0,C3,5,0.0,1.8487656651386738e-16,4.529927626029093e-16,9.70382514038824e-12,False,False,False
21002,0.0,C4,6,0.0,1.3285617318860324e-16,6.089044468994093e-16,1.9782739163021504e-11,False,False,False
21002,0.0,C5,5,0.0,9.092872616676642e-17,2.8413902102441497e-16,1.0599659710451319e-10,False,False,False
21002,0.0,C6,6,0.0,9.51332223498421e-17,2.595168583796511e-16,4.4536212416928e-11,False,False,False
21002,0.0,C7,6,0.0,1.1307118705850854e-16,2.3886571574932744e-16,7.603180767159052e-12,False,False,False
21002,0.1,C1,6,0.0001461739535315587,0.021874666487194255,0.056152908695181386,0.017201918863799133,True,True,True
21002,0.1,C2,6,0.00012425949456829066,0.01900764707577213,0.044967522360033305,0.014332439900867092,True,True,True
21002,0.1,C3,5,0.00014868048937499712,0.019906086765695764,0.04136295241876924,0.015259619273103913,True,True,True
21002,0.1,C4,6,5.8586753023059934e-05,0.016056656109612433,0.04002773604782019,0.009889121417265325,True,True,True
21002,0.1,C5,5,8.797429691242975e-05,0.02748060121416076,0.055606031042036326,0.013970306171539559,True,True,True
21002,0.1,C6,6,0.00015246306668170728,0.0181921819149178,0.04440822279462986,0.015908743177565753,True,True,True
21002,0.1,C7,6,0.00011995230890948783,0.018760690170245523,0.045536496728675976,0.013648109615588003,True,True,True
21002,0.2,C1,6,0.0005286347199907615,0.041598979511003595,0.10974522576204088,0.03202480115682389,True,True,True
21002,0.2,C2,6,0.00045512558007276827,0.037318939479204616,0.0843268502133996,0.027429326509442076,True,True,True
21002,0.2,C3,5,0.0005390834990400828,0.03455638896529219,0.0744459597421053,0.028999588337103463,True,True,True
21002,0.2,C4,6,0.00022668971416794914,0.02777215653411091,0.06860920787938568,0.01956138442593941,True,True,True
21002,0.2,C5,5,0.000328611802029144,0.0522667621079764,0.1070207151230947,0.026500696422047887,True,True,True
21002,0.2,C6,6,0.0005324972243572201,0.034247589030358745,0.0822348341794535,0.029559895692761334,True,True,True
21002,0.2,C7,6,0.00043417768730891204,0.03719933828234385,0.0879345718907451,0.02563490760601308,True,True,True
