seed,eta,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
21001,0.0,h_D,C1,h_D->C1,6,0.04809198167361342,0.08304323412609904,0.5791198064373052
21001,0.0,h_D,C2,h_D->C2,6,0.03504250846459439,0.1064302671757961,0.3292532227358192
21001,0.0,h_D,C3,h_D->C3,5,0.033795969645219345,0.11534238611360781,0.293005639848985
21001,0.0,h_D,C4,h_D->C4,6,0.0351336827519642,0.09863086417420494,0.3562138793547805
21001,0.0,h_D,C6,h_D->C6,6,0.02943096016941953,0.05850921020668829,0.5030141419607167
21001,0.0,h_D,C7,h_D->C7,6,0.020341430869993876,0.07011348738644058,0.2901215105388929
21001,0.0,h_E,C6,h_E->C6,6,0.019059973079908456,0.05850921020668829,0.3257602181306477
21001,0.0,h_I,C2,h_I->C2,6,0.02179222421949083,0.1064302671757961,0.20475589132263275
21001,0.0,h_I,C4,h_I->C4,6,0.03358140929068898,0.09863086417420494,0.3404756672418074
21001,0.0,h_I,C5,h_I->C5,5,0.06183945579426667,0.16016758802116354,0.3860921960422448
21001,0.0,h_T,C3,h_T->C3,5,0.022286551814784297,0.11534238611360781,0.19322083204208798
21001,0.0,h_T,C7,h_T->C7,6,0.030633309109008133,0.07011348738644058,0.43691036133649047
21001,0.1,h_D,C1,h_D->C1,6,0.05157863462882362,0.08345593673670912,0.6180343381793004
21001,0.1,h_D,C2,h_D->C2,6,0.03805977810756136,0.10793746619915572,0.3526095196359765
21001,0.1,h_D,C3,h_D->C3,5,0.03609321480548009,0.1141779884662734,0.31611359851400267
21001,0.1,h_D,C4,h_D->C4,6,0.03607890681305905,0.10245038664404713,0.35215979162732863
21001,0.1,h_D,C6,h_D->C6,6,0.030723811675163883,0.06085008197236203,0.504909947181561
21001,0.1,h_D,C7,h_D->C7,6,0.02165459127505808,0.07385337794469946,0.29321057313017657
21001,0.1,h_E,C6,h_E->C6,6,0.01970895537297209,0.06085008197236203,0.3238936536124957
21001,0.1,h_I,C2,h_I->C2,6,0.023587630382228702,0.10793746619915572,0.21853051783232125
21001,0.1,h_I,C4,h_I->C4,6,0.03477140394751675,0.10245038664404713,0.339397488737518
21001,0.1,h_I,C5,h_I->C5,5,0.06284823735601204,0.15365437641174767,0.4090234123054756
21001,0.1,h_T,C3,h_T->C3,5,0.02334001526737052,0.1141779884662734,0.20441781801104703
21001,0.1,h_T,C7,h_T->C7,6,0.03244498357805256,0.07385337794469946,0.439316175922348
21001,0.2,h_D,C1,h_D->C1,6,0.05511359975552181,0.08423924989512957,0.6542508370323705
21001,0.2,h_D,C2,h_D->C2,6,0.0408462299855422,0.10892254056968918,0.3750025455845255
21001,0.2,h_D,C3,h_D->C3,5,0.03793367070296283,0.11187920199610128,0.3390591819196714
21001,0.2,h_D,C4,h_D->C4,6,0.03735756309730225,0.10759940791884766,0.34719115857152705
21001,0.2,h_D,C6,h_D->C6,6,0.03196844838813434,0.06323794541975385,0.5055263604064328
21001,0.2,h_D,C7,h_D->C7,6,0.022788029258406388,0.077355882911084,0.29458689372475116
21001,0.2,h_E,C6,h_E->C6,6,0.020424073546876947,0.06323794541975385,0.32297180768580186
21001,0.2,h_I,C2,h_I->C2,6,0.025228604847209648,0.10892254056968918,0.23161968785365084
21001,0.2,h_I,C4,h_I->C4,6,0.03567948935434756,0.10759940791884766,0.3315955918728263
21001,0.2,h_I,C5,h_I->C5,5,0.06632313125081904,0.147837053158178,0.44862319583310484
21001,0.2,h_T,C3,h_T->C3,5,0.024794311024443093,0.11187920199610128,0.22161680260362865
21001,0.2,h_T,C7,h_T->C7,6,0.03428799386114396,0.077355882911084,0.44324998397488036
21001,0.3,h_D,C1,h_D->C1,6,0.05862586291624831,0.08523156682067817,0.6878421352842846
