candidate_id,params,mean_cv_rmse,fold_sd_rmse_ddof0,fold1_rmse,fold2_rmse,fold3_rmse,fold4_rmse,fold5_rmse,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,selected
16,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.018619169296064695,0.0004544448270447003,0.018746494326941594,0.018188838047538573,0.019423305544486826,0.01854036442927931,0.018196844132077155,400,5,0.1,1.0,0.8,1,0.0,1.0,False
17,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.017781084237565112,0.00035052574037426414,0.018107425146641994,0.017233951657138955,0.018204910987185196,0.01774378619946318,0.01761534719739623,600,2,0.1,1.0,0.8,5,0.0,1.0,False
18,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""subsample"": 1.0}",0.019308315676850287,0.0004447311746707226,0.01948978999810092,0.018553274740903836,0.01992857854232935,0.01929178855508092,0.019278146547836408,200,2,0.03,1.0,0.8,5,0.1,5.0,False
19,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.017957109933942006,0.00033963769664128557,0.018074656187121705,0.017467286157304186,0.018502127377244174,0.017945106692534286,0.01779637325550568,400,3,0.05,1.0,0.8,1,0.1,1.0,False
20,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.017885955257839113,0.00039278252363229973,0.018175678091895818,0.017222602539733636,0.018366146635026732,0.01790735037928501,0.017757998643254364,400,2,0.05,0.8,0.8,1,0.1,1.0,False
21,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 600, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.018394893614009106,0.00047618464455354226,0.01852865844692054,0.017845804295861377,0.01920223825964124,0.01840591214150334,0.017991854926119048,600,5,0.05,0.8,1.0,1,0.0,1.0,False
22,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 5, ""n_estimators"": 200, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.01813619432777781,0.0003644898765196008,0.01826659295319255,0.01763837949088407,0.018715108535512046,0.018175244459409712,0.01788564619989068,200,3,0.05,0.8,0.8,5,0.1,1.0,False
23,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 5, ""n_estimators"": 600, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.8}",0.017941633245260196,0.00034107926443875935,0.01812029263545991,0.017390064641962036,0.01841909910497474,0.017967099786512,0.017811610057392294,600,2,0.03,0.8,1.0,5,0.1,1.0,False
24,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.1, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""subsample"": 0.8}",0.01776053469653025,0.00038705981385179226,0.017994211566608305,0.01726324753526853,0.018357609385082126,0.017726240523473814,0.017461364472218473,400,2,0.1,0.8,0.8,1,0.0,5.0,False
25,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 2, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 1.0}",0.018299761519146827,0.0003737160108255328,0.01857711107374048,0.017646622834472967,0.018734608603873916,0.018314782843656088,0.0182256822399907,400,2,0.03,1.0,1.0,1,0.0,1.0,False
