seed,eta,criterion,mean_abs_departure,median_abs_departure,max_abs_departure
21001,0.0,C1,0.0,0.0,0.0
21001,0.0,C2,0.0,0.0,0.0
21001,0.0,C3,0.0,0.0,0.0
21001,0.0,C4,0.0,0.0,0.0
21001,0.0,C5,0.0,0.0,0.0
21001,0.0,C6,0.0,0.0,0.0
21001,0.0,C7,0.0,0.0,0.0
21001,0.1,C1,0.003113459160036123,0.002352776966650212,0.01161430971709837
21001,0.1,C2,0.0039348413159117955,0.003205426182548654,0.018776944035421794
21001,0.1,C3,0.0018176769736450765,0.0010196355627291043,0.011565518596439242
21001,0.1,C4,0.0017807143886570892,0.0014000154079984659,0.0074102838899532675
21001,0.1,C5,0.002527755640840212,0.0015909311354534855,0.014996073228463289
21001,0.1,C6,0.0015844912817763103,0.0009508841882466743,0.0064301889131793966
21001,0.1,C7,0.00327331583633822,0.0022298108247865295,0.014261453775034627
21001,0.2,C1,0.006226918320072246,0.004705553933300438,0.023228619434196796
21001,0.2,C2,0.007869682631823593,0.006410852365097319,0.03755388807084359
21001,0.2,C3,0.003635353947290153,0.002039271125458181,0.023131037192878484
21001,0.2,C4,0.003561428777314178,0.002800030815996918,0.014820567779906563
21001,0.2,C5,0.005055511281680424,0.003181862270906957,0.02999214645692659
21001,0.2,C6,0.00316898256355262,0.0019017683764933416,0.012860377826358793
21001,0.2,C7,0.00654663167267644,0.004459621649573066,0.028522907550069254
21001,0.3,C1,0.009340377480108367,0.007058330899950657,0.034842929151295166
21001,0.3,C2,0.011804523947735386,0.009616278547645976,0.05633083210626538
21001,0.3,C3,0.005453030920935229,0.003058906688187285,0.034696555789317726
21001,0.3,C4,0.005342143165971268,0.004200046223995384,0.022230851669859802
21001,0.3,C5,0.0075832669225206345,0.004772793406360443,0.04498821968538988
21001,0.3,C6,0.00475347384532893,0.002852652564740016,0.019290566739538217
21001,0.3,C7,0.009819947509014661,0.006689432474359609,0.04278436132510388
21001,0.4,C1,0.012453836640144492,0.00941110786660087,0.04645723886839359
21001,0.4,C2,0.015739365263647186,0.012821704730194637,0.07510777614168718
21001,0.4,C3,0.007270707894580308,0.004078542250916362,0.04626207438575697
21001,0.4,C4,0.007122857554628357,0.005600061631993836,0.029641135559813098
21001,0.4,C5,0.010111022563360848,0.006363724541813928,0.05998429291385317
21001,0.4,C6,0.00633796512710524,0.00380353675298669,0.025720755652717586
21001,0.4,C7,0.01309326334535288,0.008919243299146146,0.057045815100138564
21001,0.5,C1,0.015567295800180611,0.011763884833251081,0.05807154858549196
21001,0.5,C2,0.01967420657955898,0.01602713091274329,0.09388472017710903
21001,0.5,C3,0.009088384868225384,0.005098177813645466,0.05782759298219621
21001,0.5,C4,0.008903571943285445,0.0070000770399923015,0.03705141944976634
21001,0.5,C5,0.01263877820420106,0.007954655677267414,0.07498036614231647
21001,0.5,C6,0.007922456408881551,0.004754420941233356,0.03215094456589701
21001,0.5,C7,0.016366579181691102,0.011149054123932675,0.07130726887517319
21001,0.6,C1,0.018680754960216733,0.014116661799901294,0.06968585830259033
21001,0.6,C2,0.02360904789547077,0.019232557095291952,0.11266166421253077
21001,0.6,C3,0.010906061841870459,0.006117813376374556,0.06939311157863545
21001,0.6,C4,0.010684286331942535,0.008400092447990753,0.04446170333971963
21001,0.6,C5,0.015166533845041269,0.009545586812720858,0.08997643937077977
21001,0.6,C6,0.00950694769065786,0.00570530512948003,0.03858113347907641
21001,0.6,C7,0.019639895018029322,0.013378864948719205,0.08556872265020782
21001,0.7,C1,0.021794214120252856,0.01646943876655152,0.08130016801968876
21001,0.7,C2,0.027543889211382566,0.022437983277840613,0.13143860824795262
21001,0.7,C3,0.012723738815515537,0.007137448939103647,0.08095863017507468
21001,0.7,C4,0.012465000720599624,0.00980010785598922,0.05187198722967287
21001,0.7,C5,0.017694289485881483,0.011136517948174343,0.10497251259924305
21001,0.7,C6,0.011091438972434172,0.0066561893177267024,0.045011322392255804
21001,0.7,C7,0.022913210854367545,0.015608675773505741,0.09983017642524245
21001,0.8,C1,0.024907673280288985,0.01882221573320174,0.09291447773678713
21001,0.8,C2,0.03147873052729437,0.025643409460389274,0.15021555228337435
21001,0.8,C3,0.014541415789160616,0.008157084501832751,0.09252414877151396
21001,0.8,C4,0.014245715109256712,0.011200123263987671,0.05928227111962617
21001,0.8,C5,0.020222045126721697,0.012727449083627829,0.11996858582770635
21001,0.8,C6,0.01267593025421048,0.007607073505973377,0.0514415113054352
21001,0.8,C7,0.02618652669070576,0.017838486598292284,0.11409163020027707
21001,0.9,C1,0.028021132440325103,0.02117499269985195,0.10452878745388555
21001,0.9,C2,0.03541357184320616,0.02884883564293793,0.1689924963187962
21001,0.9,C3,0.01635909276280569,0.009176720064561841,0.10408966736795319
21001,0.9,C4,0.016026429497913802,0.012600138671986137,0.06669255500957941
21001,0.9,C5,0.022749800767561907,0.014318380219081314,0.1349646590561696
21001,0.9,C6,0.014260421535986788,0.008557957694220051,0.0578717002186146
21001,0.9,C7,0.029459842527043985,0.02006829742307882,0.1283530839753117
21001,1.0,C1,0.031134591600361222,0.023527769666502177,0.11614309717098392
