seed,eta,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
21001,0.0,h_D,C1,h_D->C1,6,0.04809198167361342,0.08304323412609904,0.5791198064373052
21001,0.0,h_D,C2,h_D->C2,6,0.03504250846459439,0.1064302671757961,0.3292532227358192
21001,0.0,h_D,C3,h_D->C3,5,0.033795969645219345,0.11534238611360781,0.293005639848985
21001,0.0,h_D,C4,h_D->C4,6,0.0351336827519642,0.09863086417420494,0.3562138793547805
21001,0.0,h_D,C6,h_D->C6,6,0.02943096016941953,0.05850921020668829,0.5030141419607167
21001,0.0,h_D,C7,h_D->C7,6,0.020341430869993876,0.07011348738644058,0.2901215105388929
21001,0.0,h_E,C6,h_E->C6,6,0.019059973079908456,0.05850921020668829,0.3257602181306477
21001,0.0,h_I,C2,h_I->C2,6,0.02179222421949083,0.1064302671757961,0.20475589132263275
21001,0.0,h_I,C4,h_I->C4,6,0.03358140929068898,0.09863086417420494,0.3404756672418074
21001,0.0,h_I,C5,h_I->C5,5,0.06183945579426667,0.16016758802116354,0.3860921960422448
21001,0.0,h_T,C3,h_T->C3,5,0.022286551814784297,0.11534238611360781,0.19322083204208798
21001,0.0,h_T,C7,h_T->C7,6,0.030633309109008133,0.07011348738644058,0.43691036133649047
21001,0.1,h_D,C1,h_D->C1,6,0.050926302764601784,0.08476525391656503,0.6007921926846118
21001,0.1,h_D,C2,h_D->C2,6,0.03726106671939694,0.109603290835458,0.3399630288017097
21001,0.1,h_D,C3,h_D->C3,5,0.03555732955949321,0.11333632498589723,0.3137328615834683
21001,0.1,h_D,C4,h_D->C4,6,0.035865794271304076,0.09965623567810905,0.35989513377558396
21001,0.1,h_D,C6,h_D->C6,6,0.030576514304071607,0.05997430759759822,0.5098268830165915
21001,0.1,h_D,C7,h_D->C7,6,0.02142289127237583,0.07123489597206067,0.30073591011457995
21001,0.1,h_E,C6,h_E->C6,6,0.019578889207223775,0.05997430759759822,0.32645461016846145
21001,0.1,h_I,C2,h_I->C2,6,0.02307115019145191,0.109603290835458,0.21049687482355786
21001,0.1,h_I,C4,h_I->C4,6,0.034402402136189864,0.09965623567810905,0.34521073269278263
21001,0.1,h_I,C5,h_I->C5,5,0.06257634049507427,0.15775722045464174,0.39666229104657375
21001,0.1,h_T,C3,h_T->C3,5,0.02323103402139014,0.11333632498589723,0.2049743012584524
21001,0.1,h_T,C7,h_T->C7,6,0.03214589009307972,0.07123489597206067,0.4512660495108538
21001,0.2,h_D,C1,h_D->C1,6,0.0537715781048918,0.08621044796108424,0.6237246108330256
21001,0.2,h_D,C2,h_D->C2,6,0.03913645014149496,0.1126823445175178,0.3473166120985654
21001,0.2,h_D,C3,h_D->C3,5,0.03692355870819569,0.11167780624815099,0.3306257523166237
21001,0.2,h_D,C4,h_D->C4,6,0.03651851691045402,0.10085778434223928,0.36207930947773126
21001,0.2,h_D,C6,h_D->C6,6,0.03146174196056977,0.061529697925980724,0.5113261241410032
21001,0.2,h_D,C7,h_D->C7,6,0.02227536728417188,0.07245103153408532,0.3074541081362624
21001,0.2,h_E,C6,h_E->C6,6,0.020189537451601014,0.061529697925980724,0.32812671168255353
21001,0.2,h_I,C2,h_I->C2,6,0.024313392133300922,0.1126823445175178,0.215769313615101
21001,0.2,h_I,C4,h_I->C4,6,0.03506139646356818,0.10085778434223928,0.3476320314974123
21001,0.2,h_I,C5,h_I->C5,5,0.06565062689817894,0.15523666804184033,0.4229066993376943
21001,0.2,h_T,C3,h_T->C3,5,0.02419868050915361,0.11167780624815099,0.21668298583128348
21001,0.2,h_T,C7,h_T->C7,6,0.033623598921872735,0.07245103153408532,0.464087235329287
21001,0.3,h_D,C1,h_D->C1,6,0.05653656397227476,0.0880363984312334,0.6421953303302628
