seed,eta,modal_alternative,modal_count,modal_share,nonoptimal_contexts,regret_mean,regret_median,regret_p95,conditional_regret_mean,conditional_regret_median,conditional_regret_p95
21001,0.0,A6,962,0.962,38,0.0011106357489747713,0.0,0.0,0.029227256551967666,0.024378956429113238,0.06930059435701717
21001,0.1,A6,960,0.96,40,0.0011967255142960825,0.0,0.0,0.029918137857402067,0.02672604914752734,0.07085958853975333
21001,0.2,A6,957,0.957,43,0.0012931465520499143,0.0,0.0,0.03007317562906778,0.026938087550563247,0.07254152219351828
21001,0.3,A6,955,0.955,45,0.0013958814002568085,0.0,0.0,0.031019586672373516,0.026880120175639653,0.07780026891088002
21001,0.4,A6,954,0.954,46,0.001515771033667829,0.0,0.0,0.032951544210170186,0.02886863767934939,0.08260913632132
21001,0.5,A6,950,0.95,50,0.001652639399355521,0.0,3.249492085165588e-05,0.033052787987110414,0.02823815757712262,0.08514201660233531
21001,0.6,A6,945,0.945,55,0.0018204749193358885,0.0,0.002723313765863824,0.033099543987925244,0.02341847023613492,0.08451073396920315
21001,0.7,A6,941,0.941,59,0.0020252697839101374,0.0,0.004934507188595686,0.03432660650695148,0.02547338253609809,0.08396550571359557
21001,0.8,A6,937,0.937,63,0.0023029562994191146,0.0,0.014574395914327621,0.03655486189554149,0.0272097729577464,0.08600363329184309
21001,0.9,A6,936,0.936,64,0.0026260284783386307,0.0,0.018029538432735307,0.04103169497404112,0.03679288263162584,0.09127979455728809
21001,1.0,A6,928,0.928,72,0.0030260634362207143,0.0,0.021103190473481918,0.04202865883639881,0.039408313610822816,0.09643392782799842
21002,0.0,A1,467,0.467,533,0.06437548998930606,0.008484711880175431,0.27279264844864687,0.12077953093678433,0.09157011760711638,0.3294060629160771
21002,0.1,A1,417,0.417,583,0.069402689357145,0.022128460556435116,0.2788270807838475,0.11904406407743565,0.09187017729156033,0.32196802382361944
21002,0.2,A1,351,0.351,649,0.07592799261586597,0.0362233244841165,0.2840180832541668,0.1169922844620431,0.09130549056358565,0.31286692020957996
21002,0.3,A1,302,0.302,698,0.08410899037435672,0.054049018848844055,0.28499903071392513,0.1204999862096801,0.09576688179146889,0.3157920626871218
21002,0.4,A6,309,0.309,691,0.09165001239689087,0.07669399398243341,0.25068078134465105,0.1326338819057755,0.1262396077993268,0.2851694722852025
21002,0.5,A6,346,0.346,654,0.0835765005104775,0.06253872320418181,0.23727829791749955,0.12779281423620414,0.12093733076576468,0.2715901691728014
21002,0.6,A6,381,0.381,619,0.07646056631363679,0.04824990166458702,0.22923155792228533,0.12352272425466361,0.11826716582412215,0.26445751804207707
21002,0.7,A6,414,0.414,586,0.07020589772192841,0.03563440069631527,0.22261808251325144,0.11980528621489492,0.11486582506946325,0.2605282358402673
21002,0.8,A6,448,0.448,552,0.06475307075156062,0.022739924421634118,0.2143991935258623,0.11730628759340692,0.1125647596666037,0.2530979608839811
21002,0.9,A6,480,0.48,520,0.059997503062738926,0.010366659279395953,0.20537914669026305,0.11537981358219024,0.11218141145863234,0.2480311208566743
21002,1.0,A6,508,0.508,492,0.05586022391326372,0.0,0.20057874481108437,0.11353704047411325,0.10826951791622971,0.24342120111972407
21003,0.0,A2,761,0.761,239,0.04453549050247285,0.0,0.28948414553810775,0.1863409644454931,0.1741235381048839,0.4010505667483874
21003,0.1,A2,760,0.76,240,0.043247973212862535,0.0,0.28089396002195766,0.18019988838692722,0.167012407494725,0.3883147470766225
21003,0.2,A2,757,0.757,243,0.04210347888952731,0.0,0.27412342555761693,0.17326534522439221,0.15914213714549458,0.3808607025044315
21003,0.3,A2,755,0.755,245,0.04111640508251556,0.0,0.2632044265648358,0.167822061561288,0.15415994191216195,0.36888469991144984
21003,0.4,A2,752,0.752,248,0.04033468372632142,0.0,0.25942210469446203,0.16263985373516704,0.1478502428969254,0.36022269699535464
21003,0.5,A2,752,0.752,248,0.0396969906298568,0.0,0.25335261179508806,0.1600685106042613,0.1430736888365936,0.35498300776013775
21003,0.6,A2,740,0.74,260,0.03922217652769902,0.0,0.25085561116136745,0.15085452510653466,0.13364075173886725,0.3457648016789305
