seed,eta,criterion,min_active_g,max_active_g,min_headroom,max_headroom,max_class_ceiling_excess,min_derivative_margin_vs_theta,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,headroom_nonnegative_ok,derivative_floor_ok,structural_zero_ok,profile_min,profile_max,profile_mean
21001,0.0,C1,3.24931284904e-06,0.32217036679414207,0.04944659144077268,0.14562191480631598,-0.049779917821644676,0.0,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.0,C2,0.00033901916617479314,0.3587731085615006,0.038127406017091525,0.1902061740597763,-0.04122689143849945,0.0,0.0,True,True,True,True,True,0.0,1.0,0.5000000000000001
21001,0.0,C3,0.00026011419482551643,0.3793098122542385,0.017158818129178854,0.13393740499275267,-0.020690187745761535,0.0,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.0,C4,0.0004900677349729925,0.38299533144584225,0.01423876287526682,0.1492759856911246,-0.017004668554157776,0.0,0.0,True,True,True,True,True,0.0,1.0,0.5000000000000001
21001,0.0,C5,7.878352062848051e-05,0.3541913804214366,0.028493588693327132,0.14996403040444886,-0.028496103302804582,0.0,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.0,C6,0.0017957421847370257,0.18713395141060687,0.012009440260302318,0.08652070715103088,-0.012866048589393136,0.0,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.0,C7,0.00038935154888589373,0.25229997054118375,0.03502228444134867,0.16471406359903273,-0.03680096565382604,0.0,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.1,C1,3.459650570052103e-06,0.326017568303748,0.04944659144077268,0.14562191480631598,-0.04682078317023061,0.002472366438974416,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.1,C2,0.000358937476959375,0.3614126919709946,0.038127406017091525,0.1902061740597763,-0.038587308029005396,0.0019119909817834624,0.0,True,True,True,True,True,0.0,1.0,0.5000000000000001
21001,0.1,C3,0.00028656025053822915,0.3803703860231924,0.017158818129178854,0.13393740499275267,-0.019629613976807625,0.0008596299303919586,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.1,C4,0.0005038337030828348,0.3841232243332291,0.01423876287526682,0.1492759856911246,-0.015876775666770926,0.0007152057968309311,0.0,True,True,True,True,True,0.0,1.0,0.5000000000000001
21001,0.1,C5,9.060831093448025e-05,0.3564815181624085,0.028493588693327132,0.14996403040444886,-0.026002966513169495,0.0014280442518929681,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.1,C6,0.0018644157743280326,0.18832669947093963,0.012009440260302318,0.08652070715103088,-0.011673300529060376,0.0006194762365602791,0.0,True,True,True,True,True,0.0,1.0,0.5
21001,0.1,C7,0.00041338818294424677,0.2665614243162184,0.03502228444134867,0.16471406359903273,-0.034040595367385185,0.0017602384387842007,0.0,True,True,True,True,True,0.0,1.0,0.5
