seed,p,criterion,min_active_g,max_active_g,min_headroom,max_headroom,min_shape,max_shape,min_shape_derivative,min_total_derivative_margin_vs_theta,max_class_ceiling_excess,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,headroom_nonnegative_ok,shape_bounds_ok,monotonicity_ok,derivative_floor_ok,structural_zero_ok,profile_min,profile_max,profile_mean
23001,1,C1,0.00011546016170170888,0.3994702033229194,0.04565266846387667,0.18217195427017904,0.0005773008085085444,0.9986755083072985,1.0,0.04565266846387667,-0.0002648983385403203,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,1,C2,0.0004272376424119314,0.3966864399695572,0.0021091653839082625,0.19076174926223538,0.002136188212059631,0.991716099923893,1.0,0.0021091653839082625,-0.001656780015221404,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
23001,1,C3,0.0007815655316671978,0.3960969176839446,0.00438935212190994,0.1480740952178412,0.003907827658335972,0.9902422942098614,1.0,0.00438935212190994,-0.0019515411580277031,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23001,1,C4,0.0004701162119563424,0.3964655318820404,0.06197270854704928,0.13832938404885242,0.002350581059781698,0.9911638297051011,1.0,0.06197270854704928,-0.001767234058979772,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,1,C5,0.00012343016816341245,0.3997586105060503,0.007694173528173531,0.14105929532498002,0.0006171508408170379,0.9993965262651258,1.0,0.007694173528173531,-0.00012069474697481986,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23001,1,C6,0.0003378998722952245,0.19799706421450225,0.0033246798993044613,0.14557016463178535,0.00168949936147611,0.9899853210725111,1.0,0.0033246798993044613,-0.0020029357854977614,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,1,C7,0.0009020998048987869,0.39731244684738537,0.03134692122486615,0.12998841722820823,0.004510499024493934,0.9932811171184635,1.0,0.03134692122486615,-0.0013437765763073262,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,2,C1,8.067861752615905e-05,0.39951839645487497,0.04565266846387667,0.18217195427017904,3.33276223504619e-07,0.999998245721756,0.0011546016170170888,5.271064482953447e-05,-0.00019927290680943344,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,2,C2,0.00042633845251676886,0.3976267363449306,0.0021091653839082625,0.19076174926223538,4.563300077342706e-06,0.999931376999529,0.004272376424119348,0.0006165757535022132,-0.001008106208602616,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
23001,2,C3,0.00020517874372565767,0.3960969176839446,0.00438935212190994,0.1480740952178412,1.527111700725592e-05,0.9999047871777131,0.007815655316672025,0.001157296089550723,-0.000838665226903873,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23001,2,C4,0.00014572608364487037,0.39662615603500706,0.06197270854704928,0.13832938404885242,5.5252313186045845e-06,0.9999219220945196,0.004701162119563453,0.0006503088603130106,-0.0008752096987254543,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,2,C5,3.6429031430260616e-05,0.39976325093561776,0.007694173528173531,0.14105929532498002,3.808751603212104e-07,0.9999996358194513,0.0012069474697484761,9.28646327164051e-06,-0.00010816703322594212,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
23001,2,C6,0.00016732698245293457,0.19930394868483695,0.0033246798993044613,0.14557016463178535,2.854408092428305e-06,0.9998997062059793,0.003378998722952292,0.00034172312067877464,-0.0006960513151630654,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,2,C7,0.0006058428503726625,0.3978058219507429,0.03134692122486615,0.12998841722820823,2.034460144996073e-05,0.9999548566128242,0.009020998048987868,0.0004691997391017,-0.0011702748095342441,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,3,C1,8.065853811258533e-05,0.3995184602862779,0.04565266846387667,0.18217195427017904,1.924006332858909e-10,0.9999999976764731,9.99828670513857e-07,4.564484681890413e-08,-0.00019918598647028496,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
23001,3,C2,0.0004263365316779144,0.3976345256661461,0.0021091653839082625,0.19076174926223538,9.748067833310486e-09,0.9999994315339211,1.3689900232028119e-05,1.9756827847050573e-06,-0.0010027326596065977,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
23001,3,C3,0.00020292632349384025,0.3960969176839446,0.00438935212190994,0.1480740952178412,5.967689341464017e-08,0.9999990709412927,4.581335102176777e-05,6.783770501443687e-06,-0.0008278061109870394,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
