seed,p,dominant_alternative,dominated_alternative,contexts_dominated,context_count,dominance_share,structural_dominance
23001,5,A2,A1,0,1000,0.0,False
23001,5,A2,A3,0,1000,0.0,False
23001,5,A2,A4,0,1000,0.0,False
23001,5,A2,A5,0,1000,0.0,False
23001,5,A2,A6,0,1000,0.0,False
23001,5,A3,A1,0,1000,0.0,False
23001,5,A3,A2,0,1000,0.0,False
23001,5,A3,A4,0,1000,0.0,False
23001,5,A3,A5,471,1000,0.471,False
23001,5,A3,A6,0,1000,0.0,False
23001,5,A4,A1,0,1000,0.0,False
23001,5,A4,A2,0,1000,0.0,False
23001,5,A4,A3,0,1000,0.0,False
23001,5,A4,A5,0,1000,0.0,False
23001,5,A4,A6,0,1000,0.0,False
23001,5,A5,A1,0,1000,0.0,False
23001,5,A5,A2,0,1000,0.0,False
23001,5,A5,A3,0,1000,0.0,False
23001,5,A5,A4,0,1000,0.0,False
23001,5,A5,A6,0,1000,0.0,False
23001,5,A6,A1,0,1000,0.0,False
23001,5,A6,A2,0,1000,0.0,False
23001,5,A6,A3,0,1000,0.0,False
23001,5,A6,A4,0,1000,0.0,False
23001,5,A6,A5,0,1000,0.0,False
23002,1,A1,A2,0,1000,0.0,False
23002,1,A1,A3,0,1000,0.0,False
23002,1,A1,A4,0,1000,0.0,False
23002,1,A1,A5,0,1000,0.0,False
23002,1,A1,A6,0,1000,0.0,False
23002,1,A2,A1,0,1000,0.0,False
23002,1,A2,A3,0,1000,0.0,False
23002,1,A2,A4,0,1000,0.0,False
23002,1,A2,A5,0,1000,0.0,False
23002,1,A2,A6,0,1000,0.0,False
23002,1,A3,A1,0,1000,0.0,False
23002,1,A3,A2,0,1000,0.0,False
23002,1,A3,A4,0,1000,0.0,False
23002,1,A3,A5,1000,1000,1.0,True
23002,1,A3,A6,0,1000,0.0,False
23002,1,A4,A1,0,1000,0.0,False
23002,1,A4,A2,0,1000,0.0,False
23002,1,A4,A3,0,1000,0.0,False
23002,1,A4,A5,0,1000,0.0,False
23002,1,A4,A6,0,1000,0.0,False
23002,1,A5,A1,0,1000,0.0,False
23002,1,A5,A2,0,1000,0.0,False
23002,1,A5,A3,0,1000,0.0,False
23002,1,A5,A4,0,1000,0.0,False
23002,1,A5,A6,0,1000,0.0,False
23002,1,A6,A1,0,1000,0.0,False
23002,1,A6,A2,0,1000,0.0,False
23002,1,A6,A3,0,1000,0.0,False
23002,1,A6,A4,0,1000,0.0,False
23002,1,A6,A5,0,1000,0.0,False
23002,2,A1,A2,0,1000,0.0,False
23002,2,A1,A3,0,1000,0.0,False
23002,2,A1,A4,0,1000,0.0,False
23002,2,A1,A5,0,1000,0.0,False
23002,2,A1,A6,0,1000,0.0,False
23002,2,A2,A1,0,1000,0.0,False
23002,2,A2,A3,0,1000,0.0,False
23002,2,A2,A4,0,1000,0.0,False
23002,2,A2,A5,0,1000,0.0,False
23002,2,A2,A6,0,1000,0.0,False
23002,2,A3,A1,0,1000,0.0,False
23002,2,A3,A2,0,1000,0.0,False
23002,2,A3,A4,0,1000,0.0,False
23002,2,A3,A5,0,1000,0.0,False
23002,2,A3,A6,0,1000,0.0,False
23002,2,A4,A1,0,1000,0.0,False
23002,2,A4,A2,0,1000,0.0,False
23002,2,A4,A3,0,1000,0.0,False
23002,2,A4,A5,0,1000,0.0,False
23002,2,A4,A6,0,1000,0.0,False
23002,2,A5,A1,0,1000,0.0,False
23002,2,A5,A2,0,1000,0.0,False
23002,2,A5,A3,0,1000,0.0,False
23002,2,A5,A4,0,1000,0.0,False
23002,2,A5,A6,0,1000,0.0,False
23002,2,A6,A1,0,1000,0.0,False
23002,2,A6,A2,0,1000,0.0,False
23002,2,A6,A3,0,1000,0.0,False
23002,2,A6,A4,0,1000,0.0,False
23002,2,A6,A5,0,1000,0.0,False
23002,3,A1,A2,0,1000,0.0,False
23002,3,A1,A3,0,1000,0.0,False
23002,3,A1,A4,0,1000,0.0,False
23002,3,A1,A5,0,1000,0.0,False
23002,3,A1,A6,0,1000,0.0,False
23002,3,A2,A1,0,1000,0.0,False
23002,3,A2,A3,0,1000,0.0,False
23002,3,A2,A4,0,1000,0.0,False
23002,3,A2,A5,0,1000,0.0,False
23002,3,A2,A6,0,1000,0.0,False
23002,3,A3,A1,0,1000,0.0,False
23002,3,A3,A2,0,1000,0.0,False
23002,3,A3,A4,0,1000,0.0,False
23002,3,A3,A5,0,1000,0.0,False
23002,3,A3,A6,0,1000,0.0,False
23002,3,A4,A1,0,1000,0.0,False
23002,3,A4,A2,0,1000,0.0,False
23002,3,A4,A3,0,1000,0.0,False
23002,3,A4,A5,0,1000,0.0,False
23002,3,A4,A6,0,1000,0.0,False
23002,3,A5,A1,0,1000,0.0,False
23002,3,A5,A2,0,1000,0.0,False
23002,3,A5,A3,0,1000,0.0,False
23002,3,A5,A4,0,1000,0.0,False
23002,3,A5,A6,0,1000,0.0,False
23002,3,A6,A1,0,1000,0.0,False
23002,3,A6,A2,0,1000,0.0,False
23002,3,A6,A3,0,1000,0.0,False
23002,3,A6,A4,0,1000,0.0,False
23002,3,A6,A5,0,1000,0.0,False
23002,4,A1,A2,0,1000,0.0,False
23002,4,A1,A3,0,1000,0.0,False
23002,4,A1,A4,0,1000,0.0,False
23002,4,A1,A5,0,1000,0.0,False
23002,4,A1,A6,0,1000,0.0,False
23002,4,A2,A1,0,1000,0.0,False
23002,4,A2,A3,0,1000,0.0,False
23002,4,A2,A4,0,1000,0.0,False
23002,4,A2,A5,0,1000,0.0,False
23002,4,A2,A6,0,1000,0.0,False
23002,4,A3,A1,0,1000,0.0,False
23002,4,A3,A2,0,1000,0.0,False
23002,4,A3,A4,20,1000,0.02,False
23002,4,A3,A5,0,1000,0.0,False
23002,4,A3,A6,0,1000,0.0,False
23002,4,A4,A1,0,1000,0.0,False
23002,4,A4,A2,0,1000,0.0,False
23002,4,A4,A3,0,1000,0.0,False
23002,4,A4,A5,0,1000,0.0,False
23002,4,A4,A6,0,1000,0.0,False
23002,4,A5,A1,0,1000,0.0,False
23002,4,A5,A2,0,1000,0.0,False
23002,4,A5,A3,0,1000,0.0,False
23002,4,A5,A4,0,1000,0.0,False
23002,4,A5,A6,0,1000,0.0,False
23002,4,A6,A1,0,1000,0.0,False
23002,4,A6,A2,0,1000,0.0,False
23002,4,A6,A3,0,1000,0.0,False
23002,4,A6,A4,0,1000,0.0,False
23002,4,A6,A5,0,1000,0.0,False
23002,5,A1,A2,0,1000,0.0,False
23002,5,A1,A3,0,1000,0.0,False
23002,5,A1,A4,0,1000,0.0,False
23002,5,A1,A5,0,1000,0.0,False
23002,5,A1,A6,0,1000,0.0,False
23002,5,A2,A1,0,1000,0.0,False
23002,5,A2,A3,0,1000,0.0,False
23002,5,A2,A4,0,1000,0.0,False
23002,5,A2,A5,0,1000,0.0,False
23002,5,A2,A6,0,1000,0.0,False
23002,5,A3,A1,0,1000,0.0,False
23002,5,A3,A2,0,1000,0.0,False
23002,5,A3,A4,36,1000,0.036,False
23002,5,A3,A5,0,1000,0.0,False
23002,5,A3,A6,0,1000,0.0,False
23002,5,A4,A1,0,1000,0.0,False
23002,5,A4,A2,0,1000,0.0,False
23002,5,A4,A3,0,1000,0.0,False
23002,5,A4,A5,0,1000,0.0,False
23002,5,A4,A6,0,1000,0.0,False
23002,5,A5,A1,0,1000,0.0,False
23002,5,A5,A2,0,1000,0.0,False
23002,5,A5,A3,0,1000,0.0,False
23002,5,A5,A4,0,1000,0.0,False
23002,5,A5,A6,0,1000,0.0,False
23002,5,A6,A1,0,1000,0.0,False
23002,5,A6,A2,0,1000,0.0,False
23002,5,A6,A3,0,1000,0.0,False
23002,5,A6,A4,0,1000,0.0,False
23002,5,A6,A5,0,1000,0.0,False
23003,1,A1,A2,0,1000,0.0,False
23003,1,A1,A3,0,1000,0.0,False
23003,1,A1,A4,0,1000,0.0,False
23003,1,A1,A5,0,1000,0.0,False
23003,1,A1,A6,0,1000,0.0,False
23003,1,A2,A1,0,1000,0.0,False
23003,1,A2,A3,0,1000,0.0,False
23003,1,A2,A4,0,1000,0.0,False
23003,1,A2,A5,0,1000,0.0,False
23003,1,A2,A6,0,1000,0.0,False
23003,1,A3,A1,0,1000,0.0,False
23003,1,A3,A2,0,1000,0.0,False
23003,1,A3,A4,0,1000,0.0,False
23003,1,A3,A5,1000,1000,1.0,True
23003,1,A3,A6,0,1000,0.0,False
23003,1,A4,A1,0,1000,0.0,False
23003,1,A4,A2,0,1000,0.0,False
23003,1,A4,A3,0,1000,0.0,False
23003,1,A4,A5,0,1000,0.0,False
23003,1,A4,A6,0,1000,0.0,False
23003,1,A5,A1,0,1000,0.0,False
23003,1,A5,A2,0,1000,0.0,False
23003,1,A5,A3,0,1000,0.0,False
23003,1,A5,A4,0,1000,0.0,False
23003,1,A5,A6,0,1000,0.0,False
23003,1,A6,A1,0,1000,0.0,False
23003,1,A6,A2,0,1000,0.0,False
23003,1,A6,A3,182,1000,0.182,False
23003,1,A6,A4,0,1000,0.0,False
23003,1,A6,A5,1000,1000,1.0,True
23003,2,A1,A2,0,1000,0.0,False
23003,2,A1,A3,0,1000,0.0,False
23003,2,A1,A4,0,1000,0.0,False
23003,2,A1,A5,0,1000,0.0,False
23003,2,A1,A6,0,1000,0.0,False
23003,2,A2,A1,0,1000,0.0,False
23003,2,A2,A3,0,1000,0.0,False
23003,2,A2,A4,0,1000,0.0,False
23003,2,A2,A5,0,1000,0.0,False
23003,2,A2,A6,0,1000,0.0,False
23003,2,A3,A1,0,1000,0.0,False
23003,2,A3,A2,0,1000,0.0,False
23003,2,A3,A4,0,1000,0.0,False
23003,2,A3,A5,0,1000,0.0,False
23003,2,A3,A6,0,1000,0.0,False
23003,2,A4,A1,0,1000,0.0,False
23003,2,A4,A2,0,1000,0.0,False
23003,2,A4,A3,0,1000,0.0,False
23003,2,A4,A5,0,1000,0.0,False
23003,2,A4,A6,0,1000,0.0,False
23003,2,A5,A1,0,1000,0.0,False
23003,2,A5,A2,0,1000,0.0,False
23003,2,A5,A3,0,1000,0.0,False
23003,2,A5,A4,0,1000,0.0,False
23003,2,A5,A6,0,1000,0.0,False
23003,2,A6,A1,0,1000,0.0,False
23003,2,A6,A2,0,1000,0.0,False
23003,2,A6,A3,0,1000,0.0,False
23003,2,A6,A4,0,1000,0.0,False
23003,2,A6,A5,0,1000,0.0,False
23003,3,A1,A2,0,1000,0.0,False
23003,3,A1,A3,0,1000,0.0,False
23003,3,A1,A4,0,1000,0.0,False
23003,3,A1,A5,0,1000,0.0,False
23003,3,A1,A6,0,1000,0.0,False
23003,3,A2,A1,0,1000,0.0,False
23003,3,A2,A3,0,1000,0.0,False
23003,3,A2,A4,0,1000,0.0,False
23003,3,A2,A5,0,1000,0.0,False
23003,3,A2,A6,0,1000,0.0,False
23003,3,A3,A1,0,1000,0.0,False
23003,3,A3,A2,0,1000,0.0,False
23003,3,A3,A4,0,1000,0.0,False
23003,3,A3,A5,0,1000,0.0,False
23003,3,A3,A6,0,1000,0.0,False
23003,3,A4,A1,0,1000,0.0,False
23003,3,A4,A2,0,1000,0.0,False
23003,3,A4,A3,0,1000,0.0,False
23003,3,A4,A5,0,1000,0.0,False
23003,3,A4,A6,0,1000,0.0,False
23003,3,A5,A1,0,1000,0.0,False
23003,3,A5,A2,0,1000,0.0,False
23003,3,A5,A3,0,1000,0.0,False
23003,3,A5,A4,0,1000,0.0,False
23003,3,A5,A6,0,1000,0.0,False
23003,3,A6,A1,0,1000,0.0,False
23003,3,A6,A2,0,1000,0.0,False
23003,3,A6,A3,0,1000,0.0,False
23003,3,A6,A4,0,1000,0.0,False
23003,3,A6,A5,0,1000,0.0,False
23003,4,A1,A2,2,1000,0.002,False
23003,4,A1,A3,0,1000,0.0,False
23003,4,A1,A4,0,1000,0.0,False
23003,4,A1,A5,0,1000,0.0,False
23003,4,A1,A6,0,1000,0.0,False
23003,4,A2,A1,0,1000,0.0,False
23003,4,A2,A3,0,1000,0.0,False
23003,4,A2,A4,0,1000,0.0,False
23003,4,A2,A5,0,1000,0.0,False
23003,4,A2,A6,0,1000,0.0,False
23003,4,A3,A1,0,1000,0.0,False
23003,4,A3,A2,0,1000,0.0,False
23003,4,A3,A4,0,1000,0.0,False
23003,4,A3,A5,0,1000,0.0,False
23003,4,A3,A6,0,1000,0.0,False
23003,4,A4,A1,0,1000,0.0,False
23003,4,A4,A2,0,1000,0.0,False
23003,4,A4,A3,0,1000,0.0,False
23003,4,A4,A5,0,1000,0.0,False
23003,4,A4,A6,0,1000,0.0,False
23003,4,A5,A1,0,1000,0.0,False
23003,4,A5,A2,0,1000,0.0,False
23003,4,A5,A3,0,1000,0.0,False
23003,4,A5,A4,0,1000,0.0,False
23003,4,A5,A6,0,1000,0.0,False
23003,4,A6,A1,0,1000,0.0,False
23003,4,A6,A2,0,1000,0.0,False
23003,4,A6,A3,0,1000,0.0,False
23003,4,A6,A4,0,1000,0.0,False
23003,4,A6,A5,0,1000,0.0,False
23003,5,A1,A2,29,1000,0.029,False
23003,5,A1,A3,0,1000,0.0,False
23003,5,A1,A4,0,1000,0.0,False
23003,5,A1,A5,0,1000,0.0,False
23003,5,A1,A6,0,1000,0.0,False
23003,5,A2,A1,0,1000,0.0,False
23003,5,A2,A3,0,1000,0.0,False
23003,5,A2,A4,0,1000,0.0,False
23003,5,A2,A5,0,1000,0.0,False
23003,5,A2,A6,0,1000,0.0,False
23003,5,A3,A1,0,1000,0.0,False
23003,5,A3,A2,0,1000,0.0,False
23003,5,A3,A4,0,1000,0.0,False
23003,5,A3,A5,0,1000,0.0,False
23003,5,A3,A6,0,1000,0.0,False
23003,5,A4,A1,0,1000,0.0,False
23003,5,A4,A2,0,1000,0.0,False
23003,5,A4,A3,0,1000,0.0,False
23003,5,A4,A5,0,1000,0.0,False
23003,5,A4,A6,0,1000,0.0,False
23003,5,A5,A1,0,1000,0.0,False
23003,5,A5,A2,0,1000,0.0,False
23003,5,A5,A3,0,1000,0.0,False
23003,5,A5,A4,0,1000,0.0,False
23003,5,A5,A6,0,1000,0.0,False
23003,5,A6,A1,0,1000,0.0,False
23003,5,A6,A2,0,1000,0.0,False
23003,5,A6,A3,0,1000,0.0,False
23003,5,A6,A4,0,1000,0.0,False
23003,5,A6,A5,0,1000,0.0,False
23004,1,A1,A2,0,1000,0.0,False
23004,1,A1,A3,0,1000,0.0,False
23004,1,A1,A4,0,1000,0.0,False
23004,1,A1,A5,0,1000,0.0,False
23004,1,A1,A6,0,1000,0.0,False
23004,1,A2,A1,0,1000,0.0,False
23004,1,A2,A3,0,1000,0.0,False
23004,1,A2,A4,0,1000,0.0,False
23004,1,A2,A5,0,1000,0.0,False
23004,1,A2,A6,0,1000,0.0,False
23004,1,A3,A1,0,1000,0.0,False
23004,1,A3,A2,0,1000,0.0,False
23004,1,A3,A4,0,1000,0.0,False
23004,1,A3,A5,0,1000,0.0,False
23004,1,A3,A6,0,1000,0.0,False
23004,1,A4,A1,0,1000,0.0,False
23004,1,A4,A2,0,1000,0.0,False
23004,1,A4,A3,0,1000,0.0,False
23004,1,A4,A5,0,1000,0.0,False
23004,1,A4,A6,0,1000,0.0,False
23004,1,A5,A1,0,1000,0.0,False
23004,1,A5,A2,0,1000,0.0,False
23004,1,A5,A3,0,1000,0.0,False
23004,1,A5,A4,0,1000,0.0,False
23004,1,A5,A6,0,1000,0.0,False
23004,1,A6,A1,0,1000,0.0,False
23004,1,A6,A2,0,1000,0.0,False
23004,1,A6,A3,0,1000,0.0,False
23004,1,A6,A4,0,1000,0.0,False
23004,1,A6,A5,0,1000,0.0,False
23004,2,A1,A2,0,1000,0.0,False
23004,2,A1,A3,0,1000,0.0,False
23004,2,A1,A4,0,1000,0.0,False
23004,2,A1,A5,0,1000,0.0,False
23004,2,A1,A6,0,1000,0.0,False
23004,2,A2,A1,0,1000,0.0,False
23004,2,A2,A3,0,1000,0.0,False
23004,2,A2,A4,0,1000,0.0,False
23004,2,A2,A5,0,1000,0.0,False
23004,2,A2,A6,0,1000,0.0,False
23004,2,A3,A1,0,1000,0.0,False
23004,2,A3,A2,0,1000,0.0,False
23004,2,A3,A4,0,1000,0.0,False
23004,2,A3,A5,0,1000,0.0,False
23004,2,A3,A6,0,1000,0.0,False
23004,2,A4,A1,0,1000,0.0,False
23004,2,A4,A2,0,1000,0.0,False
23004,2,A4,A3,0,1000,0.0,False
23004,2,A4,A5,0,1000,0.0,False
23004,2,A4,A6,0,1000,0.0,False
23004,2,A5,A1,0,1000,0.0,False
23004,2,A5,A2,0,1000,0.0,False
23004,2,A5,A3,0,1000,0.0,False
23004,2,A5,A4,0,1000,0.0,False
23004,2,A5,A6,0,1000,0.0,False
23004,2,A6,A1,0,1000,0.0,False
23004,2,A6,A2,0,1000,0.0,False
23004,2,A6,A3,0,1000,0.0,False
23004,2,A6,A4,0,1000,0.0,False
23004,2,A6,A5,0,1000,0.0,False
23004,3,A1,A2,0,1000,0.0,False
23004,3,A1,A3,0,1000,0.0,False
23004,3,A1,A4,0,1000,0.0,False
23004,3,A1,A5,0,1000,0.0,False
23004,3,A1,A6,0,1000,0.0,False
23004,3,A2,A1,0,1000,0.0,False
23004,3,A2,A3,0,1000,0.0,False
23004,3,A2,A4,0,1000,0.0,False
23004,3,A2,A5,0,1000,0.0,False
23004,3,A2,A6,0,1000,0.0,False
23004,3,A3,A1,0,1000,0.0,False
23004,3,A3,A2,0,1000,0.0,False
23004,3,A3,A4,0,1000,0.0,False
23004,3,A3,A5,0,1000,0.0,False
23004,3,A3,A6,0,1000,0.0,False
23004,3,A4,A1,0,1000,0.0,False
23004,3,A4,A2,0,1000,0.0,False
23004,3,A4,A3,0,1000,0.0,False
23004,3,A4,A5,0,1000,0.0,False
23004,3,A4,A6,0,1000,0.0,False
23004,3,A5,A1,0,1000,0.0,False
23004,3,A5,A2,0,1000,0.0,False
23004,3,A5,A3,0,1000,0.0,False
23004,3,A5,A4,0,1000,0.0,False
23004,3,A5,A6,0,1000,0.0,False
23004,3,A6,A1,0,1000,0.0,False
23004,3,A6,A2,0,1000,0.0,False
23004,3,A6,A3,0,1000,0.0,False
23004,3,A6,A4,0,1000,0.0,False
23004,3,A6,A5,0,1000,0.0,False
23004,4,A1,A2,0,1000,0.0,False
23004,4,A1,A3,0,1000,0.0,False
23004,4,A1,A4,0,1000,0.0,False
23004,4,A1,A5,0,1000,0.0,False
23004,4,A1,A6,0,1000,0.0,False
23004,4,A2,A1,0,1000,0.0,False
23004,4,A2,A3,0,1000,0.0,False
23004,4,A2,A4,0,1000,0.0,False
23004,4,A2,A5,0,1000,0.0,False
23004,4,A2,A6,0,1000,0.0,False
23004,4,A3,A1,0,1000,0.0,False
23004,4,A3,A2,0,1000,0.0,False
23004,4,A3,A4,0,1000,0.0,False
23004,4,A3,A5,0,1000,0.0,False
23004,4,A3,A6,0,1000,0.0,False
23004,4,A4,A1,0,1000,0.0,False
23004,4,A4,A2,0,1000,0.0,False
23004,4,A4,A3,0,1000,0.0,False
23004,4,A4,A5,0,1000,0.0,False
23004,4,A4,A6,0,1000,0.0,False
23004,4,A5,A1,0,1000,0.0,False
23004,4,A5,A2,0,1000,0.0,False
23004,4,A5,A3,0,1000,0.0,False
23004,4,A5,A4,0,1000,0.0,False
23004,4,A5,A6,0,1000,0.0,False
23004,4,A6,A1,0,1000,0.0,False
23004,4,A6,A2,0,1000,0.0,False
23004,4,A6,A3,0,1000,0.0,False
23004,4,A6,A4,0,1000,0.0,False
23004,4,A6,A5,0,1000,0.0,False
23004,5,A1,A2,0,1000,0.0,False
23004,5,A1,A3,0,1000,0.0,False
23004,5,A1,A4,0,1000,0.0,False
23004,5,A1,A5,0,1000,0.0,False
23004,5,A1,A6,0,1000,0.0,False
23004,5,A2,A1,0,1000,0.0,False
23004,5,A2,A3,0,1000,0.0,False
23004,5,A2,A4,0,1000,0.0,False
23004,5,A2,A5,0,1000,0.0,False
23004,5,A2,A6,0,1000,0.0,False
23004,5,A3,A1,0,1000,0.0,False
23004,5,A3,A2,0,1000,0.0,False
23004,5,A3,A4,0,1000,0.0,False
23004,5,A3,A5,0,1000,0.0,False
23004,5,A3,A6,0,1000,0.0,False
23004,5,A4,A1,0,1000,0.0,False
23004,5,A4,A2,0,1000,0.0,False
23004,5,A4,A3,0,1000,0.0,False
23004,5,A4,A5,0,1000,0.0,False
23004,5,A4,A6,0,1000,0.0,False
23004,5,A5,A1,0,1000,0.0,False
23004,5,A5,A2,0,1000,0.0,False
23004,5,A5,A3,0,1000,0.0,False
23004,5,A5,A4,0,1000,0.0,False
23004,5,A5,A6,0,1000,0.0,False
23004,5,A6,A1,0,1000,0.0,False
23004,5,A6,A2,0,1000,0.0,False
23004,5,A6,A3,0,1000,0.0,False
23004,5,A6,A4,0,1000,0.0,False
23004,5,A6,A5,0,1000,0.0,False
23005,1,A1,A2,0,1000,0.0,False
23005,1,A1,A3,0,1000,0.0,False
23005,1,A1,A4,0,1000,0.0,False
23005,1,A1,A5,0,1000,0.0,False
23005,1,A1,A6,0,1000,0.0,False
23005,1,A2,A1,0,1000,0.0,False
23005,1,A2,A3,0,1000,0.0,False
23005,1,A2,A4,0,1000,0.0,False
23005,1,A2,A5,0,1000,0.0,False
23005,1,A2,A6,0,1000,0.0,False
23005,1,A3,A1,0,1000,0.0,False
23005,1,A3,A2,0,1000,0.0,False
23005,1,A3,A4,0,1000,0.0,False
23005,1,A3,A5,0,1000,0.0,False
23005,1,A3,A6,0,1000,0.0,False
23005,1,A4,A1,0,1000,0.0,False
23005,1,A4,A2,0,1000,0.0,False
23005,1,A4,A3,0,1000,0.0,False
23005,1,A4,A5,0,1000,0.0,False
23005,1,A4,A6,0,1000,0.0,False
23005,1,A5,A1,0,1000,0.0,False
23005,1,A5,A2,0,1000,0.0,False
23005,1,A5,A3,0,1000,0.0,False
23005,1,A5,A4,0,1000,0.0,False
23005,1,A5,A6,0,1000,0.0,False
23005,1,A6,A1,0,1000,0.0,False
23005,1,A6,A2,0,1000,0.0,False
23005,1,A6,A3,0,1000,0.0,False
23005,1,A6,A4,0,1000,0.0,False
23005,1,A6,A5,0,1000,0.0,False
23005,2,A1,A2,0,1000,0.0,False
