seed,p,modal_alternative,modal_count,modal_share,nonoptimal_contexts,regret_mean,regret_median,regret_p95,conditional_regret_mean,conditional_regret_median,conditional_regret_p95
23001,1,A4,941,0.941,59,0.0019171279021937431,0.0,0.0029236267325912888,0.03249369325752107,0.028619853215046277,0.08151040707737509
23001,2,A4,535,0.535,465,0.03906247600970837,0.0,0.16416383126553344,0.084005324752061,0.07648886298992075,0.19702450867124638
23001,3,A3,343,0.343,657,0.061511293387015824,0.03201444426778732,0.22276239303810574,0.09362449526182014,0.07379594570241495,0.24797301660111698
23001,4,A3,399,0.399,601,0.051170552580479124,0.0211855096562338,0.19673570185427494,0.08514235038349272,0.06583543639816071,0.23633054433195141
23001,5,A3,423,0.423,577,0.04570043178794455,0.015014034968278743,0.18087501884452528,0.07920352129626439,0.061598998891487365,0.22218421460547408
23002,1,A3,417,0.417,583,0.06813321993830908,0.02897288621297692,0.24763098766625186,0.11686658651510992,0.10478964056867666,0.27468941605433295
23002,2,A3,719,0.719,281,0.022371160561151078,0.0,0.13111997585630183,0.07961267103612484,0.06238492897642288,0.2183105514785715
23002,3,A3,814,0.814,186,0.012826303711094526,0.0,0.0906859588253698,0.06895862210265875,0.06011059768415973,0.1881388405049677
23002,4,A3,854,0.854,146,0.009690513825242004,0.0,0.07647918335844792,0.06637338236467126,0.05218213226325004,0.17457592677528333
23002,5,A3,871,0.871,129,0.00817257911203772,0.0,0.06314013803776834,0.06335332644990484,0.04988835725396326,0.16443430045770097
23003,1,A1,412,0.412,588,0.07928031608166074,0.026457399770995052,0.28750117168961714,0.13483046952663388,0.11547682165344841,0.3050797182166793
23003,2,A1,591,0.591,409,0.04969814305653736,0.0,0.24210595712004146,0.12151135221647276,0.10437720173853841,0.26562234148992014
23003,3,A1,664,0.664,336,0.0369184599163837,0.0,0.21273104446708893,0.109876368798761,0.09920407456065694,0.24959963755504166
23003,4,A1,702,0.702,298,0.03158896108469179,0.0,0.19041831353873934,0.1060032251164154,0.09628861535943438,0.24307469982786703
23003,5,A1,716,0.716,284,0.028991001292960682,0.0,0.18012195639995607,0.10208099046817141,0.09625626332870107,0.23636416609842462
23004,1,A4,532,0.532,468,0.04022222834122715,0.0,0.158170080150396,0.08594493235304945,0.07963470742988651,0.18816601020698587
23004,2,A4,618,0.618,382,0.034821500262241206,0.0,0.16376901821294035,0.09115575984879895,0.0792219587647251,0.20846375792138191
23004,3,A4,650,0.65,350,0.03270174291827869,0.0,0.16206209445637088,0.093433551195082,0.08425461836445552,0.22288623073344602
23004,4,A4,666,0.666,334,0.031069442799328235,0.0,0.16218253146226447,0.09302228383032406,0.08160590921554278,0.2280428229160587
23004,5,A4,684,0.684,316,0.029660804406828462,0.0,0.15576002767077077,0.09386330508490019,0.08478144180720448,0.226877303493664
23005,1,A4,425,0.425,575,0.15085298740583805,0.10134299614371867,0.4290808417547551,0.26235302157537066,0.2646629203453474,0.4606840491781976
23005,2,A4,390,0.39,610,0.18185084331684057,0.12254044639244753,0.5164907434358077,0.29811613658498454,0.32289704613026726,0.5465069439317762
23005,3,A2,380,0.38,620,0.12660163110925451,0.07941887588637692,0.40606722694829805,0.204196179208475,0.193396871608715,0.4523040966283394
23005,4,A2,431,0.431,569,0.10744029321237643,0.0421057526439134,0.38317844767909504,0.1888230109180605,0.175871902768219,0.421626683429898
23005,5,A2,466,0.466,534,0.09596388975599596,0.018965008810352253,0.3655978885755769,0.17970765871909353,0.16453831271727012,0.4097019658782928
