seed,p,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
23005,4,h_T,C7,h_T->C7,6,0.042991382721889695,0.10390702826694256,0.4137485542462907
23005,5,h_D,C1,h_D->C1,6,0.0757768791922751,0.13527044323852247,0.5601880009966219
23005,5,h_D,C2,h_D->C2,6,0.05859797870126797,0.14719688854282237,0.39809250916212546
23005,5,h_D,C3,h_D->C3,5,0.04447371481784433,0.16836659824872824,0.26414808685437174
23005,5,h_D,C4,h_D->C4,6,0.045045344567793244,0.11392408278182105,0.3953979129563443
23005,5,h_D,C6,h_D->C6,6,0.03497755326798771,0.08882190556851481,0.3937942227620097
23005,5,h_D,C7,h_D->C7,6,0.029410548158627422,0.10321436002672771,0.2849462821910296
23005,5,h_E,C6,h_E->C6,6,0.022966636589122184,0.08882190556851481,0.2585695098733023
23005,5,h_I,C2,h_I->C2,6,0.0387415836167458,0.14719688854282237,0.2631956694194113
23005,5,h_I,C4,h_I->C4,6,0.04391496349610309,0.11392408278182105,0.38547568190494275
23005,5,h_I,C5,h_I->C5,5,0.09473477277165054,0.18459168600167955,0.513212565653013
23005,5,h_T,C3,h_T->C3,5,0.027925874614487863,0.16836659824872824,0.1658635079926427
23005,5,h_T,C7,h_T->C7,6,0.041527763403583995,0.10321436002672771,0.40234482287569184
