seed,p,criterion,active_alternatives,NS,LRV50,LRV_max,NSV_vector,pass_num_NS,pass_num_LRV,pass_num_NSV
23001,1,C1,6,0.0,3.872753279065746e-16,7.349894439412175e-16,9.039560155319011e-11,False,False,False
23001,1,C2,6,0.0,1.764711284336226e-16,3.1632590068887456e-16,2.0664401605512213e-11,False,False,False
23001,1,C3,5,0.0,1.964022816539648e-16,3.2831455515627815e-16,2.050109225119275e-11,False,False,False
23001,1,C4,6,0.0,1.9481171708117845e-16,2.932754517043294e-16,2.0719649173443207e-11,False,False,False
23001,1,C5,5,0.0,2.3406634072461434e-16,2.8058127726334156e-16,8.397011184614399e-11,False,False,False
23001,1,C6,6,0.0,2.9818265330491764e-16,4.893114994900853e-16,4.1672291912509024e-11,False,False,False
23001,1,C7,6,0.0,1.4670075518060814e-16,1.7231720027491348e-16,1.9864490915680983e-11,False,False,False
23001,2,C1,6,0.0009524336356266927,0.08339570636629655,0.1683143984112318,0.045407899414135075,True,True,True
23001,2,C2,6,0.002169659197940099,0.06553500997952581,0.18815640842326323,0.06039546915395143,True,True,True
23001,2,C3,5,0.003083855681647374,0.10960620371729549,0.4155046742502465,0.06952946314389873,True,True,True
23001,2,C4,6,0.0019140761206403178,0.08708211232697508,0.3685580527056439,0.05650328430351126,True,True,True
23001,2,C5,5,0.0014736021721228898,0.059267183839226203,0.36804565871042205,0.05805543492238191,True,True,True
23001,2,C6,6,0.004449669616513829,0.1237820299846667,0.2934735536249396,0.08285397795496476,True,True,True
23001,2,C7,6,0.0009210664236151134,0.0645633522259782,0.13636589629299897,0.03774434158937849,True,True,True
23001,3,C1,6,0.002101896312974638,0.12404458866473722,0.227088905075602,0.06359659331778258,True,True,True
23001,3,C2,6,0.00470701618032765,0.11327805524944633,0.25817474537574475,0.08230877314120638,True,True,True
23001,3,C3,5,0.0065678719246522466,0.1908035065567223,0.5546401070654527,0.09671108202491573,True,True,True
23001,3,C4,6,0.004116073943503773,0.1518782563240713,0.485299564983685,0.07826007408754145,True,True,True
23001,3,C5,5,0.0028429500782789496,0.0762361023342222,0.43551771467091754,0.062299089855670904,True,True,True
23001,3,C6,6,0.009766335699433304,0.18622355469818838,0.3994527691000449,0.11618335868413904,True,True,True
23001,3,C7,6,0.0018666309319329555,0.08474510358357999,0.17737468579282417,0.04949834104607915,True,True,True
23001,4,C1,6,0.00289686795952937,0.14033009418270379,0.2612069870505514,0.07696659038392882,True,True,True
23001,4,C2,6,0.006301626499910062,0.14353628383738018,0.29427602802480674,0.09571915593045024,True,True,True
23001,4,C3,5,0.008964965807017111,0.25062597514161455,0.5983539134284195,0.11806125574703479,True,True,True
23001,4,C4,6,0.00560244577820368,0.19916031864964295,0.522176317489777,0.09550514740650566,True,True,True
23001,4,C5,5,0.0035698268449028125,0.09712781537760184,0.4462326148855985,0.06234393161547927,True,True,True
23001,4,C6,6,0.01335876455558127,0.21030639650734495,0.44661222530811795,0.13619550414858006,True,True,True
23001,4,C7,6,0.002399740048563359,0.08829925972101825,0.1956094094450076,0.0569671648180646,True,True,True
23001,5,C1,6,0.0034149137360890425,0.15009845652544007,0.2858721310853658,0.08795272941701543,True,True,True
23001,5,C2,6,0.007210767441331312,0.15308870436468375,0.31741938747760035,0.10546938273365297,True,True,True
23001,5,C3,5,0.010593111543524603,0.29603518383776006,0.6082174530547336,0.1353939999479897,True,True,True
23001,5,C4,6,0.006566611699770686,0.23452837629790135,0.5316953252105068,0.11005509926891921,True,True,True
23001,5,C5,5,0.0039026801514325804,0.11499641783839323,0.44134361942974837,0.06245588999255671,True,True,True
23001,5,C6,6,0.015683894282350064,0.20853567100716724,0.4714506267666203,0.14958396330941454,True,True,True
23001,5,C7,6,0.0026722085055109757,0.09874625675974243,0.2064151745503376,0.06284388328423433,True,True,True
