rotation_25001,rotation_25002,rotation_25003,rotation_25004,rotation_25005,min_normalized_ratio,layerA_joint_pass,reachability_joint_pass,overall_joint_pass
0,0,3,0,2,0.7974260780320739,False,False,False
0,0,3,0,3,0.884179213453443,False,False,False
0,0,3,0,4,0.884179213453443,False,False,False
0,0,3,0,5,0.8656432388998185,False,False,False
0,0,3,1,0,0.8656432388998185,False,False,False
0,0,3,1,1,0.8656432388998185,False,False,False
0,0,3,1,2,0.884179213453443,False,False,False
0,0,3,1,3,0.9024889734973081,False,False,False
0,0,3,1,4,0.901125881208928,False,False,False
0,0,3,1,5,0.8656432388998185,False,False,False
0,0,3,2,0,0.884179213453443,False,False,False
0,0,3,2,1,0.9209241653981364,False,False,False
0,0,3,2,2,0.884179213453443,False,False,False
0,0,3,2,3,0.9024889734973081,False,False,False
0,0,3,2,4,0.901125881208928,False,False,False
0,0,3,2,5,0.9287293659063626,False,False,False
0,0,3,3,0,0.884179213453443,False,False,False
0,0,3,3,1,0.9209241653981364,False,False,False
0,0,3,3,2,0.884179213453443,False,False,False
0,0,3,3,3,0.9024889734973081,False,False,False
0,0,3,3,4,0.901125881208928,False,False,False
0,0,3,3,5,0.9287293659063626,False,False,False
0,0,3,4,0,0.884179213453443,False,False,False
0,0,3,4,1,0.9209241653981364,False,False,False
0,0,3,4,2,0.884179213453443,False,False,False
0,0,3,4,3,0.9024889734973081,False,False,False
0,0,3,4,4,0.901125881208928,False,False,False
0,0,3,4,5,0.9287293659063626,False,False,False
0,0,3,5,0,0.8656432388998185,False,False,False
0,0,3,5,1,0.8656432388998185,False,False,False
0,0,3,5,2,0.884179213453443,False,False,False
0,0,3,5,3,0.9024889734973081,False,False,False
0,0,3,5,4,0.901125881208928,False,False,False
0,0,3,5,5,0.8656432388998185,False,False,False
0,0,4,0,0,0.7317454306296416,False,False,False
0,0,4,0,1,0.8656432388998185,False,False,False
0,0,4,0,2,0.7974260780320739,False,False,False
0,0,4,0,3,0.884179213453443,False,False,False
0,0,4,0,4,0.8566605826512761,False,False,False
0,0,4,0,5,0.8566605826512761,False,False,False
0,0,4,1,0,0.8656432388998185,False,False,False
0,0,4,1,1,0.8656432388998185,False,False,False
0,0,4,1,2,0.884179213453443,False,False,False
0,0,4,1,3,0.9024889734973081,False,False,False
0,0,4,1,4,0.901125881208928,False,False,False
0,0,4,1,5,0.8656432388998185,False,False,False
0,0,4,2,0,0.884179213453443,False,False,False
0,0,4,2,1,0.9209241653981364,False,False,False
0,0,4,2,2,0.884179213453443,False,False,False
0,0,4,2,3,0.9024889734973081,False,False,False
0,0,4,2,4,0.8985131626950952,False,False,False
0,0,4,2,5,0.8985131626950952,False,False,False
0,0,4,3,0,0.8549630868682049,False,False,False
0,0,4,3,1,0.9209241653981364,False,False,False
0,0,4,3,2,0.8825249633272191,False,False,False
0,0,4,3,3,0.8077485006867414,False,False,False
0,0,4,3,4,0.8077485006867414,False,False,False
0,0,4,3,5,0.8312291073620008,False,False,False
0,0,4,4,0,0.884179213453443,False,False,False
0,0,4,4,1,0.9209241653981364,False,False,False
0,0,4,4,2,0.884179213453443,False,False,False
0,0,4,4,3,0.8077485006867414,False,False,False
0,0,4,4,4,0.8077485006867414,False,False,False
0,0,4,4,5,0.8312291073620008,False,False,False
0,0,4,5,0,0.8656432388998185,False,False,False
0,0,4,5,1,0.8656432388998185,False,False,False
0,0,4,5,2,0.884179213453443,False,False,False
0,0,4,5,3,0.8077485006867414,False,False,False
0,0,4,5,4,0.8077485006867414,False,False,False
0,0,4,5,5,0.8312291073620008,False,False,False
0,0,5,0,0,0.7317454306296416,False,False,False
