candidate_id,pathway,factor,criterion,median_SRE,T_sci_SRE,pass_sci_SRE
d29_kernel,h_D->C1,h_D,C1,0.5316324917356217,0.6252491501173607,False
d29_kernel,h_D->C2,h_D,C2,0.36635638369897255,0.3049148696475096,True
d29_kernel,h_D->C3,h_D,C3,0.3601928823888923,0.4220320343087468,False
d29_kernel,h_D->C4,h_D,C4,0.3063603749964333,0.32269510335210616,False
d29_kernel,h_D->C6,h_D,C6,0.4915041459465993,0.4123214319717975,True
d29_kernel,h_D->C7,h_D,C7,0.30536223051330613,0.27257109898658916,True
d29_kernel,h_E->C6,h_E,C6,0.31740505785724815,0.27555688651992993,True
d29_kernel,h_I->C2,h_I,C2,0.2601255793086318,0.20048975060267737,True
d29_kernel,h_I->C4,h_I,C4,0.28915193586764415,0.3327413283163435,False
d29_kernel,h_I->C5,h_I,C5,0.4705961756005034,0.5701057397882139,False
d29_kernel,h_T->C3,h_T,C3,0.23564526613305203,0.29261826954559067,False
d29_kernel,h_T->C7,h_T,C7,0.46100492460130255,0.41859298239010767,True
