seed,candidate_id,criterion,mean_abs_departure,median_abs_departure,max_abs_departure
29001,d29_kernel,C1,0.0050540166925524465,0.00415344584150612,0.01249995357143674
29001,d29_kernel,C2,0.005737343453533692,0.00560788597230881,0.01249999277483152
29001,d29_kernel,C3,0.005764504329058965,0.005757090024530398,0.012499997041630656
29001,d29_kernel,C4,0.005760710383337401,0.0055931983760044435,0.012499985079030926
29001,d29_kernel,C5,0.0049927564697063295,0.004848485164607437,0.012499998273631546
29001,d29_kernel,C6,0.0057046751305067644,0.005590116023255603,0.012499993448246777
29001,d29_kernel,C7,0.005765871872874316,0.005677512386776145,0.01249998228718989
29002,d29_kernel,C1,0.005142309576873992,0.00439982025987435,0.012499989819391585
29002,d29_kernel,C2,0.005885886344926626,0.005930552629815906,0.012499999733730754
29002,d29_kernel,C3,0.005787470365078584,0.005762499718387716,0.012499977852669916
29002,d29_kernel,C4,0.005911200116608188,0.005973768630173064,0.012499944552126042
29002,d29_kernel,C5,0.005074286453026422,0.004959788858113091,0.01249994237481486
29002,d29_kernel,C6,0.005889050673887946,0.005878432945419048,0.0124999977271371
29002,d29_kernel,C7,0.005763363783392322,0.0056355039631858506,0.012499994808823328
29003,d29_kernel,C1,0.004940302002593831,0.003846878187160306,0.012499994470304074
29003,d29_kernel,C2,0.005668489075380769,0.005468978991508338,0.012499999795701489
29003,d29_kernel,C3,0.005626932554160369,0.005592239766692283,0.012499999805349382
29003,d29_kernel,C4,0.00570313499676705,0.005587992800599548,0.012499944308565603
29003,d29_kernel,C5,0.004991959522835729,0.004854707628057226,0.012499999569931225
29003,d29_kernel,C6,0.005721593123286389,0.005562773271844379,0.012499895739767772
29003,d29_kernel,C7,0.005635973778729315,0.00534892288955326,0.012499999959323438
29004,d29_kernel,C1,0.004906151157325642,0.003982538495113089,0.012499987994058992
29004,d29_kernel,C2,0.005693161934376692,0.005467234255659245,0.01249997756188051
29004,d29_kernel,C3,0.005687490246565508,0.0056912159505717805,0.012499994834055811
29004,d29_kernel,C4,0.0057384269165894316,0.005614955721394754,0.012499982669941262
29004,d29_kernel,C5,0.005055825555352969,0.0049155812486824865,0.012499980394969246
29004,d29_kernel,C6,0.005682941368114025,0.005494205443628809,0.012499861427104242
29004,d29_kernel,C7,0.005710875092381014,0.005517714356914909,0.0124999893505401
29005,d29_kernel,C1,0.004916497056691041,0.004019152750513753,0.012499988008599423
29005,d29_kernel,C2,0.005717281003513695,0.005664653697478577,0.01249997290391755
29005,d29_kernel,C3,0.005710269330612073,0.0057203853858688695,0.012499995946560469
29005,d29_kernel,C4,0.005754261369495301,0.005683388779122254,0.01249999755772399
29005,d29_kernel,C5,0.0049598694750589796,0.004781739740672142,0.012499998648570865
29005,d29_kernel,C6,0.005726616788317623,0.005584037032503077,0.012499999591451469
29005,d29_kernel,C7,0.005724971157347377,0.005527990570073981,0.012499999290142082
