seed,candidate_id,criterion,active_alternatives,NS,LRV50,LRV_max,NSV_vector,pass_num_NS,pass_num_LRV,pass_num_NSV
29001,d29_kernel,C1,6,0.0009649322608775712,0.07298223726223456,0.11863888128185586,0.04498608645650095,True,True,True
29001,d29_kernel,C2,6,0.0006186416539680772,0.05656314823501867,0.1836734261863764,0.03137982994892075,True,True,True
29001,d29_kernel,C3,5,0.0007526686259335946,0.08953915736308049,0.13097478637713378,0.033988572511614405,True,True,True
29001,d29_kernel,C4,6,0.0008512528651978268,0.08400837936211912,0.19488891179109663,0.036881255139967185,True,True,True
29001,d29_kernel,C5,5,0.0006835718090524301,0.11395528300106171,0.19480450695365042,0.03880652284268525,True,True,True
29001,d29_kernel,C6,6,0.0018521326748569544,0.07453685926328568,0.43444853382923465,0.05478005627253358,True,True,True
29001,d29_kernel,C7,6,0.0011815777440808972,0.07503062243730245,0.21940613329266767,0.043941239341313096,True,True,True
29002,d29_kernel,C1,6,0.0006225556382918329,0.07696840589124049,0.5624809755765098,0.03592815694916553,True,True,True
29002,d29_kernel,C2,6,0.0006474783063357137,0.05332228203104852,0.1478636370919029,0.032241659792075765,True,True,True
29002,d29_kernel,C3,5,0.0014468901128968925,0.0806532698825628,0.1589065396060292,0.049866024269248826,True,True,True
29002,d29_kernel,C4,6,0.0006693585007216951,0.07853248505362752,0.24265550734819433,0.032578032994878055,True,True,True
29002,d29_kernel,C5,5,0.000943809450936639,0.09932216281989067,0.22610878443851534,0.04442372436100539,True,True,True
29002,d29_kernel,C6,6,0.0029860860295151115,0.1179643535907458,0.2818899280115395,0.07004980919083185,True,True,True
29002,d29_kernel,C7,6,0.0007894466005831102,0.05102825118281782,0.10103364603801282,0.03611062770099286,True,True,True
29003,d29_kernel,C1,6,0.0008558078339654385,0.07447548664553232,0.17047586032367712,0.044309908501615765,True,True,True
29003,d29_kernel,C2,6,0.0004895465563775625,0.05091430858415896,0.10294688956826058,0.029954826885795937,True,True,True
29003,d29_kernel,C3,5,0.0006672040236308519,0.05361159280544922,0.10513729700029609,0.034647492426819256,True,True,True
29003,d29_kernel,C4,6,0.0010647704865772711,0.0636152156437458,0.14943500214428873,0.04307215213919772,True,True,True
29003,d29_kernel,C5,5,0.0007071946386166816,0.06353506529218454,0.12702160720082697,0.039824854361574964,True,True,True
29003,d29_kernel,C6,6,0.0017972758162612124,0.06931466251220866,0.14436716724416399,0.05526089626871303,True,True,True
29003,d29_kernel,C7,6,0.0010498893982402446,0.060410911578828906,0.14761609395144712,0.04302610743873353,True,True,True
29004,d29_kernel,C1,6,0.0008294581640734267,0.07130962903510257,0.18172496141786582,0.043204341843856665,True,True,True
29004,d29_kernel,C2,6,0.0009482996257772491,0.07031041288230265,0.14193280195801167,0.03975903853202883,True,True,True
29004,d29_kernel,C3,5,0.0008291057238147825,0.07634459210900621,0.17438342493101697,0.03864886146908236,True,True,True
29004,d29_kernel,C4,6,0.0005833473546389412,0.046560458379272876,0.08812902053866173,0.03127154918598623,True,True,True
29004,d29_kernel,C5,5,0.000593897994127679,0.05257956945346049,0.43100896874045386,0.03514353601325551,True,True,True
29004,d29_kernel,C6,6,0.0016796750287615403,0.07140651092997516,0.1738939984063071,0.052487897651705674,True,True,True
29004,d29_kernel,C7,6,0.0009403352482193483,0.059613379303308726,0.15455417868974047,0.040790677473507286,True,True,True
29005,d29_kernel,C1,6,0.0006057767012114246,0.08450080323732818,0.3157195264128837,0.03773003479086136,True,True,True
29005,d29_kernel,C2,6,0.00044993330154563527,0.06063328226208642,0.17053217765362239,0.028496779906166156,True,True,True
29005,d29_kernel,C3,5,0.0008146988383237463,0.05866301487052637,0.09296605488826985,0.03899900191152488,True,True,True
29005,d29_kernel,C4,6,0.0004977086601081204,0.03805957486684453,0.07744801146475082,0.029973330226869974,True,True,True
29005,d29_kernel,C5,5,0.0006931583013031206,0.08349662273080957,0.2571863980818941,0.04066725583317538,True,True,True
29005,d29_kernel,C6,6,0.001398978920725713,0.06481670833271633,0.13976534366892698,0.050085745337044865,True,True,True
29005,d29_kernel,C7,6,0.0008254432409423584,0.06949098925109057,0.26451277952246227,0.037304593256462085,True,True,True
