seed,candidate_id,criterion,min_active_g,max_active_g,min_theta_minus_delta,min_response_derivative,min_derivative_margin_vs_zero,max_class_ceiling_excess,endpoint_zero_max_abs_error,endpoint_theta_max_abs_error,structural_zero_max_abs,lower_bound_ok,class_ceiling_ok,theta_support_ok,monotonicity_ok,endpoint_zero_ok,endpoint_theta_ok,structural_zero_ok,profile_min,profile_max,profile_mean
29001,d29_kernel,C1,6.132148297770136e-05,0.3599592118379829,0.0102387243172581,0.050245650815427624,0.050245650815427624,-0.011547125541005454,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
29001,d29_kernel,C2,0.00022559673944581347,0.3934765294854451,0.00706496952201615,0.0472084326384586,0.0472084326384586,-0.00652347051455493,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
29001,d29_kernel,C3,0.00045543361921145906,0.3365526025804422,0.011236011084927382,0.061236011084927384,0.061236011084927384,-0.05315647068301038,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
29001,d29_kernel,C4,0.0002726706377155631,0.33283504538070297,0.03811460193116477,0.03891650773779931,0.03891650773779931,-0.012796570400650853,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,3.700743415417188e-17
29001,d29_kernel,C5,1.103909033180429e-05,0.3795318518891059,0.03369327492989353,0.058702678227055785,0.058702678227055785,-0.020468148110894147,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
29001,d29_kernel,C6,7.873581811218333e-05,0.19502235363284862,0.010952243562543575,0.011648982903056986,0.011648982903056986,-0.004977646367151395,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29001,d29_kernel,C7,0.0006090075014151061,0.29852494423306236,0.02347590300605233,0.02402926020909532,0.02402926020909532,-0.047839468023602644,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
29002,d29_kernel,C1,1.6889701007988508e-05,0.39553348644588054,0.00892150063752356,0.009108848106480369,0.009108848106480369,-0.004466513554119478,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29002,d29_kernel,C2,0.0010749870667994925,0.3851461030391238,0.0538206442480933,0.0846799022581674,0.0846799022581674,-0.014853896960876245,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29002,d29_kernel,C3,0.0009393709094644622,0.22306652820037892,0.002466172077350101,0.027780692314729603,0.027780692314729603,-0.03321938794323687,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
29002,d29_kernel,C4,0.0008857364992002541,0.3956363587426761,0.00021459065750655676,0.00047204576246704516,0.00047204576246704516,-0.004363641257323914,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29002,d29_kernel,C5,6.38891033056213e-05,0.28417236134634827,0.009589114990875738,0.009730908321606939,0.009730908321606939,-0.09841923680847299,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
29002,d29_kernel,C6,0.0004574224228859792,0.1521338498646938,0.005784403270018217,0.007176741016716663,0.007176741016716663,-0.04786615013530621,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
29002,d29_kernel,C7,0.0015258097652509856,0.38372842252457884,0.06581084170392958,0.1060988530225661,0.1060988530225661,-0.016271577475421184,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29003,d29_kernel,C1,1.696069835226927e-05,0.36615587588472287,0.05668326218581646,0.07674070545757627,0.07674070545757627,-0.008722667237041432,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,5.551115123125783e-17
29003,d29_kernel,C2,0.001801350461981834,0.3930154601299978,0.06499213915925477,0.08540587531821534,0.08540587531821534,-0.006984539870002249,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,7.401486830834377e-17
29003,d29_kernel,C3,0.0018208292530436131,0.37652808001959176,0.07509351933101781,0.1003792563257039,0.1003792563257039,-0.022815352256152638,0.0,0.0,0.0,True,True,True,True,True,True,True,-1.0,1.0,0.0
