seed,kappa,factor,criterion,pathway,active_alternatives,RE,base_IQR,SRE
21001,0.0,h_D,C1,h_D->C1,6,0.04809198167361342,0.08304323412609904,0.5791198064373052
21001,0.0,h_D,C2,h_D->C2,6,0.03504250846459439,0.1064302671757961,0.3292532227358192
21001,0.0,h_D,C3,h_D->C3,5,0.033795969645219345,0.11534238611360781,0.293005639848985
21001,0.0,h_D,C4,h_D->C4,6,0.0351336827519642,0.09863086417420494,0.3562138793547805
21001,0.0,h_D,C6,h_D->C6,6,0.02943096016941953,0.05850921020668829,0.5030141419607167
21001,0.0,h_D,C7,h_D->C7,6,0.020341430869993876,0.07011348738644058,0.2901215105388929
21001,0.0,h_E,C6,h_E->C6,6,0.019059973079908456,0.05850921020668829,0.3257602181306477
21001,0.0,h_I,C2,h_I->C2,6,0.02179222421949083,0.1064302671757961,0.20475589132263275
21001,0.0,h_I,C4,h_I->C4,6,0.03358140929068898,0.09863086417420494,0.3404756672418074
21001,0.0,h_I,C5,h_I->C5,5,0.06183945579426667,0.16016758802116354,0.3860921960422448
21001,0.0,h_T,C3,h_T->C3,5,0.022286551814784297,0.11534238611360781,0.19322083204208798
21001,0.0,h_T,C7,h_T->C7,6,0.030633309109008133,0.07011348738644058,0.43691036133649047
21001,0.1,h_D,C1,h_D->C1,6,0.04804464509972166,0.08566466853472032,0.5608455145038946
21001,0.1,h_D,C2,h_D->C2,6,0.034976665898859824,0.10796174685063108,0.3239727673814626
21001,0.1,h_D,C3,h_D->C3,5,0.033717286764724415,0.11705252186774891,0.2880526299342071
21001,0.1,h_D,C4,h_D->C4,6,0.035099640822305725,0.09358102062069673,0.37507221645077765
21001,0.1,h_D,C6,h_D->C6,6,0.029445620000451485,0.060095858884211616,0.4899775216907244
21001,0.1,h_D,C7,h_D->C7,6,0.020246160045648255,0.07103338901242577,0.2850231465349569
21001,0.1,h_E,C6,h_E->C6,6,0.018871592320571694,0.060095858884211616,0.3140248374953439
21001,0.1,h_I,C2,h_I->C2,6,0.021798919622453457,0.10796174685063108,0.20191336522565834
21001,0.1,h_I,C4,h_I->C4,6,0.03361661791817653,0.09358102062069673,0.35922474124397963
21001,0.1,h_I,C5,h_I->C5,5,0.06104894602312798,0.16149255975813998,0.3780294653461445
21001,0.1,h_T,C3,h_T->C3,5,0.022257465006984473,0.11705252186774891,0.1901493846663277
21001,0.1,h_T,C7,h_T->C7,6,0.030560597870154756,0.07103338901242577,0.43022863324708616
21001,0.2,h_D,C1,h_D->C1,6,0.047752135533122804,0.08851630444073112,0.5394727653203967
21001,0.2,h_D,C2,h_D->C2,6,0.03492659278258531,0.10911828347804015,0.320080115531639
21001,0.2,h_D,C3,h_D->C3,5,0.033652828704340505,0.11863619427708738,0.28366409517029095
21001,0.2,h_D,C4,h_D->C4,6,0.03502988670632504,0.09042108961110125,0.3874083674129593
21001,0.2,h_D,C6,h_D->C6,6,0.029322061605874458,0.06202786352259361,0.47272402981800576
21001,0.2,h_D,C7,h_D->C7,6,0.020242395567723875,0.07127194465988221,0.28401632176642383
21001,0.2,h_E,C6,h_E->C6,6,0.018884221156109278,0.06202786352259361,0.30444738998508736
21001,0.2,h_I,C2,h_I->C2,6,0.02176510600470788,0.10911828347804015,0.199463419976622
21001,0.2,h_I,C4,h_I->C4,6,0.03347693299259698,0.09042108961110125,0.3702336826088931
21001,0.2,h_I,C5,h_I->C5,5,0.06041718567492492,0.1635102005557113,0.3695010187084324
21001,0.2,h_T,C3,h_T->C3,5,0.022153882652955682,0.11863619427708738,0.1867379747619534
21001,0.2,h_T,C7,h_T->C7,6,0.030497462932367676,0.07127194465988221,0.42790277545361105
21001,0.3,h_D,C1,h_D->C1,6,0.047708104164022366,0.09089490160956297,0.5248710688793811
