kappa,criterion,median_LRV50,T_sci_LRV,pass_sci_LRV,median_NSV_vector,T_sci_NSV_vector,pass_sci_NSV,all_seed_num_NS,all_seed_num_LRV,all_seed_num_NSV
0.0,C1,1.1535105027602711e-16,0.18560606963725407,False,1.1223352073015843e-10,0.10168471301105081,False,False,False,False
0.0,C2,9.669143872149901e-17,0.10710704986591753,False,1.4698152062609056e-11,0.06943636962637245,False,False,False,False
0.0,C3,1.5485313844939964e-16,0.1630294005273959,False,1.465698633772034e-11,0.06490012984357067,False,False,False,False
0.0,C4,1.2223802550979761e-16,0.11579623197303515,False,1.399410768426136e-11,0.0694226473689036,False,False,False,False
0.0,C5,1.3235551256876783e-16,0.12796380284769598,False,7.731657477674791e-11,0.07368074400701694,False,False,False,False
0.0,C6,9.537584764147469e-17,0.19489930736500777,False,4.4536212416928e-11,0.12993524843563106,False,False,False,False
0.0,C7,1.1307118705850854e-16,0.1440800524986886,False,1.812090504514195e-11,0.07309196921116115,False,False,False,False
0.1,C1,0.023557017349332698,0.18560606963725407,False,0.019835595905513155,0.10168471301105081,False,True,True,True
0.1,C2,0.019838814053216473,0.10710704986591753,False,0.016119565769238158,0.06943636962637245,False,True,True,True
0.1,C3,0.023615847380046927,0.1630294005273959,False,0.012445446450191818,0.06490012984357067,False,True,True,True
0.1,C4,0.01963716255415013,0.11579623197303515,False,0.014409522436670598,0.0694226473689036,False,True,True,True
0.1,C5,0.028007723574853056,0.12796380284769598,False,0.01869993719668446,0.07368074400701694,False,True,True,True
0.1,C6,0.01972537110431514,0.19489930736500777,False,0.017002684921955797,0.12993524843563106,False,True,True,True
0.1,C7,0.01959769620148949,0.1440800524986886,False,0.016854298487308607,0.07309196921116115,False,True,True,True
0.2,C1,0.048170465783458204,0.18560606963725407,False,0.038133805447718536,0.10168471301105081,False,True,True,True
0.2,C2,0.04058299085821116,0.10710704986591753,False,0.03227250273547165,0.06943636962637245,False,True,True,True
0.2,C3,0.04625718319023933,0.1630294005273959,False,0.023745305680105504,0.06490012984357067,False,True,True,True
0.2,C4,0.0401490788731037,0.11579623197303515,False,0.029642368534607885,0.0694226473689036,False,True,True,True
0.2,C5,0.054890055718203004,0.12796380284769598,False,0.038465242342316915,0.07368074400701694,False,True,True,True
0.2,C6,0.04033193885415984,0.19489930736500777,False,0.033810318865582854,0.12993524843563106,False,True,True,True
0.2,C7,0.04007401000097559,0.1440800524986886,False,0.03516252554932398,0.07309196921116115,False,True,True,True
0.3,C1,0.07399340643933804,0.18560606963725407,False,0.054928334449007875,0.10168471301105081,False,True,True,True
0.3,C2,0.062359381054306565,0.10710704986591753,False,0.04832628730737086,0.06943636962637245,False,True,True,True
0.3,C3,0.06813075197607654,0.1630294005273959,False,0.03410397824450174,0.06490012984357067,False,True,True,True
0.3,C4,0.06165751151227515,0.11579623197303515,False,0.04560169253271546,0.0694226473689036,False,True,True,True
0.3,C5,0.08088455164683463,0.12796380284769598,False,0.05919762725342165,0.07368074400701694,False,True,True,True
0.3,C6,0.06194257955625725,0.19489930736500777,False,0.050279799503751756,0.12993524843563106,False,True,True,True
0.3,C7,0.06155153366763597,0.1440800524986886,False,0.05327657714780172,0.07309196921116115,False,True,True,True
0.4,C1,0.10120937946250133,0.18560606963725407,False,0.07028516882219252,0.10168471301105081,False,True,True,True
0.4,C2,0.08528503214848993,0.10710704986591753,False,0.06415261781090403,0.06943636962637245,False,True,True,True
0.4,C3,0.0894150871304279,0.1630294005273959,False,0.044295171888644694,0.06490012984357067,False,True,True,True
0.4,C4,0.08430732002358926,0.11579623197303515,False,0.058341142888379806,0.0694226473689036,False,True,True,True
0.4,C5,0.10619804629775705,0.12796380284769598,False,0.08057560444157758,0.07368074400701694,True,True,True,True
0.4,C6,0.0847035066045685,0.19489930736500777,False,0.06628314394118028,0.12993524843563106,False,True,True,True
0.4,C7,0.08417611349964857,0.1440800524986886,False,0.07101840157112152,0.07309196921116115,False,True,True,True
0.5,C1,0.13004151893276808,0.18560606963725407,False,0.08429048948139879,0.10168471301105081,False,True,True,True
0.5,C2,0.10955505207093742,0.10710704986591753,True,0.07963266749783661,0.06943636962637245,True,True,True,True
0.5,C3,0.11026984616838659,0.1630294005273959,False,0.05390554079472603,0.06490012984357067,False,True,True,True
0.5,C4,0.10827304637754226,0.11579623197303515,False,0.06994794935490742,0.0694226473689036,True,True,True,True
0.5,C5,0.1310243458306141,0.12796380284769598,True,0.09740188505974783,0.07368074400701694,True,True,True,True
0.5,C6,0.10879093607389612,0.19489930736500777,False,0.08171184589521743,0.12993524843563106,False,True,True,True
0.5,C7,0.10812347571329832,0.1440800524986886,False,0.08940144155162559,0.07309196921116115,True,True,True,True
0.6,C1,0.1607653585819873,0.18560606963725407,False,0.0970411767953726,0.10168471301105081,False,True,True,True
0.6,C2,0.1353891420046687,0.10710704986591753,True,0.09466134126999491,0.06943636962637245,True,True,True,True
0.6,C3,0.1396909626872462,0.1630294005273959,False,0.06294893084377763,0.06490012984357067,False,True,True,True
0.6,C4,0.1337680450771819,0.11579623197303515,True,0.08124809459773887,0.0694226473689036,True,True,True,True
0.6,C5,0.16578299588216266,0.12796380284769598,True,0.11289572733499544,0.07368074400701694,True,True,True,True
0.6,C6,0.13442033512621204,0.19489930736500777,False,0.09647932192533691,0.12993524843563106,False,True,True,True
0.6,C7,0.13360841123697678,0.1440800524986886,False,0.10919243090753326,0.07309196921116115,True,True,True,True
0.7,C1,0.1937273098477031,0.18560606963725407,True,0.10863785603795688,0.10168471301105081,True,True,True,True
0.7,C2,0.16306067375112865,0.10710704986591753,True,0.10915020282882311,0.06943636962637245,True,True,True,True
0.7,C3,0.17552733073585952,0.1630294005273959,True,0.07144346418730184,0.06490012984357067,True,True,True,True
0.7,C4,0.1610892144592439,0.11579623197303515,True,0.09486085796959766,0.0694226473689036,True,True,True,True
0.7,C5,0.20906777462733883,0.12796380284769598,True,0.12710940781828844,0.07368074400701694,True,True,True,True
0.7,C6,0.16185958304226256,0.19489930736500777,False,0.11052150612034892,0.12993524843563106,False,True,True,True
0.7,C7,0.1608978317036012,0.1440800524986886,True,0.1291705954646231,0.07309196921116115,True,True,True,True
0.8,C1,0.22937217485797917,0.18560606963725407,True,0.11918012019645928,0.10168471301105081,True,True,True,True
0.8,C2,0.19291646571780166,0.10710704986591753,True,0.12302896820761378,0.06943636962637245,True,True,True,True
0.8,C3,0.22058537745473794,0.1630294005273959,True,0.0794103626115799,0.06490012984357067,True,True,True,True
0.8,C4,0.19059303609823183,0.11579623197303515,True,0.1082812989841618,0.0694226473689036,True,True,True,True
0.8,C5,0.2645607338414954,0.12796380284769598,True,0.14011179437981866,0.07368074400701694,True,True,True,True
0.8,C6,0.191448264650267,0.19489930736500777,False,0.12379589686254924,0.12993524843563106,False,True,True,True
0.8,C7,0.19032988340580695,0.1440800524986886,True,0.14910180193242004,0.07309196921116115,True,True,True,True
0.9,C1,0.2682856768370753,0.18560606963725407,True,0.1287634661234636,0.10168471301105081,True,True,True,True
0.9,C2,0.2254067914804532,0.10710704986591753,True,0.1362456686165246,0.06943636962637245,True,True,True,True
0.9,C3,0.26341221604099585,0.1630294005273959,True,0.0868729449395936,0.06490012984357067,True,True,True,True
0.9,C4,0.22270264473687387,0.11579623197303515,True,0.121437127180569,0.0694226473689036,True,True,True,True
0.9,C5,0.31296776114879654,0.12796380284769598,True,0.15198128933708605,0.07368074400701694,True,True,True,True
0.9,C6,0.22362697273493617,0.19489930736500777,True,0.13627948838625892,0.12993524843563106,True,True,True,True
0.9,C7,0.222342930821523,0.1440800524986886,True,0.16830894133314958,0.07309196921116115,True,True,True,True
1.0,C1,0.3112632778230251,0.18560606963725407,True,0.13747749884995272,0.10168471301105081,True,True,True,True
1.0,C2,0.26113288284407266,0.10710704986591753,True,0.1487657297721765,0.06943636962637245,True,True,True,True
1.0,C3,0.2952334462620886,0.1630294005273959,True,0.09385579677238619,0.06490012984357067,True,True,True,True
1.0,C4,0.25801197876986826,0.11579623197303515,True,0.134263530627352,0.0694226473689036,True,True,True,True
1.0,C5,0.3508790223628046,0.12796380284769598,True,0.1635916717804271,0.07368074400701694,True,True,True,True
1.0,C6,0.2589837685386637,0.19489930736500777,True,0.14796604018050605,0.12993524843563106,True,True,True,True
1.0,C7,0.25752142433817565,0.1440800524986886,True,0.18415902770335696,0.07309196921116115,True,True,True,True
