seed,kappa,criterion,min_active_g,max_active_g,max_active_theta,max_g_minus_max_theta,structural_zero_max_abs,lower_bound_ok,upper_bound_ok,structural_zero_ok,curvature_mean
21001,0.0,C1,3.24931284904e-06,0.32217036679414207,0.3228852371419042,-0.000714870347762131,0.0,True,True,True,5.551115123125783e-17
21001,0.0,C2,0.00033901916617479314,0.3587731085615006,0.3618725939829085,-0.0030994854214079215,0.0,True,True,True,3.700743415417188e-17
21001,0.0,C3,0.00026011419482551643,0.3793098122542385,0.38284118187082117,-0.0035313696165826802,0.0,True,True,True,0.0
21001,0.0,C4,0.0004900677349729925,0.38299533144584225,0.3857612371247332,-0.0027659056788909564,0.0,True,True,True,3.700743415417188e-17
21001,0.0,C5,7.878352062848051e-05,0.3541913804214366,0.3541965736154059,-5.193193969299514e-06,0.0,True,True,True,0.0
21001,0.0,C6,0.0017957421847370257,0.18713395141060687,0.1879905597396977,-0.0008566083290908189,0.0,True,True,True,3.700743415417188e-17
21001,0.0,C7,0.00038935154888589373,0.25229997054118375,0.2550497491738091,-0.002749778632625377,0.0,True,True,True,7.401486830834377e-17
21001,0.1,C1,2.9243936774288123e-06,0.3222416955560847,0.3228852371419042,-0.0006435415858195292,0.0,True,True,True,5.551115123125783e-17
21001,0.1,C2,0.0003322637716816546,0.3584658147685829,0.3618725939829085,-0.0034067792143255837,0.0,True,True,True,3.700743415417188e-17
21001,0.1,C3,0.00023420519244350755,0.3793098122542385,0.38284118187082117,-0.0035313696165826802,0.0,True,True,True,0.0
21001,0.1,C4,0.000519359333448372,0.3828305669967031,0.3857612371247332,-0.0029306701280301106,0.0,True,True,True,3.700743415417188e-17
21001,0.1,C5,7.485054697823625e-05,0.3541918997332193,0.3541965736154059,-4.673882186612133e-06,0.0,True,True,True,0.0
21001,0.1,C6,0.0016190096212587732,0.18718511371417867,0.1879905597396977,-0.0008054460255190188,0.0,True,True,True,3.700743415417188e-17
21001,0.1,C7,0.00036609189216593144,0.2520279573083719,0.2550497491738091,-0.003021791865437218,0.0,True,True,True,7.401486830834377e-17
21001,0.2,C1,2.599474505817624e-06,0.32231302431802733,0.3228852371419042,-0.000572212823876872,0.0,True,True,True,5.551115123125783e-17
21001,0.2,C2,0.0003155757894712198,0.3581585209756653,0.3618725939829085,-0.0037140730072431904,0.0,True,True,True,3.700743415417188e-17
21001,0.2,C3,0.00020829619006149867,0.3793098122542385,0.38284118187082117,-0.0035313696165826802,0.0,True,True,True,0.0
21001,0.2,C4,0.0005486509319237516,0.382665802547564,0.3857612371247332,-0.0030954345771692093,0.0,True,True,True,3.700743415417188e-17
21001,0.2,C5,7.091757332799199e-05,0.3541924190450021,0.3541965736154059,-4.154570403813729e-06,0.0,True,True,True,0.0
