seed,kappa,criterion,active_alternatives,NS,LRV50,LRV_max,NSV_vector,pass_num_NS,pass_num_LRV,pass_num_NSV
21001,0.0,C1,6,0.0,1.3219348676614905e-16,3.085940738286285e-16,1.8035576242002578e-09,False,False,False
21001,0.0,C2,6,0.0,1.035361099832293e-16,4.476828941703194e-16,1.7393470323397037e-11,False,False,False
21001,0.0,C3,5,0.0,1.5485313844939964e-16,6.671692182429852e-16,1.759403091494218e-11,False,False,False
21001,0.0,C4,6,0.0,1.2223802550979761e-16,4.3124698074984075e-16,1.4948587571336547e-11,False,False,False
21001,0.0,C5,5,0.0,1.43684412702999e-16,6.326128341884431e-16,3.85381395343247e-11,False,False,False
21001,0.0,C6,6,0.0,1.003264240958173e-16,1.747234979459573e-16,1.2106523789353133e-11,False,False,False
21001,0.0,C7,6,0.0,1.0866582569983546e-16,2.5445672320916056e-16,2.331080685833005e-11,False,False,False
21001,0.1,C1,6,0.00011598707124194085,0.02392293636235779,0.05876116358038868,0.015552447869897823,True,True,True
21001,0.1,C2,6,0.00025386358132650777,0.019853771775545648,0.04875652330168214,0.020745892735504697,True,True,True
21001,0.1,C3,5,5.1935553828985626e-05,0.023615847380046927,0.048505675870648024,0.009311809852109686,True,True,True
21001,0.1,C4,6,0.00012132164848432936,0.019608981574681515,0.04815407820579054,0.014481057762714418,True,True,True
21001,0.1,C5,5,0.00022844878756267395,0.027928786943686362,0.05735414030952232,0.022020329708032353,True,True,True
21001,0.1,C6,6,0.0001369692474338935,0.0199107991079095,0.04890110976488293,0.015118811006244593,True,True,True
21001,0.1,C7,6,0.00018192034043884586,0.01959769620148949,0.048127649425135435,0.01758953262478275,True,True,True
21001,0.2,C1,6,0.000438491209635572,0.04891491553852852,0.11860538475746894,0.029445714280637407,True,True,True
21001,0.2,C2,6,0.0010166389215586769,0.0405985726492077,0.09839381137562213,0.04142056335250624,True,True,True
21001,0.2,C3,5,0.0002026698529461468,0.04625718319023933,0.09788418902362706,0.018254996557402533,True,True,True
21001,0.2,C4,6,0.0005120755235796803,0.040099396411531214,0.09717966310329121,0.030237989509313164,True,True,True
21001,0.2,C5,5,0.0008903837736444764,0.05472066698501905,0.1157602738484298,0.042853421513691224,True,True,True
21001,0.2,C6,6,0.000531047040400412,0.04070946265479319,0.0986758103887812,0.02946201083741776,True,True,True
21001,0.2,C7,6,0.0007353612150166056,0.04007401000097559,0.09712054199597482,0.03540718692459652,True,True,True
21001,0.3,C1,6,0.0009319342071364423,0.07513080624675479,0.18073243989830853,0.0418623665040385,True,True,True
21001,0.3,C2,6,0.0022824455081826844,0.062359381054306565,0.14988074894956926,0.061752684481044935,True,True,True
21001,0.3,C3,5,0.00044461607338586173,0.06813075197607654,0.149095086765223,0.026827149001427932,True,True,True
21001,0.3,C4,6,0.0012142062014125488,0.06159492405420867,0.1480353957447028,0.047294552036988395,True,True,True
21001,0.3,C5,5,0.0019483422445298881,0.08062262479325707,0.17638307171510093,0.06238995529647421,True,True,True
21001,0.3,C6,6,0.0011563489290943307,0.06251978245366908,0.15028399740989404,0.042995613907614395,True,True,True
21001,0.3,C7,6,0.0016678469946507235,0.06155153366763597,0.14792956398302362,0.05327657714780172,True,True,True
21001,0.4,C1,6,0.0015641836788637953,0.10275634853489224,0.2466099816754923,0.05297095627865746,True,True,True
21001,0.4,C2,6,0.004035305313737081,0.08528503214848993,0.2043865962328343,0.08149396078248036,True,True,True
21001,0.4,C3,5,0.0007702552514101679,0.0894150871304279,0.20329500313310092,0.03502914093323183,True,True,True
21001,0.4,C4,6,0.0022716096469581615,0.08424284405980068,0.2018779957323439,0.06563675653401946,True,True,True
21001,0.4,C5,5,0.0033624300702417287,0.10584739193026896,0.24064570894012455,0.08057560444157758,True,True,True
21001,0.4,C6,6,0.0019865240465385403,0.08548900413999498,0.2048815021806688,0.05570557732526091,True,True,True
21001,0.4,C7,6,0.002981316586994076,0.08417611349964857,0.20170017391908435,0.07101840157112152,True,True,True
21001,0.5,C1,6,0.0023064664895053877,0.13201740806906884,0.3182149033351668,0.06292366910652897,True,True,True
21001,0.5,C2,6,0.006249572722147767,0.10955505207093742,0.26345541644327625,0.10043350782268856,True,True,True
21001,0.5,C3,5,0.0011721810599639726,0.11026984616838659,0.2620090009376255,0.042864652759895525,True,True,True
21001,0.5,C4,6,0.003729510759942989,0.10822078943521948,0.2602344885880584,0.08520204117162754,True,True,True
21001,0.5,C5,5,0.005091173771467505,0.13058522838485417,0.3104624733720376,0.09740188505974783,True,True,True
21001,0.5,C6,6,0.0029952034669337158,0.10979449220455531,0.2639896352355522,0.06759449319970906,True,True,True
21001,0.5,C7,6,0.0046719163793943475,0.10812347571329832,0.25994128087455337,0.0884597884552077,True,True,True
21001,0.6,C1,6,0.003133235360830544,0.16319299036836032,0.3984880038118617,0.07185594641227158,True,True,True
21001,0.6,C2,6,0.008890692826746482,0.1353891420046687,0.3293234557467679,0.11840656045624433,True,True,True
21001,0.6,C3,5,0.0016431399087897258,0.1396909626872462,0.3274421483444593,0.05033970799809249,True,True,True
21001,0.6,C4,6,0.00563368229099237,0.13374611407851184,0.3253151328907677,0.10587039885462286,True,True,True
21001,0.6,C5,5,0.007092333026193498,0.16578299588216266,0.3886764014705782,0.11289572733499544,True,True,True
21001,0.6,C6,6,0.004156401705905588,0.1356529578170973,0.3298018004819346,0.07867816196859534,True,True,True
21001,0.6,C7,6,0.006729941388290639,0.13360841123697678,0.32483191377994164,0.10544276529497512,True,True,True
21001,0.7,C1,6,0.004022000410258131,0.1966340411489062,0.49233891355826653,0.07988721971041332,True,True,True
21001,0.7,C2,6,0.011916251039377657,0.16306067375112865,0.40559041595479284,0.13529719293540599,True,True,True
21001,0.7,C3,5,0.0021760663621903653,0.17552733073585952,0.4031387841942187,0.057462238136902814,True,True,True
21001,0.7,C4,6,0.008029501971179243,0.1610892144592439,0.40067380849487244,0.1274600529675782,True,True,True
21001,0.7,C5,5,0.009323655863023306,0.20906777462733883,0.4800250702935155,0.12710940781828844,True,True,True
21001,0.7,C6,6,0.0054448669528515126,0.16333355528308455,0.4058268671951657,0.08898234823634518,True,True,True
21001,0.7,C7,6,0.009139930303234678,0.1608978317036012,0.3998693574203593,0.12183085223555769,True,True,True
21001,0.8,C1,6,0.00495313600838887,0.23279147586269075,0.6093739578266131,0.08712220387189375,True,True,True
21001,0.8,C2,6,0.01527726251281547,0.19291646571780166,0.49893316823478406,0.151035989858394,True,True,True
21001,0.8,C3,5,0.0027641139309175777,0.22058537745473794,0.4956704494246677,0.0642416848482792,True,True,True
21001,0.8,C4,6,0.010960851694381102,0.19059303609823183,0.49288766227489644,0.14973018025681872,True,True,True
21001,0.8,C5,5,0.011743562577566813,0.2645607338414954,0.5937553668264453,0.14011179437981866,True,True,True
21001,0.8,C6,6,0.006836377731835208,0.19317701522722586,0.4985124817965084,0.09853990079040961,True,True,True
21001,0.8,C7,6,0.011880913875060073,0.19032988340580695,0.49152867567173436,0.13751320881795517,True,True,True
21001,0.9,C1,6,0.0059096719186046975,0.27225957265294787,0.7743962268636545,0.09365241225779765,True,True,True
21001,0.9,C2,6,0.01891963922003448,0.2254067914804532,0.625056873106956,0.16559427920556397,True,True,True
21001,0.9,C3,5,0.0034006813494834587,0.26341221604099585,0.6205623841024843,0.07068864445503342,True,True,True
21001,0.9,C4,6,0.014468870920498755,0.22270264473687387,0.6173474358173745,0.17239206574678678,True,True,True
21001,0.9,C5,5,0.014311748279857262,0.31229475685133024,0.7536097120500028,0.15198128933708605,True,True,True
21001,0.9,C6,6,0.00830798557846013,0.22562457536127364,0.6227529282166058,0.10738832045450868,True,True,True
21001,0.9,C7,6,0.014926809813260444,0.222342930821523,0.615122193100524,0.15240625011336514,True,True,True
21001,1.0,C1,6,0.0068770762687665465,0.31584629957631116,1.2332152777971408,0.09955769880744841,True,True,True
21001,1.0,C2,6,0.022785766245396077,0.26113288284407266,0.8624604868507192,0.17897662012451082,True,True,True
21001,1.0,C3,5,0.004079434497196499,0.2952334462620886,0.8607023479050685,0.07681455639938849,True,True,True
21001,1.0,C4,6,0.01859058580739925,0.25801197876986826,0.8491613509423135,0.1951280198677411,True,True,True
21001,1.0,C5,5,0.016989697737032072,0.3502367876068002,1.1174912211472334,0.16280047899146408,True,True,True
21001,1.0,C6,6,0.009838204948723006,0.26126358474566214,0.8418086379851067,0.11556778949952332,True,True,True
21001,1.0,C7,6,0.018246951404419343,0.25752142433817565,0.8560042990892522,0.1664530516811657,True,True,True
21002,0.0,C1,6,0.0,9.913103068534419e-17,3.1490043025789916e-16,8.518583876979998e-11,False,False,False
21002,0.0,C2,6,0.0,9.106197872083432e-17,2.602993587919464e-16,1.992198801154663e-11,False,False,False
21002,0.0,C3,5,0.0,1.8487656651386738e-16,4.529927626029093e-16,9.70382514038824e-12,False,False,False
21002,0.0,C4,6,0.0,1.3285617318860324e-16,6.089044468994093e-16,1.9782739163021504e-11,False,False,False
21002,0.0,C5,5,0.0,9.092872616676642e-17,2.8413902102441497e-16,1.0599659710451319e-10,False,False,False
21002,0.0,C6,6,0.0,9.51332223498421e-17,2.595168583796511e-16,4.4536212416928e-11,False,False,False
21002,0.0,C7,6,0.0,1.1307118705850854e-16,2.3886571574932744e-16,7.603180767159052e-12,False,False,False
21002,0.1,C1,6,9.101782615461573e-05,0.023557017349332698,0.05785876567002533,0.013833206864762684,True,True,True
21002,0.1,C2,6,0.0001384095021332854,0.019795459546987942,0.04861929076764165,0.014923168370598601,True,True,True
21002,0.1,C3,5,9.248719165966257e-05,0.023320266619512735,0.04788948681715499,0.011953257207310998,True,True,True
21002,0.1,C4,6,9.143473227368748e-05,0.01963716255415013,0.04822952911017172,0.012233474791428472,True,True,True
21002,0.1,C5,5,0.0001468593088120862,0.028331955408081304,0.05818997102771854,0.01869993719668446,True,True,True
21002,0.1,C6,6,0.0001725786635742299,0.01972537110431514,0.04844408377737923,0.017002684921955797,True,True,True
21002,0.1,C7,6,0.00013142506002417065,0.019431692894826852,0.047720333542901915,0.014234442571893073,True,True,True
21002,0.2,C1,6,0.0003602934708023531,0.048170465783458204,0.11678797505508841,0.027358255311555977,True,True,True
21002,0.2,C2,6,0.0005315263486276312,0.04047174542242814,0.0981036857111956,0.02887900855959134,True,True,True
21002,0.2,C3,5,0.00035860270186727217,0.04568318763432086,0.09662793718193886,0.02332372679106683,True,True,True
21002,0.2,C4,6,0.00036197311051977543,0.0401490788731037,0.09731814328159064,0.02424582109376288,True,True,True
21002,0.2,C5,5,0.0006046696615074065,0.05550659488072124,0.11745918614398788,0.038465242342316915,True,True,True
21002,0.2,C6,6,0.0006868641557673527,0.04033193885415984,0.0977551089501445,0.033810318865582854,True,True,True
21002,0.2,C7,6,0.0004941420224731097,0.039733430351742184,0.09629473786796938,0.027147147274360125,True,True,True
