seed,rotation,criterion,rank_one_energy,lrv50,lrv_max,nsv_vector,nsv_sum,nsv_max,nsv_minmax
21001,0,C1,0.0045412191230707055,0.1595877776649561,0.39913596501080156,0.10184586236548962,0.04697555125282429,0.18215712763175246,0.22170702326072286
21001,0,C2,0.0029677075800738084,0.11241710206071702,0.24528905648605084,0.07067345136631613,0.031883338780872024,0.15054833539379775,0.21282443406605311
21001,0,C3,0.0021919580746868617,0.09998068453925346,0.20978408964946924,0.05831550095329725,0.03113675692823244,0.1024508717009803,0.1024508717009803
21001,0,C4,0.0022451360135989917,0.0826543310838721,0.224373577353628,0.06233948480810473,0.027933185719685238,0.10789867417716963,0.16324303620422914
21001,0,C5,0.0022043170994880956,0.22351690539121333,0.5439414393371927,0.07090994580509946,0.03534261070478944,0.12382430613654591,0.12382430613654591
21001,0,C6,0.006236367807525456,0.15144307883165326,0.33058226809992736,0.1058398290181402,0.04504791259546279,0.22209804466561245,0.40925840486110204
21001,0,C7,0.004853155566920897,0.14438144793141378,0.3717756456505882,0.09075997729326464,0.039565227227990024,0.17709627976571338,0.271832391805917
21001,1,C1,0.004676801988008239,0.1989102637801202,0.42819060963016314,0.0956482681957841,0.046975551240223956,0.16482327850977027,0.1552743041015458
21001,1,C2,0.0027068918054963254,0.13135874793179986,0.349550714975219,0.064874050718461,0.03188333878041813,0.12089777216691164,0.04387920272305269
21001,1,C3,0.001515417159994481,0.11712896111561541,0.2451756056908187,0.048577633284004634,0.025175369018591662,0.0749101867572042,0.0749101867572042
21001,1,C4,0.002410956708134293,0.10146515874956011,0.2051952998176396,0.06308734918963657,0.027933185719445412,0.10612112686027714,0.16830279903521117
21001,1,C5,0.0027334763940042306,0.14436070631536738,1.030299084955898,0.07635210640107315,0.03846566076891687,0.1435593299661183,0.1435593299661183
21001,1,C6,0.006591853669571601,0.12119141813020273,0.27887371913800557,0.1069008429747731,0.04504791259533427,0.21811104160478975,0.43392237308862064
21001,1,C7,0.004763343122817343,0.14061988756367494,0.30681004800160394,0.09058597125951462,0.03956522722807032,0.15836043152403081,0.24641833930855303
21001,2,C1,0.004853616775241654,0.17227456706500419,0.5589071563037485,0.10152356365661201,0.046975551247034765,0.16404848668134672,0.23063252028518655
21001,2,C2,0.002987301550188226,0.24062943299954684,0.5408008158867078,0.07034950789782402,0.03188333878078492,0.12395137022607529,0.1645036199898555
21001,2,C3,0.0018185948521793893,0.18590521346996786,0.3101140293810004,0.055900084833875166,0.030077553473697477,0.08832284883613545,0.08832284883613545
21001,2,C4,0.002413395341241853,0.0793213897657357,0.28961435336132435,0.06296504151283899,0.02793318571941995,0.1227055841680812,0.22020322932676226
21001,2,C5,0.002298347646350951,0.12494683866835439,1.0287456199459337,0.07354838566503684,0.03891896662416232,0.14160323738718192,0.14160323738718192
21001,2,C6,0.006820853509668656,0.12577048634829324,0.27100884661992697,0.10694977760908592,0.04504791259520993,0.22689517574325577,0.45637271247937455
21001,2,C7,0.004735838037851048,0.14421173647364344,0.311286936448349,0.09050228630236708,0.03956522722809145,0.15969034795536685,0.2896231811490267
21001,3,C1,0.0047219445570566565,0.21604272477587735,0.4300856976466361,0.10221057905641726,0.04697555125031939,0.15418973523734117,0.20329063584001705
21001,3,C2,0.0027315673824890307,0.14821039197237623,0.3729155940656035,0.06949772436106422,0.031883338781135695,0.11828096041557068,0.17191882132676692
21001,3,C3,0.0022990262042320575,0.21142823905412267,0.6026194824347487,0.06380641981748977,0.03282642854702982,0.09652883995833447,0.09652883995833447
21001,3,C4,0.0022549126374361572,0.09853213637995441,0.2765695278979335,0.06242294770747174,0.027933185719676998,0.13088330091033012,0.17018126832499147
21001,3,C5,0.0024116232809491267,0.13854718966774923,0.4576295673049969,0.07193066651768942,0.03615606647549866,0.13010382642514165,0.13010382642514165
21001,3,C6,0.006926983161138822,0.15815069135512494,0.34259394900643525,0.10533809037321505,0.04504791259503151,0.2599873401284118,0.3620648033874577
21001,3,C7,0.004973552843925644,0.14394836852373374,0.3883977895945051,0.08995529127202487,0.039565227227754116,0.1626711780320221,0.2981132939567133
21001,4,C1,0.004584868163110323,0.2008317166637529,0.5630068651510557,0.1019873016681488,0.04697555125229422,0.15244049920017272,0.23188846768129612
21001,4,C2,0.0027681422448795345,0.1039797097451486,0.26925159800422876,0.06977629357169077,0.031883338781108,0.11095300623023546,0.1401300019432264
21001,4,C3,0.0019068233228131115,0.1615829293633883,0.4824396355770676,0.06022756694479201,0.03463712309336589,0.09123839700917463,0.09123839700917463
