seed,rotation,criterion,alternative_a,alternative_b,contexts_used,lrv
21001,1,C1,A3,A6,1000,0.13015552377254128
21001,1,C1,A4,A5,1000,0.2075007211735599
21001,1,C1,A4,A6,1000,0.22264228199582345
21001,1,C1,A5,A6,1000,0.42819060963016314
21001,1,C2,A1,A2,1000,0.02666416771521714
21001,1,C2,A1,A3,1000,0.07176460258813112
21001,1,C2,A1,A4,1000,0.2028627983317834
21001,1,C2,A1,A5,1000,0.33230281860113425
21001,1,C2,A1,A6,1000,0.017526136334008374
21001,1,C2,A2,A3,1000,0.04511217003325517
21001,1,C2,A2,A4,1000,0.17632826144778155
21001,1,C2,A2,A5,1000,0.3060110220116756
21001,1,C2,A2,A6,1000,0.04418747896851907
21001,1,C2,A3,A4,1000,0.13135874793179986
21001,1,C2,A3,A5,1000,0.2613996124223514
21001,1,C2,A3,A6,1000,0.0892754361197973
21001,1,C2,A4,A5,1000,0.1306885249636129
21001,1,C2,A4,A6,1000,0.22028261519015566
21001,1,C2,A5,A6,1000,0.349550714975219
21001,1,C3,A1,A2,1000,0.024595498721464475
21001,1,C3,A1,A3,1000,0.11149198380718933
21001,1,C3,A1,A4,1000,0.14743862160407123
21001,1,C3,A1,A6,1000,0.0982102280046529
21001,1,C3,A2,A3,1000,0.08692830249094392
21001,1,C3,A2,A4,1000,0.12290275058993107
21001,1,C3,A2,A6,1000,0.12276593842404149
21001,1,C3,A3,A4,1000,0.03602659868502164
21001,1,C3,A3,A6,1000,0.2093963436338324
21001,1,C3,A4,A6,1000,0.2451756056908187
21001,1,C4,A1,A2,1000,0.06364083730686391
21001,1,C4,A1,A3,1000,0.10403484079592472
21001,1,C4,A1,A4,1000,0.2051952998176396
21001,1,C4,A1,A5,1000,0.18804749576542035
21001,1,C4,A1,A6,1000,0.021586920582159268
21001,1,C4,A2,A3,1000,0.040431969475110234
21001,1,C4,A2,A4,1000,0.141815242479772
21001,1,C4,A2,A5,1000,0.12461682653789895
21001,1,C4,A2,A6,1000,0.04206219915016353
21001,1,C4,A3,A4,1000,0.10146515874956011
21001,1,C4,A3,A5,1000,0.08424458054562005
21001,1,C4,A3,A6,1000,0.08247431633897122
21001,1,C4,A4,A5,1000,0.017241488196690195
21001,1,C4,A4,A6,1000,0.18372321916500894
21001,1,C4,A5,A6,1000,0.16655610193363243
21001,1,C5,A1,A3,1000,0.11699362100818639
21001,1,C5,A1,A4,1000,0.1491889194804408
21001,1,C5,A1,A5,1000,1.030299084955898
21001,1,C5,A1,A6,1000,0.009676766115126611
21001,1,C5,A3,A4,1000,0.03225219684845352
21001,1,C5,A3,A5,1000,0.9269017170102232
21001,1,C5,A3,A6,1000,0.10732913390398331
21001,1,C5,A4,A5,1000,0.8981471461606411
21001,1,C5,A4,A6,1000,0.13953249315029395
21001,1,C5,A5,A6,1000,1.0218094784845793
21001,1,C6,A1,A2,1000,0.07015963471978293
21001,1,C6,A1,A3,1000,0.15403906254046457
21001,1,C6,A1,A4,1000,0.1911338098407189
21001,1,C6,A1,A5,1000,0.25281729783410667
21001,1,C6,A1,A6,1000,0.02630566522789418
21001,1,C6,A2,A3,1000,0.08400133029538624
21001,1,C6,A2,A4,1000,0.12119141813020273
21001,1,C6,A2,A5,1000,0.1830895801210281
21001,1,C6,A2,A6,1000,0.09644047355802597
21001,1,C6,A3,A4,1000,0.037240333556269066
21001,1,C6,A3,A5,1000,0.09929103832260806
21001,1,C6,A3,A6,1000,0.18024491562750738
21001,1,C6,A4,A5,1000,0.06208153799780274
21001,1,C6,A4,A6,1000,0.21729124435860228
21001,1,C6,A5,A6,1000,0.27887371913800557
21001,1,C7,A1,A2,1000,0.10630177580252781
21001,1,C7,A1,A3,1000,0.17860480613676497
21001,1,C7,A1,A4,1000,0.18631969760424671
21001,1,C7,A1,A5,1000,0.2728125222120901
21001,1,C7,A1,A6,1000,0.03438995956832762
21001,1,C7,A2,A3,1000,0.07248980815027505
21001,1,C7,A2,A4,1000,0.08023350008886831
21001,1,C7,A2,A5,1000,0.16716774324093292
21001,1,C7,A2,A6,1000,0.14061988756367494
21001,1,C7,A3,A4,1000,0.007749823337005835
21001,1,C7,A3,A5,1000,0.09483589923180115
21001,1,C7,A3,A6,1000,0.21281452654136984
21001,1,C7,A4,A5,1000,0.08709499994934126
21001,1,C7,A4,A6,1000,0.2205150614712998
21001,1,C7,A5,A6,1000,0.30681004800160394
21001,2,C1,A1,A2,1000,0.0904445548037179
21001,2,C1,A1,A3,1000,0.14083708818808205
21001,2,C1,A1,A4,1000,0.24721847203814876
21001,2,C1,A1,A5,1000,0.3158875137928297
21001,2,C1,A1,A6,1000,0.031511058299908516
21001,2,C1,A2,A3,1000,0.05045467647497633
21001,2,C1,A2,A4,1000,0.15711641148937222
21001,2,C1,A2,A5,1000,0.40520032523466226
21001,2,C1,A2,A6,1000,0.12192216542866874
21001,2,C1,A3,A4,1000,0.10674584133749807
21001,2,C1,A3,A5,1000,0.45475883853138604
21001,2,C1,A3,A6,1000,0.17227456706500419
21001,2,C1,A4,A5,1000,0.5589071563037485
21001,2,C1,A4,A6,1000,0.2785201573777433
21001,2,C1,A5,A6,1000,0.28465860911671764
21001,2,C2,A1,A2,1000,0.03977736877813084
21001,2,C2,A1,A3,1000,0.08265910558903336
21001,2,C2,A1,A4,1000,0.2821208569920254
21001,2,C2,A1,A5,1000,0.2641586700085427
21001,2,C2,A1,A6,1000,0.02374316030755109
21001,2,C2,A2,A3,1000,0.04290090498408457
21001,2,C2,A2,A4,1000,0.24272086432003181
21001,2,C2,A2,A5,1000,0.30349030443448377
21001,2,C2,A2,A6,1000,0.06351237989782121
21001,2,C2,A3,A4,1000,0.20011313785248577
21001,2,C2,A3,A5,1000,0.34577067043133064
21001,2,C2,A3,A6,1000,0.10637392519989854
21001,2,C2,A4,A5,1000,0.5408008158867078
21001,2,C2,A4,A6,1000,0.30558295323149187
21001,2,C2,A5,A6,1000,0.24062943299954684
21001,2,C3,A1,A2,1000,0.025964869755571312
21001,2,C3,A1,A3,1000,0.24252146454042775
21001,2,C3,A1,A4,1000,0.1988269703874275
21001,2,C3,A1,A6,1000,0.06828563671469802
21001,2,C3,A2,A3,1000,0.21674357821930704
21001,2,C3,A2,A4,1000,0.17298345655250824
21001,2,C3,A2,A6,1000,0.09422823994014272
21001,2,C3,A3,A4,1000,0.04399829742857027
21001,2,C3,A3,A6,1000,0.3101140293810004
21001,2,C3,A4,A6,1000,0.26662665618183556
21001,2,C4,A1,A2,1000,0.05838169705982991
21001,2,C4,A1,A3,1000,0.06777333204906795
21001,2,C4,A1,A4,1000,0.22423662912000175
21001,2,C4,A1,A5,1000,0.06598026677276812
21001,2,C4,A1,A6,1000,0.011556819578602506
21001,2,C4,A2,A3,1000,0.009396866332998365
21001,2,C4,A2,A4,1000,0.1661626018707924
21001,2,C4,A2,A5,1000,0.12429411647957696
21001,2,C4,A2,A6,1000,0.06993185870910114
21001,2,C4,A3,A4,1000,0.15680061123677141
21001,2,C4,A3,A5,1000,0.1336689708642137
21001,2,C4,A3,A6,1000,0.0793213897657357
21001,2,C4,A4,A5,1000,0.28961435336132435
21001,2,C4,A4,A6,1000,0.23570743433011748
21001,2,C4,A5,A6,1000,0.0544293774628203
21001,2,C5,A1,A3,1000,0.0822063241240178
21001,2,C5,A1,A4,1000,0.11442376652487946
21001,2,C5,A1,A5,1000,0.928823505382994
21001,2,C5,A1,A6,1000,0.02107920644203765
21001,2,C5,A3,A4,1000,0.03224833323900438
21001,2,C5,A3,A5,1000,1.0007087363871052
21001,2,C5,A3,A6,1000,0.10326744082837758
21001,2,C5,A4,A5,1000,1.0287456199459337
21001,2,C5,A4,A6,1000,0.13546991081182932
21001,2,C5,A5,A6,1000,0.9103110737975301
21001,2,C6,A1,A2,1000,0.08039233316705659
21001,2,C6,A1,A3,1000,0.1616791553742993
21001,2,C6,A1,A4,1000,0.16884007230922587
21001,2,C6,A1,A5,1000,0.10279587260222073
21001,2,C6,A1,A6,1000,0.045439541949707514
21001,2,C6,A2,A3,1000,0.08142730159839204
21001,2,C6,A2,A4,1000,0.0886074359614933
21001,2,C6,A2,A5,1000,0.1829845292470929
21001,2,C6,A2,A6,1000,0.12577048634829324
21001,2,C6,A3,A4,1000,0.0071871425183067375
21001,2,C6,A3,A5,1000,0.26388995164526236
21001,2,C6,A3,A6,1000,0.20691681979432183
21001,2,C6,A4,A5,1000,0.27100884661992697
21001,2,C6,A4,A6,1000,0.214061579095983
21001,2,C6,A5,A6,1000,0.057393369618748
21001,2,C7,A1,A2,1000,0.06008576084270471
21001,2,C7,A1,A3,1000,0.20563156290876325
21001,2,C7,A1,A4,1000,0.14421173647364344
21001,2,C7,A1,A5,1000,0.10658011506512126
21001,2,C7,A1,A6,1000,0.05318795480501449
21001,2,C7,A2,A3,1000,0.145792095310614
21001,2,C7,A2,A4,1000,0.0842251461318415
21001,2,C7,A2,A5,1000,0.1665201521615832
21001,2,C7,A2,A6,1000,0.11322453531341133
21001,2,C7,A3,A4,1000,0.061673077260678374
21001,2,C7,A3,A5,1000,0.311286936448349
21001,2,C7,A3,A6,1000,0.2584362388817658
21001,2,C7,A4,A5,1000,0.2502697222666251
21001,2,C7,A4,A6,1000,0.19719480696065764
21001,2,C7,A5,A6,1000,0.053434306304380744
21001,3,C1,A1,A2,1000,0.18460215696555057
21001,3,C1,A1,A3,1000,0.17689145596671907
21001,3,C1,A1,A4,1000,0.24736882002532887
21001,3,C1,A1,A5,1000,0.21604272477587735
21001,3,C1,A1,A6,1000,0.04118503306786518
21001,3,C1,A2,A3,1000,0.007735889480414942
21001,3,C1,A2,A4,1000,0.4300856976466361
21001,3,C1,A2,A5,1000,0.39911602495179394
21001,3,C1,A2,A6,1000,0.2256208220191175
21001,3,C1,A3,A4,1000,0.42248546253616437
